n_features,auc
213,0.8540038496324297
211,0.8540038496324297
209,0.8540038496324297
207,0.8540038496324297
205,0.8540038496324297
203,0.8540038496324297
201,0.8540038496324297
199,0.8540038496324297
197,0.8540038496324297
195,0.8540038496324297
193,0.8540038496324297
191,0.8540038496324297
189,0.8540038496324297
187,0.8540038496324297
185,0.8540038496324297
183,0.8540038496324297
181,0.8540038496324297
179,0.8540038496324297
177,0.8540038496324297
175,0.8540038496324297
173,0.8540038496324297
171,0.8540038496324297
169,0.8540038496324297
167,0.8540038496324297
165,0.8540038496324297
163,0.8540038496324297
161,0.8540038496324297
159,0.8540038496324297
157,0.8540038496324297
155,0.8540038496324297
153,0.8540038496324297
151,0.8540038496324297
149,0.8540038496324297
147,0.8540038496324297
145,0.8540038496324297
143,0.8424549523434058
141,0.853203775422648
139,0.8602073235778391
137,0.8621437350710791
135,0.8620509728438581
133,0.8469075392500174
131,0.8537023723939613
129,0.8569142645114909
127,0.852241367315229
125,0.851325340321421
123,0.8729041534287237
121,0.8472322070452911
119,0.8472322070452911
117,0.8399619674868394
115,0.8512325780942
113,0.8424317617866005
111,0.8587811043343152
109,0.8635583590362005
107,0.8527631548433479
105,0.8452494144384406
103,0.8661788919551959
101,0.8653440319102061
99,0.8728809628719185
97,0.8725331045198395
95,0.8745390876834953
93,0.8602537046914496
91,0.8544212796549244
89,0.8535052526611164
87,0.8611349458500498
85,0.8650889357853483
83,0.8813339208274391
81,0.8566823589434381
79,0.8581317687437675
77,0.8591057721295888
75,0.8650541499501403
73,0.8571925511931543
71,0.8525544398321003
69,0.8377124834767283
67,0.8450986758192064
65,0.8434405510076298
63,0.8568330975626725
61,0.8685791145845413
59,0.8659006052735326
57,0.8623524500823264
55,0.8556155933303958
53,0.8544560654901324
51,0.8522645578720346
49,0.8524152964912687
47,0.8607175158275551
45,0.8699125716008442
43,0.8468147770227964
41,0.8302219336286264
39,0.8445189118990747
37,0.8408200180886344
35,0.8338512557686509
33,0.8458407736369751
31,0.8502933605435867
29,0.8667006794833144
27,0.8478003756870203
25,0.8463045847730805
23,0.8371211242781939
21,0.8406808747478026
19,0.8333874446325457
17,0.8465248950627304
15,0.8364254075740358
13,0.8743767537858584
11,0.8715591011340181
9,0.8691878667006794
7,0.8525950233065096
5,0.8451276640152132
3,0.8306393636511213
1,0.748173743651585
