n_features,rmse
139,15.217780756958605
137,15.217780756958605
135,15.217780756958605
133,15.217780756958605
131,15.217780756958605
129,15.217780756958605
127,15.217780756958605
125,15.217780756958605
123,15.217780756958605
121,15.217780756958605
119,15.217780756958605
117,15.217780756958605
115,15.217780756958605
113,15.217780756958605
111,15.217780756958605
109,15.136743497579335
107,15.10424861336166
105,15.173427403915953
103,15.11070508567928
101,15.285715841794925
99,15.291243715817059
97,15.16640713197623
95,14.955680561731299
93,15.17934076149722
91,15.220525948045383
89,15.029758661022681
87,15.034385395095851
85,15.037795632301732
83,15.030195162543698
81,15.288093854077244
79,15.168062053888008
77,15.354005053053257
75,15.291704289733389
73,15.086441069140255
71,15.215427620436694
69,16.18676891719933
67,16.36634866221808
65,15.7891004040689
63,16.343099980778888
61,16.306905788887526
59,16.190459501507192
57,16.43260833834897
55,16.512682298092624
53,15.423094036869857
51,15.403736727807608
49,15.430472960133264
47,15.458789978880034
45,15.385978188560754
43,15.779177069143792
41,15.249082836099262
39,15.55505017434439
37,15.483248429663426
35,16.461552458671854
33,16.045350625053118
31,15.742979184818314
29,15.584762683537928
27,16.052461834401246
25,15.02692939533809
23,15.741654038274405
21,16.367266664003157
19,16.606416570089237
17,17.86980679577904
15,17.248771788864588
13,17.584609763203332
11,17.654044331783727
9,18.07684774148707
7,19.566753639769875
5,20.50506658632563
3,31.52721924513993
1,35.656915246025214
