n_features,rmse
139,14.725400774902525
137,14.725400774902525
135,14.725400774902525
133,14.725400774902525
131,14.725400774902525
129,14.725400774902525
127,14.725400774902525
125,14.725400774902525
123,14.725400774902525
121,14.725400774902525
119,14.725400774902525
117,14.725400774902525
115,14.725400774902525
113,14.719539370909365
111,14.737157650744244
109,14.782588125291372
107,14.726778489462092
105,15.057069963612912
103,15.057069963612912
101,15.032258380377243
99,14.994132756783712
97,14.950857525587821
95,14.850382070955881
93,15.043252262210489
91,14.949078076080728
89,14.942467153672585
87,14.930052671078176
85,14.822790224053362
83,14.851636705409744
81,14.741631615811684
79,14.943096221674786
77,15.123199276420603
75,14.92792992260376
73,15.222802299485911
71,15.022558555961313
69,15.543533519060958
67,15.361287304077152
65,15.75846215837007
63,15.833627269790101
61,15.197680967227193
59,15.347517645288107
57,15.244167951095283
55,15.203283251620748
53,15.206201361949706
51,16.102890455367717
49,16.13217089237971
47,15.832894751492965
45,15.923370745996346
43,15.841194851682738
41,15.642158920358476
39,15.553361865669347
37,14.885862098280285
35,15.13801545924399
33,15.195114638197762
31,15.703718163194736
29,15.446465746802971
27,15.250231620618344
25,15.308626949123166
23,15.76420290144391
21,15.450395538942601
19,15.388019709360597
17,16.20331832238359
15,16.290806801707888
13,16.702107624398206
11,16.660949011416385
9,17.812906508600758
7,18.757195330776725
5,19.100327729656062
3,21.410880679664178
1,37.97588236418528
