SMILES,DC_exp
CCC(=O)CC,16.780450588775
CCC(=O)O,3.45350014118175
CCC(=O)OC,6.077699
CCC(=O)OC(=O)CC,18.3
CCC(=O)OC1CCCCC1,4.82
CCC(=O)OCCC(C)C,4.783600760787497
CCC(=O)OCc1ccccc1,5.11
CCC(=O)Oc1ccccc1,4.77
CCC(C)(C)C,1.8601000931165
CCC(C)(C)C(C)C,1.978
CCC(C)(C)CC,1.9318113385615252
CCC(C)(C)CO,10.070547323725023
CCC(C)(C)O,5.714103370000018
CCC(C)(CC)CC,1.9777526307387503
CCC(C)(O)CC,4.322
CCC(C)=O,18.24570130250001
CCC(C)C,1.845
CCC(C)C(C)(C)C,1.96
CCC(C)C(C)C,1.92159129929975
CCC(C)C(C)CC,1.97267165779525
CCC(C)CC,1.8777305628665
CCC(C)CC(O)CC,3.832
CCC(C)CCC(C)C,1.89
CCC(C)CCC(C)O,7.1465625944250135
CCC(C)CCCCO,7.154852246150007
CCC(C)CCO,15.2
CCC(C)CO,15.603921874999996
CCC(C)O,15.943596847684162
CCC(C)OC(C)=O,5.034630408835
CCC(C)c1ccccc1,2.34458071305825
CCC(CC)C(=O)O,2.72
CCC(CC)CC,1.934672913132925
CCC(O)(CC)CC,3.158
CCC(O)C(=O)O,37.7
CCC(O)C(C)O,17.37
CCC(O)CC,13.238196874999986
CCC(O)CCC(C)C,4.9026638437750005
CCC(O)CO,22.536429500000004
CCC(O)c1ccccc1,6.575732886675006
CCC1CC1,1.933
CCC1CCC1,1.965
CCC=CCC,2.0115
CCC=CCC=CCC=CCCCCCCCC(=O)O,2.814818485
CCC=CCC=CCC=CCCCCCCCC(=O)OC,3.355
CCC=CCCCC,2.032
CCC=O,18.5
CCCC,1.764646848916025
CCCC(=O)CCC,12.256966734825
CCCC(=O)O,2.9931214899999996
CCCC(=O)OC,5.48
CCCC(=O)OC(=O)CCC,12.8
CCCC(=O)OC1CCCCC1,4.58
CCCC(=O)OCC,5.18
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,5.4854988808875
CCCC(=O)OCCC(C)C,4.0
CCCC(=O)OCc1ccccc1,4.55
CCCC(=O)Oc1ccccc1,4.48
CCCC(C)(C)C,1.9086347817704552
CCCC(C)(C)CC,1.9645
CCCC(C)(C)CO,5.925367002950004
CCCC(C)(O)CC,3.248
CCCC(C)(O)CCC,2.902
CCCC(C)=O,15.199944486332504
CCCC(C)C,1.8769451868665
CCCC(C)C(C)O,4.904181260049988
CCCC(C)C(O)CC,3.312
CCCC(C)CC,1.912023314375
CCCC(C)CC(C)C,1.89
CCCC(C)CC(C)O,3.484627887475
CCCC(C)CCCO,4.320779341699996
CCCC(C)O,12.724447598749975
CCCC(CC)CC,1.9617
CCCC(CCC)CCC,1.9955
CCCC(O)C(C)CC,7.162006993750001
CCCC(O)C(CC)CO,18.362677279525
CCCC(O)CC,9.66
CCCC(O)CC(C)C,3.3481496730945
CCCC(O)CCC,6.051520805249936
CCCC(O)CO,17.31
CCCC=C(C)C,2.962
CCCC=C(C)CCCC,2.175
CCCC=CCCC,2.0285
CCCC=O,13.45
CCCCC,1.8371
CCCCC(=O)CC,12.7
CCCCC(=O)CCCC,10.6
CCCCC(=O)O,2.69240464895
CCCCC(=O)OC,4.992
CCCCC(=O)OCC,4.71
CCCCC(=O)OCC(C)C,3.8
CCCCC(=O)OCCC,4.0
CCCCC(=O)OCCC(C)C,3.6
CCCCC(=O)Oc1ccccc1,4.3
CCCCC(C)(C)C,1.9498
CCCCC(C)(C)CO,4.497564204105
CCCCC(C)(C)O,3.257
CCCCC(C)(O)CC,3.013
CCCCC(C)=O,14.56
CCCCC(C)C,1.9151357531250004
CCCCC(C)C(C)O,7.1107650610499995
CCCCC(C)CCC,1.967
CCCCC(C)CCO,2.8437373865425
CCCCC(C)O,11.06
CCCCC(CC)C(=O)O,2.64
CCCCC(CC)CO,7.915485244549991
CCCCC(CCCC)CCCC,2.0319
CCCCC(O)C(C)C,3.26
CCCCC(O)CC,6.7054781437499855
CCCCC(O)CCC,4.689751908000005
CCCCC(O)CCCC,3.5396868749999992
CCCCC=CCCCC,2.0505
CCCCC=O,10.0
CCCCCC,1.8818711121425
CCCCCC(=O)CC,10.5
CCCCCC(=O)O,2.60076407299765
CCCCCC(=O)OC,4.615
CCCCCC(=O)OCC,4.402419691164999
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,4.476
CCCCCC(C)(C)O,3.43
CCCCCC(C)=O,11.658478871124998
CCCCCC(C)C,1.9519
CCCCCC(C)CO,4.9959161838499995
CCCCCC(C)COC(C)=O,4.123452419175003
CCCCCC(C)O,9.38198374940002
CCCCCC(CC)C(=O)O,1.98
CCCCCC(O)CC,5.490262351249996
CCCCCC(O)CCC,3.6898499953442063
CCCCCC(O)CCCC,3.2396694999999993
CCCCCC=CCC=CCCCCCCCC(=O)O,2.745853245
CCCCCC=CCC=CCCCCCCCC(=O)OC,3.466
CCCCCCC,1.911343490483
CCCCCCC(=O)CCCCCC,7.6
CCCCCCC(=O)O,3.0382415496445003
CCCCCCC(=O)OC,4.355
CCCCCCC(C)(C)C(=O)O,2.8
CCCCCCC(C)(C)CO,7.501233906250008
CCCCCCC(C)=O,9.4677811109
CCCCCCC(C)C,1.967
CCCCCCC(C)C(=O)O,2.39
CCCCCCC(C)O,8.966026541874996
CCCCCCC(O)CC,4.4912312499999985
CCCCCCC(O)CCC,3.420160625000003
CCCCCCC=CC(=O)O,2.5
CCCCCCC=O,9.07
CCCCCCCC,1.94057804298245
CCCCCCCC(=O)O,2.8236533385
CCCCCCCC(=O)OC,4.101
CCCCCCCC(C)=O,9.14
CCCCCCCC(C)O,6.667560000000023
CCCCCCCC(O)CC,4.050581250000008
CCCCCCCCC,1.9604717802022251
CCCCCCCCC(=O)O,2.489533135395
CCCCCCCCC(=O)OC,3.943
CCCCCCCCC(C)O,5.825278124999997
CCCCCCCCC=CCCCCCCCC(=O)O,2.331440788
CCCCCCCCC=CCCCCCCCC(=O)OC,3.211
CCCCCCCCC=CCCCCCCCC(=O)OCC,3.17
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,4.0
CCCCCCCCCC,1.9845920156066752
CCCCCCCCCC(=O)OCC,3.71196578125
CCCCCCCCCCC,1.9910124999923668
CCCCCCCCCCC(=O)OC,3.671
CCCCCCCCCCC(=O)OCC,3.55
CCCCCCCCCCCC,2.0059569999967666
CCCCCCCCCCCC(=O)OC,3.539
