n_features,auc
213,0.8112042860470533
211,0.8112042860470533
209,0.8112042860470533
207,0.8112042860470533
205,0.8112042860470533
203,0.8112042860470533
201,0.8112042860470533
199,0.8112042860470533
197,0.8112042860470533
195,0.8112042860470533
193,0.8112042860470533
191,0.8112042860470533
189,0.8112042860470533
187,0.8112042860470533
185,0.8112042860470533
183,0.8112042860470533
181,0.8112042860470533
179,0.8112042860470533
177,0.8112042860470533
175,0.8112042860470533
173,0.8112042860470533
171,0.8112042860470533
169,0.8112042860470533
167,0.8112042860470533
165,0.8112042860470533
163,0.8112042860470533
161,0.8112042860470533
159,0.8112042860470533
157,0.8112042860470533
155,0.8112042860470533
153,0.8112042860470533
151,0.8112042860470533
149,0.8112042860470533
147,0.8099988353133006
145,0.8067027719543443
143,0.8067027719543443
141,0.8046703936641044
139,0.8051071511763335
137,0.802975774516655
135,0.80840321453529
133,0.8050547402748661
131,0.7976182156999766
129,0.7976182156999766
127,0.8013859771721407
125,0.8054157931516422
123,0.791043559282553
121,0.7986314931283485
119,0.8056458187747496
117,0.804798509201025
115,0.8065222455159563
113,0.8098066620079198
111,0.8028010715117634
109,0.8052935010482181
107,0.8037619380386677
105,0.8086827393431166
103,0.8096319590030282
101,0.8117691590962031
99,0.8080538085255067
97,0.7989692522711391
95,0.8168035173538318
93,0.8152108082925693
91,0.8089156766829722
89,0.8107908222688097
87,0.8079722804565572
85,0.803138830654554
83,0.8035639412997904
81,0.8041171674819475
79,0.8039249941765665
77,0.8056894945259725
75,0.8088690892150011
73,0.7980782669461914
71,0.7923218029350105
69,0.802737013743303
67,0.7903447472629863
65,0.8153214535290007
63,0.7812776613091079
61,0.8124796179827625
59,0.802049848590729
57,0.796412764966224
55,0.8072851153039833
53,0.7995108315863033
51,0.8065164220824598
49,0.7931312601910085
47,0.79243535988819
45,0.8035755881667831
43,0.7985208478919172
41,0.7958653622175635
39,0.8022449336128582
37,0.811932215234102
35,0.7975192173305381
33,0.7969252271139063
31,0.8036687631027255
29,0.788411367342185
27,0.8015373864430468
25,0.7892324714651759
23,0.7916666666666667
21,0.7982879105520615
19,0.785482180293501
17,0.7800227113906358
15,0.7868332168646635
13,0.7717679944095037
11,0.7960458886559515
9,0.7981365012811554
7,0.7827364313999534
5,0.7791317260656884
3,0.7887695085022128
1,0.7020440251572327
