SMILES,Heat_Capacity_Sat_40C_J_K_Mol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_unbrch_alkane
CCOCOCOCOCC,336.0,4.8969907407407405,0.2222222222222223,4.8969907407407405,0.2222222222222223,0.3953664130705376,164.201,148.07299999999998,164.104858992,68,0.1519542881733088,-0.3555996470566448,0.3555996470566448,0.1519542881733088,0.6363636363636364,1.0,1.3636363636363635,16.767598250843673,10.876012080297832,1.85702178194232,-2.0417698027719773,1.809875408265573,-2.0640681484273333,4.084870159343322,-0.1670573138583126,2.6909155266923976,59.46091337656868,8.36396103067893,7.16852706778819,7.16852706778819,5.414213562373096,3.723614639131599,3.723614639131599,1.7474002407106255,1.7474002407106255,0.9082482904638632,0.9082482904638632,0.4114847437072807,0.4114847437072807,-0.16,292.8860629742695,10.840000000000002,9.839999999999998,9.840000000000002,67.38308463223672,18.9474518152002,13.585884612199656,6.792942306099827,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,18.9474518152002,0.0,0.0,13.847474399381248,33.59259084732532,0.0,0.0,0.0,0.0,33.59259084732532,18.9474518152002,0.0,13.847474399381248,0.0,0.0,36.92,0.0,0.0,20.37882691829948,13.213763929025836,0.0,0.0,0.0,13.847474399381248,0.0,18.9474518152002,19.58631708238851,0.0,0.0,0.0,0.0,0.0,0.0,5.91368291761149,0.0,1.0,11,0,4,0,0,0,0,4,0,4,8,0,0,0,0.9651,40.02300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
C(C)(=O)OCCOCCOC(C)=O,349.0,10.274797921885314,-0.3300129913076339,10.274797921885314,0.2315523431594859,0.4397550161530396,190.195,176.08299999999997,190.084123548,76,0.3022073009468543,-0.4634225188186796,0.4634225188186796,0.3022073009468543,0.8461538461538461,1.2307692307692308,1.5384615384615383,16.57307641215372,10.672594260733122,1.9402323668872623,-2.0372240951440124,1.8133760198471016,-2.117457674804883,5.656355597795518,-0.1434278925191595,2.9961049979124525,147.91732137225364,10.104448006685086,7.8696685770655055,7.8696685770655055,6.125897657686229,3.9711971193069777,3.9711971193069777,2.292459108348864,2.292459108348864,1.065992211285982,1.065992211285982,0.5907040147123218,0.5907040147123218,-1.1,553.7222910566771,11.9,7.544022314808277,10.9,76.95752571721397,14.210588861400147,13.213763929025836,0.0,0.0,11.9386105759037,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,23.79966322954379,11.9386105759037,0.0,13.847474399381248,26.427527858051672,0.0,0.0,0.0,0.0,38.36613843395537,23.79966322954379,0.0,13.847474399381248,0.0,0.0,61.830000000000005,0.0,9.589074368143644,25.152374504929533,13.213763929025836,0.0,13.847474399381248,0.0,0.0,9.473725907600098,4.736862953800049,14.17568672839506,20.549595843770625,0.0,0.0,-0.6600259826152677,0.0,0.0,3.768076743782912,0.0,0.75,13,0,5,0,0,0,0,5,0,5,6,0,0,0,0.1291999999999999,44.08500000000002,0,0,0,0,0,0,2,2,0,0,0,0,2,3,0,0,0,0,0,0,4
CCOCOCOCOCOCC,221.3,4.922335600907029,0.1727430555555555,4.922335600907029,0.1727430555555555,0.3823404255649405,194.227,176.08299999999997,194.115423676,80,0.1519569417599505,-0.3555996470564138,0.3555996470564138,0.1519569417599505,0.5384615384615384,0.8461538461538461,1.1538461538461535,16.78866563166986,10.877498296750057,1.8790923714955936,-2.057283192421537,1.82743179602105,-2.083519887297722,4.088283148340911,-0.1900857505671086,2.758149818433293,78.60357147141794,9.778174593052023,8.283882139438601,8.283882139438601,6.414213562373096,4.300964908321225,4.300964908321225,2.069375516140316,2.069375516140316,1.07491495713053,1.07491495713053,0.5044309996781483,0.5044309996781483,-0.2,812.7027727261354,12.800000000000002,11.8,11.8,78.8615719761402,23.684314769000245,13.585884612199656,13.585884612199656,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,23.684314769000245,0.0,0.0,13.847474399381248,40.38553315342514,0.0,0.0,0.0,0.0,40.38553315342514,23.684314769000245,0.0,13.847474399381248,0.0,0.0,46.150000000000006,0.0,0.0,27.17176922439931,13.213763929025836,0.0,0.0,0.0,13.847474399381248,0.0,23.684314769000245,24.57472158192937,0.0,0.0,0.0,0.0,0.0,0.0,5.925278418070626,0.0,1.0,13,0,5,0,0,0,0,5,0,5,10,0,0,0,0.9392,45.97500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
C1(CCCCC1)C(=O)OCC,279.0,11.17587962962963,0.0205555555555558,11.17587962962963,0.0205555555555558,0.572362235900361,156.225,140.09699999999998,156.115029752,64,0.30841465533709,-0.4657656863498713,0.4657656863498713,0.30841465533709,1.3636363636363635,2.0,2.5454545454545454,16.532799927903277,9.89387827801078,2.2097945722316217,-2.1867992048163027,2.238387800174044,-2.195448374828461,5.719104471000437,-0.1485872038129106,2.2652187436469213,125.52442279202944,8.104448006685084,7.136487537236636,7.136487537236636,5.3425352551010965,4.509201921767763,4.509201921767763,3.086982161649192,3.086982161649192,2.225101514585491,2.225101514585491,1.5984009660410865,1.5984009660410865,-0.53,380.17580046477946,8.565510983763133,4.369018590889185,2.5237952602171454,67.92802411902382,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,19.26246486877803,19.765380445542643,0.0,12.52478801067431,9.53140013787187,5.969305287951849,5.917906046161393,39.02784531432067,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.917906046161393,39.02784531432067,0.0,0.0,26.3,0.0,4.794537184071822,11.887211334113244,6.606881964512918,12.84164324585202,19.26246486877803,0.0,6.923737199690624,0.0,4.736862953800049,4.942407407407408,11.17587962962963,0.0,0.0,0.2323148148148148,0.0,5.764418225623583,2.3849799225245656,0.0,0.8888888888888888,11,0,2,1,1,0,0,2,0,2,2,1,1,1,2.1298000000000004,43.20800000000001,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
CCCC(=O)c1ccccc1,280.0,11.244675925925923,0.2436111111111114,11.244675925925923,0.2436111111111114,0.6021153369839913,148.20499999999998,136.10899999999998,148.088815004,58,0.162361871778381,-0.2941964481057019,0.2941964481057019,0.162361871778381,1.2727272727272727,1.9090909090909087,2.4545454545454546,16.1380322162025,10.081744664624232,2.0050232448255287,-1.956297148098797,2.0325711107262303,-1.959288454248421,5.953781414348625,0.098152744456883,2.6930079504145,225.88790998034077,8.104448006685086,6.709213198785089,6.709213198785089,5.342535255101096,3.9254679195347126,3.9254679195347126,2.539201738994449,2.539201738994449,1.572826416394295,1.572826416394295,0.9954450044077812,0.9954450044077812,-1.11,380.17580046477946,7.991112234580385,3.914642061623193,2.1874378032478785,67.05269367712717,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,37.255572541998674,6.4208216229260096,11.984273114623004,0.0,4.794537184071822,5.783244946364939,0.0,19.765380445542643,0.0,35.89528683400505,0.0,0.0,0.0,5.783244946364939,0.0,0.0,30.12336912131146,30.33183534230805,0.0,17.07,0.0,4.794537184071822,5.783244946364939,6.4208216229260096,11.984273114623004,0.0,0.0,37.255572541998674,0.0,0.0,0.0,11.244675925925923,0.0,0.8281018518518521,0.2436111111111114,9.42113000755858,1.5810922146636432,2.0147222222222223,0.0,0.3,11,0,1,0,0,1,1,1,0,1,3,0,0,1,2.6694000000000013,45.68050000000003,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
CCCCc1ccccc1,249.31,2.225138888888889,1.2334722222222223,2.225138888888889,1.2334722222222223,0.5957309560911629,134.22199999999998,120.10999999999996,134.109550448,54,-0.0278972951426049,-0.0653710717316953,0.0653710717316953,0.0278972951426049,1.1,1.8,2.4,13.928094568255244,10.100588827164405,1.8687601891678685,-1.9589484955842615,2.025781075883174,-1.8110089866978991,5.138501418975812,0.7949849468755463,2.4265223465879537,164.65300142116237,7.234204518682008,6.508071689507773,6.508071689507773,4.931851652578137,3.971343774302781,3.971343774302781,2.5891519502467637,2.5891519502467637,1.6618298825622126,1.6618298825622126,1.0255780783709258,1.0255780783709258,-0.78,251.66716234355823,7.328459869848157,4.102460621704116,2.218872016802184,62.89117157708339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67639416492468,18.40509473754901,0.0,0.0,0.0,0.0,0.0,26.186202068468653,0.0,35.89528683400505,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,25.32883193723964,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.825916360475023,0.0,0.0,37.255572541998674,0.0,0.0,0.0,0.0,1.4623611111111112,0.0,10.649555933484503,3.8296107331821614,2.225138888888889,0.0,0.4,10,0,0,0,0,1,1,0,0,0,3,0,0,1,3.029200000000001,45.05400000000003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
C1CCC(C1)C2CCCC2,247.02,1.5601851851851851,1.1550925925925923,1.5601851851851851,1.1550925925925923,0.5208798588904004,138.254,120.10999999999996,138.140850576,58,-0.0385845779399849,-0.0530216658653127,0.0530216658653127,0.0385845779399849,0.5,0.8,1.1,14.31976687106913,9.897207366064714,2.2629217019942183,-2.157215987178355,2.394551581182091,-2.057079141302168,4.782737938129133,0.3472280160867091,1.8474671140063967,80.60593781761291,6.811554787871633,6.811554787871632,6.811554787871632,4.966326495188786,4.9663264951887856,4.9663264951887856,4.089073411524035,4.089073411524035,3.4663264951887856,3.4663264951887856,2.857589235347159,2.857589235347159,0.0,497.61234563312325,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322788,0.0,0.0,0.0,0.0,11.835812092322788,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322788,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322788,25.68328649170404,25.68328649170404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3101851851851847,0.0,12.35648148148148,0.0,0.0,1.0,10,0,0,2,2,0,0,0,0,0,1,2,2,2,3.3668000000000022,43.91600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC1CCCC1,295.0,2.2863572373393803,1.1171759259259255,2.2863572373393803,1.1171759259259255,0.521520997225693,140.26999999999998,120.10999999999996,140.15650064,60,-0.0414285774579171,-0.0653823818351082,0.0653823818351082,0.0414285774579171,1.1,1.8,2.4,14.187955573099249,10.00186281733752,2.1281065898937843,-2.057731797268936,2.284061477472353,-1.9125845848294505,4.661542116949925,0.4714833275701119,1.9111701105978576,70.10749561002055,7.234204518682008,7.234204518682008,7.234204518682008,4.931851652578137,4.931851652578136,4.931851652578136,3.646264369941972,3.646264369941972,2.6906706976806576,2.6906706976806576,1.9820508075688763,1.9820508075688763,0.0,310.42300753691114,8.1,4.760330578512397,2.7222222222222223,65.0178989038698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29031018309871,5.917906046161393,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,51.36657298340809,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,1.1171759259259255,0.0,11.929800170068027,2.2863572373393803,0.0,1.0,10,0,0,1,1,0,0,0,0,0,4,1,1,1,3.7569000000000026,46.10000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCCCC1CCCCC1,279.55,2.2944706632653062,1.1052777777777776,2.2944706632653062,1.1052777777777776,0.5596727748500233,140.26999999999998,120.10999999999996,140.15650064,60,-0.0414287512409803,-0.0653822096214947,0.0653822096214947,0.0414287512409803,1.1,1.8,2.4,14.17068048607432,9.857824704878302,2.1105493443446264,-2.2023181388859467,2.2686275302842014,-2.0483737703367817,4.645127242480809,0.331253119193752,2.0172372216570547,70.10749561002055,7.234204518682008,7.234204518682008,7.234204518682008,4.931851652578137,4.931851652578136,4.931851652578136,3.6462643699419712,3.6462643699419712,2.690670697680657,2.690670697680657,1.9686140808000383,1.9686140808000383,0.0,251.66716234355823,8.1,4.760330578512397,2.7222222222222223,65.0178989038698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29031018309871,5.917906046161393,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,51.36657298340809,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,1.1052777777777776,0.0,11.93358489229025,2.2944706632653062,0.0,1.0,10,0,0,1,1,0,0,0,0,0,3,1,1,1,3.7569000000000026,46.10000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCC=C,307.21,3.694651596749811,1.2005208333333337,3.694651596749811,1.2005208333333337,0.3711511006880484,140.26999999999998,120.10999999999996,140.15650064,60,-0.0353412931099314,-0.1030829789362716,0.1030829789362716,0.0353412931099314,1.0,1.6,2.2,13.92497963638408,10.103471779693356,1.8609118100350828,-1.9606671042641148,2.0584761108411933,-1.7630533860889297,4.646643452681374,0.6112666584803261,2.703789901245323,64.43856189774723,7.656854249492381,7.234204518682008,7.234204518682008,4.914213562373096,4.523603362114273,4.523603362114273,2.845117222155994,2.845117222155994,1.7618016810571366,1.7618016810571366,1.0690052204847231,1.0690052204847231,-0.26,175.07674799821407,9.739999999999998,8.739999999999998,7.739999999999999,65.33412702521478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,45.10386542115455,12.84164324585202,0.0,0.0,0.0,0.0,0.0,51.8694885601727,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,51.8694885601727,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.94575136048208,0.0,6.076020106833881,13.502672883289122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55163737717309,5.948362622826908,0.0,0.8,10,0,0,0,0,0,0,0,0,0,7,0,0,0,3.923000000000004,48.190000000000026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
