SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CCOC(=O)CC(=O)C(F)F,"4,4-difluoro-3-oxobutanoic acid, ethyl ester",0.153766,0.151858405,0.149940995,0.14800801,0.14605508,0.14407889,0.14207544,0.14004073,0.137971075,0.1358628449999999,0.133717
O=C(O)c1ccc(C(=O)O)cc1,"1,4-benzenedicarboxylic acid",0.125848,0.1272042799999999,0.1284923399999999,0.1297044,0.130840145,0.131899205,0.132882265,0.1337890099999999,0.1346190699999999,0.13537313,0.136059
O=C(O)c1ccc2c(c1)OCO2,"3,4-methylenedioxybenzoic acid",0.17949,0.17802747,0.17656547,0.17510347,0.17364084,0.172175895,0.17070732,0.16923343,0.16775291,0.166264075,0.164767
NC(=O)c1ccc([N+](=O)[O-])cc1,p-nitrobenzamide,0.273881,0.27056258,0.26732104,0.26416224,0.26108218,0.258076545,0.255140965,0.25227244,0.24946671,0.246718665,0.24402
COC(=O)c1ccc(OC)cc1,methyl 4-methoxybenzoate,0.164917,0.16341913,0.1619205,0.160419555,0.158915295,0.157405775,0.15588857,0.154363105,0.152826325,0.1512769149999999,0.149715
NC(O)C(CO)(CO)C(N)O,"1,3-diamino-2,2-bis(hydroxymethyl)-1,3-propanediol",0.315109,0.31207985,0.30907993,0.30611264,0.30317872,0.300277115,0.297408195,0.294571275,0.29176667,0.288994435,0.286251
COc1ccccc1NC(N)=O,(2-methoxyphenyl)urea,0.244666,0.242919955,0.2411779,0.23943853,0.23770053,0.235962215,0.2342229,0.23248164,0.23073638,0.22898649,0.227231
CN(C)c1cccc([N+](=O)[O-])c1,"3-nitro-N,N-dimethylaniline",0.14115,0.140220995,0.13929431,0.138368625,0.1374436249999999,0.136518625,0.13559331,0.134666995,0.13373905,0.13280779,0.131873
COc1ccc(NC(N)=O)cc1,4-methoxyphenylurea,0.245098,0.243367995,0.241642255,0.239919885,0.2381992,0.2364792,0.234758885,0.23303694,0.231311365,0.229581105,0.227847
CCc1cc([N+](=O)[O-])ccc1N,"benzenamine, 2-ethyl-4-nitro-",0.206399,0.204301115,0.202232195,0.200194645,0.19818552,0.19620108,0.194239695,0.19229805,0.190372775,0.188461555,0.18656
CCOC(=O)c1ccc(O)cc1,ethyl 4-hydroxybenzoate,0.158884,0.15731649,0.155769105,0.15424272,0.15273765,0.151254265,0.14979188,0.148350495,0.14693011,0.145530725,0.14415
