SMILES,name,FOM1_0C,FOM1_10C,FOM1_20C,FOM1_30C,FOM1_40C,FOM1_50C,FOM1_60C,FOM1_70C,FOM1_80C,FOM1_90C,FOM1_100C
CCCCCCCCCCCC(CCCC)CCCC,5-butylhexadecane,40.93431663180689,45.58652513581454,50.28674927749702,54.698202766400854,58.82295564581006,62.66404511340793,66.23448198627491,69.5531149094502,72.63926891955852,75.5088133227845,78.24250828727155
CCCCCCCCCCCCC(C)CCCC(C)C,"2,6-dimethyloctadecane",48.92518606186171,52.95185070810189,56.927637541042,60.64862703446872,64.13042436024647,67.40257039364676,70.47147630025758,73.36542106937009,76.08884475585943,78.67337928845654,81.16766339786372
CC(C)CCCC(C)CCC(C)C(C)CCCC(C)C,"2,6,7,10,14-pentamethylpentadecane",44.051368297828176,47.1834051461139,50.3488586580713,53.41511429231177,56.37424535156127,59.22074146489361,61.95933168551385,64.58284878083064,67.09188820506664,69.48254037231438,71.82185252463672
CCCCCCCCCCCCCCCCCC(C)C,2-methylnonadecane,46.612888721600655,51.1440313419475,55.62691440691883,59.77557904179582,63.615015042655145,67.1746341959556,70.48619345272452,73.57203283415454,76.46893093186077,79.18966996198333,81.83550412906499
CCCCCCCCCCCCCCCCC(C)CC,3-methylnonadecane,42.60133273272823,46.62257717989913,50.69529002028051,54.58370638784539,58.28453055283038,61.80451163192188,65.14174656985276,68.30838337482385,71.30284499940699,74.14987223781054,76.90478130537994
CCCCCC(CC)CC(CC)CC(CC)CCCC,"5,7,9-triethyltetradecane",43.500237549819744,46.58267401857656,49.70640530221957,52.73825182818427,55.674901935481024,58.508914802085485,61.23532992203885,63.85733042419997,66.3698801702481,68.77807065355215,71.12646062029164
CC(C)CC(CCC(CC(C)C)CC(C)C)CC(C)C,"2,9-dimethyl-4,7-bis(2-methylpropyl)decane",25.07970986674408,31.86096265875504,38.17617768665555,43.40458741886962,47.87534498724522,51.78215549488,55.238270444976095,58.33733288524668,61.1389829091426,63.67148999667556,66.06021605253811
CCCCCCCCCCCCCCCC(CC)CC,3-ethyloctadecane,43.163341129898235,47.67690387899284,52.215810642589986,56.481557810378256,60.47103316003801,64.19207947860757,67.6635356853893,70.88244493697384,73.89144278972282,76.67582743876258,79.33775924207312
ClC=C(Cl)C(Br)CBr,"3,4-dibromo-1,2-dichloro-1-butene",31.96461129263414,34.43113053591128,36.98961769770234,39.51808665271319,42.00456963021922,44.44201958712787,46.82420062663223,49.1373073730325,51.38144081504952,53.552390675598176,55.69449257617357
ClC(CBr)=C(Cl)CBr,"1,4-dibromo-2,3-dichloro-2-butene",31.795788230516603,34.17252812285469,36.63151810727325,39.05751900595833,41.43919499477951,43.765372340558486,46.03196052445276,48.22842676595754,50.36094412297536,52.403080185507434,54.425679698037094
Brc1ccc(I)cc1,1-bromo-4-iodobenzene,25.5693343230845,27.97677751638805,30.48974780269041,32.96712787802018,35.40215733180965,37.78633072405001,40.1152092805109,42.380926137563975,44.57936426222403,46.714809658846576,48.83004616284059
Brc1cccc(I)c1,1-bromo-3-iodobenzene,27.17340618860884,29.382827213433423,31.692102230570782,33.98928974432154,36.26876354735145,38.51659371442554,40.73336568306153,42.90269866338281,45.018389165893026,47.08798967379062,49.150626321472224
Brc1ccccc1I,1-bromo-2-iodobenzene,26.294976149788756,28.4463635337066,30.697390611030674,32.941714144904836,35.16909183962162,37.37424716607163,39.539845804871774,41.670239562680926,43.75158384229633,45.77769468279817,47.80633553696666
FN1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,undecafluoropiperidine,76.87451884167969,78.34825954974612,79.64051777291274,80.80359088102459,81.71232872610507,82.4482662469662,82.96947005113935,83.22951193307146,83.1762689562662,82.86672299518284,82.38894703852219
CCCc1ccc(C(=O)Oc2ccc(C#N)cc2F)cc1,4-cyano-2-fluorophenyl-4-propylbenzoate,32.93048798256247,38.08897144264974,43.46958368220056,48.55871344399386,53.31948263840843,57.73842664230795,61.817986934289216,65.57599276840003,69.03940846291057,72.21938203511084,75.24465205948472
CCCCCCN(CCCCCC)C(=O)CCCCC,"N,N-dihexylhexanamide",43.6934253802358,47.16902818892373,50.75794513690791,54.2915419078116,57.75694262579585,61.147302071605814,64.45269182810259,67.6657651722981,70.77957684076233,73.7918294189437,76.77785386891806
COC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl,"methyl 2-(2,4,5-trichlorophenoxy)propanoic acid",25.65036931704565,28.683165305982943,31.976920434145608,35.32818528406342,38.7181446768279,42.128661840397434,45.54391905792257,48.94921970757316,52.331739307024,55.67745212627978,59.088974649981694
CCCCCCCCCN(C)CCCCCCCCC,"nonanamine, N-methyl-N-nonyl-",45.91724889792069,49.25107772451937,52.64915571717064,55.965541690311895,59.19663893783526,62.33128720235442,65.36671471294754,68.29386137234741,71.12070474847518,73.838184111015,76.50231148705392
CCCCCCCCCCCCCCCCCN(C)C,"N,N-dimethylheptadecylamine",46.15554161641535,49.5632616828184,53.04465864740617,56.44206797028588,59.750933508422136,62.96277085466826,66.0711108175183,69.07147720319996,71.97163143178506,74.75552590515241,77.49857686668666
CCCCCCCCCCCCCCCN(CC)CC,"1-pentadecanamine, N,N-diethyl-",46.627255729249704,50.04848324553273,53.53740155115471,56.940888613379904,60.25179564296143,63.46113998308667,66.56815323166936,69.5614580171495,72.45383501965505,75.22233753188516,77.95360873335807
CCCCCCCCCCCCCCCCCCCN,1-nonadecanamine,38.3152465594097,41.69312764180644,45.26348940167046,48.85757153883915,52.459912882065545,56.05582742165878,59.63428949216413,63.18163816492033,66.68706664078725,70.13830230566802,73.62339100296644
BrCC(Br)CC1CCCCC1,"(2,3-dibromopropyl)cyclohexane",41.91887344294632,44.46494195589344,46.95960771673832,49.30821465183142,51.52222044756088,53.61593583897755,55.590211707531466,57.46310007796022,59.23146834710154,60.90266192917867,62.52622479415032
CCC1(C)CCC(Br)C(Br)C1,"1,2-dibromo-4-ethyl-4-methylcyclohexane",37.13706100244853,39.55413557463136,41.96622319789743,44.26422855007743,46.460156694941055,48.5505276923308,50.54157600778053,52.4369144782357,54.23902490158474,55.952415105191314,57.61746185864157
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,"2,4-dichloro-1-(4-nitrophenoxy)benzene",20.935062016350972,22.5017163306222,24.27236369023094,26.195290414812103,28.252369865318354,30.42682365577347,32.702694515800864,35.064037787694325,37.49778056480426,39.989644319601425,42.59535420883466
CCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,"perfluorobutanoic acid, pentyl ester",42.616228309976314,44.96854783936437,47.2843967177376,49.47251434749143,51.5168087106793,53.42485061951639,55.16933481479864,56.783112296406664,58.23102322329568,59.502774614612896,60.68743835736684
CCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,"pentanoic acid, 2,2,3,3,4,4,4-heptafluorobutyl ester",39.24723365918749,41.61700294048974,43.982720510074095,46.244378252166435,48.384620244977256,50.40390701408211,52.30518237535222,54.07075955290537,55.708625041959074,57.19161233287111,58.59694906724231
CCN(CC)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],"N,N-diethyl-2,4,6-trinitrobenzenamine",19.157677108835948,23.252952877274048,27.940384896079532,32.73299530335017,37.57250647985732,42.413096266919894,47.21848459711968,51.96115595965654,56.62056783034929,61.18085997471552,65.80116328433941
