SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
CCCCC1CCCCCCC1,butylcyclooctane,5.452,4.437,3.684,3.132,2.712,2.384,2.122,1.906,1.727,1.575,1.442
C=CC(CCCC)CCCCC,3-butyl-1-octene,2.461,2.007,1.667,1.416,1.223,1.072,0.951,0.851,0.767,0.697,0.635
CC(C)CCC1CCCCC1C,1-methyl-2-(3-methylbutyl)cyclohexane,4.216,3.38,2.755,2.294,1.944,1.672,1.456,1.281,1.137,1.018,0.915
CCCCC1CCCC(CC)C1,1-butyl-3-ethylcyclohexane,2.848,2.335,1.954,1.674,1.461,1.293,1.158,1.047,0.953,0.874,0.803
CCCCC1CCCC1CCC,cis-1-butyl-2-propylcyclopentane,2.128,1.753,1.472,1.265,1.107,0.982,0.881,0.798,0.727,0.667,0.615
FC(F)(F)CC(F)(F)Cl,"1-chloro-1,1,3,3,3-pentafluoropropane",0.345,0.31,0.28,0.256,0.236,0.22,0.206,0.194,0.184,0.176,0.169
FC(F)(F)C(F)(F)CCl,"3-chloro-1,1,1,2,2-pentafluoropropane",0.355,0.318,0.287,0.262,0.241,0.224,0.209,0.197,0.187,0.178,0.17
CC(C)(C)c1ccc(Cl)cc1,4-tert-butylchlorobenzene,9.58,7.212,5.479,4.246,3.35,2.687,2.188,1.807,1.511,1.279,1.09
Cc1ccc(Cl)cc1C(C)C,4-chloro-1-methyl-2-(1-methylethyl)benzene,3.503,2.803,2.273,1.88,1.581,1.347,1.163,1.014,0.893,0.792,0.707
Cc1ccc(C(C)C)cc1Cl,2-chloro-p-cymene,6.995,5.355,4.137,3.257,2.608,2.121,1.75,1.463,1.237,1.058,0.911
CC(C)(Cl)Cc1ccccc1,2-chloro-2-methyl-1-phenylpropane,5.847,4.647,3.73,3.043,2.52,2.115,1.798,1.545,1.341,1.175,1.036
ClCCCCc1ccccc1,1-chloro-4-phenylbutane,2.704,2.198,1.832,1.569,1.372,1.22,1.099,1.0,0.917,0.846,0.784
CCCCc1ccccc1Cl,1-(2'-chlorophenyl)butane,6.65,5.1,3.948,3.114,2.498,2.035,1.682,1.408,1.193,1.022,0.881
CC(CCCl)c1ccccc1,1-chloro-3-phenylbutane,4.141,3.377,2.786,2.339,1.993,1.72,1.502,1.324,1.177,1.055,0.95
CC(C)(CCl)c1ccccc1,1-chloro-2-methyl-2-phenylpropane,7.147,5.653,4.512,3.662,3.016,2.519,2.13,1.822,1.574,1.374,1.206
Cc1ccc(C(C)CCl)cc1,1-chloro-2-(4-methylphenyl)propane,5.926,4.707,3.773,3.074,2.542,2.13,1.807,1.551,1.344,1.176,1.035
Cc1ccc(C(C)C)c(Cl)c1,"benzene, 2-chloro-4-methyl-1-(1-methylethyl)-",3.491,2.793,2.266,1.874,1.576,1.343,1.159,1.011,0.89,0.79,0.705
Cc1ccc(Cl)c(C(C)C)c1,1-chloro-4-methyl-2-(1-methylethyl)benzene,3.485,2.788,2.261,1.87,1.573,1.341,1.157,1.01,0.889,0.789,0.704
CC(C)(C)c1cccc(Cl)c1,m-chloro-tert-butylbenzene,10.76,8.038,6.066,4.676,3.673,2.935,2.382,1.961,1.635,1.379,1.172
CC(C)(C)C(=O)C(Cl)Cl,"1,1-dichloro-3,3-dimethyl-2-butanone",3.315,2.626,2.128,1.771,1.505,1.301,1.14,1.011,0.904,0.814,0.737
CCOC(=O)C(F)(F)[N+](=O)[O-],ethyl difluoronitroacetate,2.476,1.953,1.56,1.271,1.053,0.885,0.753,0.648,0.564,0.495,0.436
CCC(C)(C)CC(Cl)Cl,"1,1-dichloro-3,3-dimethylpentane",2.409,2.012,1.705,1.47,1.285,1.137,1.016,0.915,0.829,0.757,0.693
CCCCCCC(Cl)Cl,"1,1-dichloroheptane",6.182,4.818,3.792,3.039,2.476,2.047,1.716,1.456,1.249,1.083,0.945
CC(C)(C)CC(Cl)CCl,"1,2-dichloro-4,4-dimethylpentane",2.465,2.063,1.751,1.511,1.322,1.171,1.046,0.943,0.855,0.781,0.715
CCCCCC(Cl)CCl,"1,2-dichloroheptane",6.701,5.205,4.083,3.262,2.649,2.184,1.825,1.544,1.322,1.143,0.995
CC(C)(CCCl)CCCl,"1,5-dichloro-3,3-dimethylpentane",4.984,4.017,3.268,2.7,2.263,1.921,1.65,1.432,1.255,1.11,0.988
ClCCCCCCCCl,"1,7-dichloroheptane",4.48,3.655,3.022,2.544,2.174,1.881,1.646,1.454,1.295,1.163,1.048
CC(C)(C)CC(C)(Cl)Cl,"2,2-dichloro-4,4-dimethylpentane",3.224,2.648,2.196,1.848,1.576,1.36,1.187,1.046,0.931,0.835,0.754
COc1cc([N+](=O)[O-])ccc1O,2-methoxy-4-nitrophenol,281.543,181.82,117.423,77.741,52.716,36.573,25.928,18.761,13.839,10.393,7.868
COc1ccc(O)c([N+](=O)[O-])c1,4-methoxy-2-nitrophenol,279.117,180.371,116.565,77.22,52.392,36.367,25.795,18.673,13.779,10.352,7.839
NCC(O)c1ccc(O)c(O)c1,"(.+-.)-.alpha.-(aminomethyl)-3,4-dihydroxybenzyl alcohol",70164.727,34494.147,16829.439,8662.634,4677.679,2636.796,1545.023,937.53,587.235,378.577,245.858
CCOC(=O)c1c[nH]c(C)c1O,"1H-pyrrole-3-carboxylic acid, 4-hydroxy-5-methyl-, ethyl ester",91.923,60.823,40.619,27.964,19.783,14.342,10.629,8.036,6.187,4.842,3.82
C=CC(=O)OCCOCCC#N,2-(2-cyanoethoxy)ethyl 2-propenoate,11.79,8.934,6.837,5.336,4.24,3.423,2.805,2.329,1.957,1.663,1.422
O=C=Nc1cccc2ccccc12,1-naphthyl isocyanate,5.743,4.433,3.436,2.703,2.159,1.751,1.441,1.202,1.017,0.872,0.754
Nc1ccc(-c2ccccc2)cc1,4-aminobiphenyl,28.331,21.21,16.036,12.374,9.726,7.773,6.307,5.189,4.323,3.643,3.091
Nc1ccccc1-c1ccccc1,"2-amino-1,1'-biphenyl",22.689,17.246,13.229,10.342,8.225,6.644,5.444,4.518,3.794,3.221,2.752
CCCCC(=O)N1CCCCC1,1-(1-oxopentyl)piperidine,30.085,22.788,17.385,13.499,10.656,8.543,6.948,5.728,4.782,4.038,3.435
CC(=O)CNCC1CCCCC1,cyclohexylmethylaminopropanone,8.405,6.684,5.39,4.433,3.709,3.148,2.705,2.351,2.063,1.826,1.624
