SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
C#N,hydrogen cyanide,0.33,0.303,0.279,0.258,0.239,0.223,0.208,0.195,0.184,0.175,0.166
CN,methanamine,0.345,0.318,0.294,0.274,0.257,0.241,0.228,0.216,0.206,0.196,0.188
CO,methanol,0.995,0.856,0.742,0.649,0.573,0.51,0.458,0.413,0.375,0.342,0.313
NN,hydrazine,1.407,1.183,1.003,0.862,0.751,0.661,0.589,0.531,0.482,0.442,0.409
Cl,hydrogen chloride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#N,acetonitrile,0.598,0.528,0.474,0.433,0.4,0.374,0.353,0.336,0.322,0.31,0.3
C1CC1,cyclopropane,0.24,0.224,0.21,0.198,0.186,0.176,0.166,0.157,0.148,0.139,0.131
C1CO1,oxirane,0.355,0.328,0.302,0.278,0.255,0.234,0.214,0.195,0.178,0.162,0.147
CC=O,ethanal,0.341,0.31,0.284,0.262,0.244,0.229,0.215,0.203,0.192,0.182,0.173
NC=O,formamide,5.648,4.273,3.286,2.591,2.088,1.715,1.431,1.211,1.038,0.899,0.784
CNC,N-methylmethanamine,0.376,0.335,0.301,0.272,0.249,0.229,0.212,0.198,0.186,0.175,0.167
CCO,ethanol,2.251,1.846,1.522,1.268,1.068,0.908,0.779,0.673,0.586,0.514,0.452
COC,dimethyl ether,0.223,0.208,0.196,0.186,0.176,0.169,0.162,0.156,0.151,0.147,0.144
CS,methanethiol,0.31,0.275,0.246,0.223,0.203,0.187,0.173,0.161,0.151,0.143,0.135
CCl,chloromethane,0.253,0.239,0.226,0.214,0.202,0.191,0.181,0.171,0.162,0.154,0.146
N#CC#N,ethanedinitrile,0.227,0.208,0.193,0.18,0.169,0.16,0.153,0.147,0.143,0.141,0.141
FNF,difluoroamine,0.182,0.164,0.148,0.135,0.125,0.116,0.108,0.102,0.097,0.093,0.09
C=CC#N,propenenitrile,0.512,0.476,0.444,0.418,0.394,0.374,0.357,0.342,0.328,0.317,0.306
CC#CC,2-butyne,0.444,0.386,0.339,0.301,0.271,0.246,0.225,0.207,0.193,0.18,0.169
C#CCC,1-butyne,0.49,0.431,0.383,0.343,0.31,0.283,0.26,0.241,0.225,0.211,0.199
C=CC=C,"1,3-butadiene",0.293,0.265,0.24,0.219,0.2,0.183,0.168,0.155,0.143,0.133,0.124
C=C=CC,"1,2-butadiene",0.347,0.306,0.271,0.244,0.221,0.202,0.186,0.173,0.162,0.153,0.145
FCl,chlorine monofluroride,0.075,0.077,0.09,0.112,0.106,0.1,0.095,0.091,0.087,0.083,0.079
CCC#N,propanenitrile,0.67,0.609,0.555,0.507,0.465,0.428,0.394,0.365,0.339,0.315,0.294
C/C=C/C,(E)-2-butene,0.351,0.324,0.3,0.279,0.26,0.243,0.227,0.213,0.2,0.188,0.177
C/C=C\C,(Z)-2-butene,0.361,0.334,0.309,0.287,0.267,0.249,0.233,0.219,0.205,0.193,0.182
C=CCC,1-butene,0.324,0.299,0.278,0.258,0.241,0.225,0.211,0.198,0.185,0.174,0.163
C1CCC1,cyclobutane,0.392,0.354,0.321,0.294,0.272,0.253,0.237,0.224,0.213,0.204,0.196
CN1CC1,"aziridine, 1-methyl-",0.651,0.558,0.482,0.421,0.371,0.33,0.296,0.267,0.243,0.223,0.205
NC1CC1,cyclopropanamine,0.578,0.498,0.434,0.382,0.34,0.305,0.276,0.252,0.231,0.214,0.199
CC(C)=O,propanone,0.49,0.446,0.408,0.376,0.348,0.325,0.304,0.286,0.27,0.256,0.244
CCC=O,propanal,0.557,0.487,0.431,0.387,0.35,0.319,0.293,0.27,0.251,0.233,0.218
CC1CO1,methyloxirane,0.476,0.431,0.391,0.356,0.323,0.294,0.267,0.242,0.219,0.198,0.179
CC(C)C,2-methylpropane,0.342,0.313,0.287,0.264,0.244,0.226,0.21,0.196,0.182,0.17,0.158
CCCC,butane,0.337,0.311,0.288,0.267,0.248,0.231,0.216,0.202,0.189,0.177,0.166
CC(N)=O,ethanamide,48.861,29.728,18.587,12.29,8.52,6.148,4.592,3.533,2.788,2.251,1.842
CN(C)C,"N,N-dimethylmethanamine",0.317,0.283,0.255,0.233,0.214,0.198,0.185,0.175,0.166,0.158,0.152
CC(C)N,2-propanamine,0.655,0.569,0.502,0.451,0.411,0.379,0.354,0.333,0.316,0.302,0.291
CCCN,1-propanamine,0.699,0.617,0.548,0.492,0.446,0.408,0.375,0.348,0.324,0.303,0.285
CC(=O)O,ethanoic acid,1.768,1.409,1.15,0.967,0.834,0.733,0.656,0.596,0.549,0.51,0.479
CNNC,"N,N'-dimethylhydrazine",1.009,0.85,0.723,0.623,0.543,0.478,0.424,0.38,0.343,0.312,0.285
CC(C)O,2-propanol,6.036,4.272,3.088,2.303,1.76,1.37,1.082,0.864,0.697,0.566,0.46
CCCO,1-propanol,4.543,3.52,2.748,2.179,1.753,1.427,1.174,0.976,0.818,0.692,0.587
C[N+](=O)[O-],nitromethane,0.7,0.633,0.574,0.522,0.476,0.435,0.399,0.367,0.338,0.313,0.289
CSC,2-thiapropane,0.409,0.373,0.344,0.32,0.3,0.283,0.267,0.252,0.237,0.224,0.211
CCS,ethanethiol,0.484,0.422,0.371,0.33,0.296,0.269,0.246,0.226,0.21,0.196,0.183
CCCl,chloroethane,0.349,0.323,0.301,0.281,0.263,0.247,0.232,0.218,0.204,0.192,0.181
N#CCC#N,propanedinitrile,5.104,3.99,3.158,2.551,2.096,1.75,1.48,1.268,1.098,0.961,0.846
c1cc[nH]c1,pyrrole,2.099,1.687,1.381,1.156,0.986,0.854,0.75,0.665,0.596,0.538,0.488
c1ccoc1,furan,0.495,0.431,0.379,0.337,0.303,0.276,0.253,0.233,0.217,0.202,0.19
C1=CCCC1,cyclopentene,0.553,0.496,0.448,0.409,0.376,0.348,0.324,0.304,0.285,0.269,0.255
C=C1CCC1,methylenecyclobutane,0.494,0.424,0.368,0.323,0.287,0.257,0.233,0.213,0.196,0.182,0.17
C=C=C(C)C,"3-methyl-1,2-butadiene",0.522,0.449,0.39,0.342,0.304,0.273,0.247,0.226,0.208,0.193,0.179
CC=C=CC,"2,3-pentadiene",0.58,0.495,0.427,0.373,0.33,0.294,0.265,0.241,0.221,0.204,0.189
C=CC(=C)C,"2-methyl-1,3-butadiene",0.374,0.342,0.316,0.295,0.277,0.26,0.245,0.231,0.218,0.205,0.193
C=C/C=C\C,"(Z)-1,3-pentadiene",0.546,0.468,0.405,0.355,0.315,0.282,0.255,0.232,0.213,0.197,0.184
C=C=CCC,"1,2-pentadiene",0.548,0.47,0.406,0.356,0.315,0.282,0.255,0.232,0.213,0.197,0.183
C=C/C=C/C,"(E)-1,3-pentadiene",0.54,0.464,0.402,0.353,0.313,0.281,0.255,0.233,0.214,0.198,0.185
C=CCC=C,"1,4-pentadiene",0.43,0.375,0.329,0.293,0.263,0.238,0.218,0.201,0.187,0.175,0.165
CCCC#N,butanenitrile,0.939,0.835,0.746,0.673,0.611,0.558,0.512,0.472,0.437,0.407,0.379
C1CCCC1,cyclopentane,0.728,0.654,0.589,0.533,0.484,0.442,0.405,0.372,0.342,0.316,0.291
C=CCCC,1-pentene,0.471,0.409,0.359,0.318,0.285,0.258,0.236,0.217,0.202,0.189,0.178
CC=C(C)C,2-methyl-2-butene,0.376,0.344,0.319,0.3,0.285,0.271,0.259,0.247,0.235,0.224,0.213
C=C(C)CC,2-methyl-1-butene,0.473,0.41,0.359,0.318,0.285,0.258,0.235,0.216,0.201,0.187,0.176
C/C=C\CC,(Z)-2-pentene,0.515,0.444,0.387,0.341,0.304,0.274,0.249,0.228,0.211,0.196,0.184
C/C=C/CC,(E)-2-pentene,0.516,0.445,0.388,0.342,0.305,0.275,0.25,0.229,0.212,0.197,0.185
C=CC(C)C,3-methyl-1-butene,0.415,0.362,0.319,0.285,0.256,0.233,0.214,0.198,0.185,0.174,0.165
ClCl,chlorine,0.251,0.229,0.208,0.188,0.17,0.153,0.137,0.123,0.111,0.1,0.09
C=CC(N)=O,propenamide,9.536,6.791,4.985,3.814,3.016,2.451,2.036,1.722,1.478,1.284,1.125
C1CCNC1,pyrrolidine,1.316,1.142,1.001,0.888,0.795,0.715,0.646,0.586,0.532,0.485,0.441
O=C1CCO1,"1,3-propiolactone",3.134,2.441,1.922,1.543,1.259,1.043,0.876,0.745,0.641,0.557,0.487
CCCC=O,butanal,0.673,0.626,0.581,0.54,0.501,0.465,0.432,0.4,0.371,0.344,0.319
CCC(C)=O,butanone,0.623,0.562,0.508,0.462,0.422,0.387,0.356,0.328,0.303,0.281,0.261
CCC(C)C,2-methylbutane,0.441,0.402,0.368,0.338,0.313,0.29,0.27,0.252,0.236,0.221,0.207
CCCCC,pentane,0.422,0.391,0.364,0.339,0.318,0.298,0.281,0.264,0.249,0.235,0.222
CC(C)(C)C,"2,2-dimethylpropane",0.542,0.486,0.438,0.396,0.36,0.329,0.301,0.277,0.254,0.234,0.216
CN(C)C=O,"N,N-dimethylmethanamide",1.196,1.043,0.917,0.816,0.734,0.665,0.608,0.559,0.517,0.481,0.449
CC(C)(C)N,2-methyl-2-propanamine,0.981,0.822,0.698,0.605,0.531,0.472,0.424,0.384,0.35,0.322,0.297
COC(C)=O,methyl ethanoate,0.492,0.453,0.417,0.384,0.354,0.327,0.302,0.28,0.26,0.241,0.224
CCC(=O)O,propanoic acid,1.518,1.291,1.114,0.978,0.869,0.781,0.707,0.644,0.59,0.542,0.5
CCOCC,diethyl ether,0.392,0.359,0.33,0.305,0.282,0.262,0.245,0.229,0.215,0.202,0.191
CCC(C)O,S(+)-2-butanol,9.415,6.459,4.486,3.208,2.352,1.763,1.348,1.049,0.829,0.664,0.536
CCCOC,1-methoxypropane,0.413,0.374,0.345,0.321,0.301,0.284,0.268,0.254,0.241,0.228,0.216
CC(C)CO,2-methyl-1-propanol,10.596,7.296,5.096,3.673,2.724,2.072,1.612,1.28,1.035,0.852,0.708
CCCCO,1-butanol,6.672,4.902,3.66,2.81,2.21,1.776,1.453,1.21,1.022,0.875,0.756
CC(C)(C)O,2-methyl-2-propanol,43.225,17.915,8.236,4.505,2.793,1.895,1.37,1.035,0.805,0.638,0.509
CNN(C)C,"N,N,N'-trimethylhydrazine",0.582,0.505,0.441,0.39,0.349,0.315,0.286,0.262,0.242,0.225,0.21
NCCCN,"1,3-propanediamine",4.374,3.137,2.341,1.837,1.499,1.264,1.093,0.966,0.869,0.793,0.731
CC(N)CN,"1,2-propanediamine",3.39,2.532,1.951,1.561,1.287,1.088,0.936,0.819,0.725,0.649,0.584
C1CSC1,thiacyclobutane,1.43,1.169,0.967,0.813,0.693,0.6,0.524,0.463,0.413,0.372,0.336
CC[N+](=O)[O-],nitroethane,0.819,0.727,0.649,0.584,0.528,0.481,0.44,0.404,0.373,0.346,0.321
COCOC,dimethoxymethane,0.483,0.433,0.392,0.357,0.328,0.302,0.28,0.26,0.242,0.226,0.211
S=C=S,carbon disulfide,0.337,0.311,0.291,0.275,0.259,0.244,0.229,0.214,0.198,0.182,0.166
CCCS,1-propanethiol,0.663,0.605,0.555,0.511,0.472,0.436,0.404,0.374,0.347,0.322,0.298
CC(C)S,2-propanethiol,0.614,0.53,0.463,0.409,0.366,0.33,0.3,0.276,0.254,0.236,0.22
CCSC,2-thiabutane,0.773,0.657,0.565,0.492,0.433,0.385,0.346,0.314,0.287,0.264,0.244
c1ccccc1,benzene,,0.85,0.743,0.656,0.584,0.524,0.474,0.431,0.394,0.362,0.333
CC#CC#CC,"2,4-hexadiyne",2.318,1.799,1.42,1.148,0.947,0.795,0.678,0.585,0.512,0.452,0.402
N#CCCC#N,butanedinitrile,22.234,13.082,8.135,5.494,3.959,3.002,2.372,1.935,1.62,1.386,1.201
C1=CCCC=C1,"1,3-cyclohexadiene",1.019,0.878,0.763,0.672,0.599,0.538,0.489,0.447,0.412,0.382,0.356
C1=CCC=CC1,"1,4-cyclohexadiene",1.134,0.971,0.839,0.735,0.652,0.584,0.528,0.481,0.442,0.408,0.379
Cn1cccc1,N-methylpyrrole,0.952,0.853,0.77,0.7,0.641,0.59,0.547,0.51,0.478,0.45,0.425
Cc1ccco1,2-methylfuran,0.732,0.615,0.523,0.45,0.392,0.346,0.308,0.277,0.251,0.229,0.21
CC(C)(C)C#N,"2,2-dimethylpropanenitrile",1.413,1.182,0.998,0.855,0.742,0.651,0.578,0.518,0.468,0.427,0.391
c1ccsc1,thiophene,0.788,0.693,0.615,0.551,0.498,0.453,0.415,0.382,0.353,0.328,0.306
C=CCCCC,1-hexene,0.503,0.458,0.418,0.384,0.353,0.327,0.303,0.281,0.262,0.245,0.23
CC(C)=C(C)C,"2,3-dimethyl-2-butene",0.945,0.79,0.667,0.571,0.496,0.436,0.387,0.347,0.314,0.286,0.263
C/C=C\CCC,(Z)-2-hexene,0.819,0.687,0.583,0.501,0.437,0.386,0.344,0.31,0.281,0.257,0.237
ClCCl,dichloromethane,0.391,0.358,0.328,0.303,0.28,0.261,0.243,0.227,0.213,0.201,0.189
O=C1CCCN1,2-pyrrolidinone,47.91,26.614,15.635,10.064,6.966,5.11,3.927,3.134,2.579,2.175,1.865
CN1CCCC1,N-methylpyrrolidine,15.278,11.536,8.799,6.85,5.431,4.379,3.584,2.974,2.499,2.124,1.818
NC1CCCC1,cyclopentanamine,2.072,1.705,1.417,1.197,1.026,0.889,0.78,0.69,0.617,0.555,0.503
C1CCNCC1,piperidine,3.277,2.426,1.812,1.381,1.072,0.847,0.679,0.552,0.454,0.378,0.317
O=C1CCCO1,.gamma.-butyrolactone,1.908,1.662,1.451,1.272,1.12,0.992,0.881,0.787,0.706,0.636,0.574
CC(C)(C)C=O,"2,2-dimethylpropanal",1.055,0.916,0.801,0.707,0.63,0.565,0.51,0.462,0.421,0.385,0.353
CC(C)C(C)C,"2,3-dimethylbutane",0.728,0.65,0.582,0.522,0.47,0.424,0.384,0.348,0.317,0.289,0.264
CCCC(C)C,2-methylpentane,0.523,0.479,0.439,0.404,0.374,0.346,0.322,0.301,0.281,0.263,0.247
CCC(C)CC,3-methylpentane,0.555,0.506,0.463,0.425,0.391,0.361,0.335,0.311,0.289,0.27,0.253
CCCCCC,hexane,0.578,0.522,0.474,0.433,0.398,0.368,0.341,0.318,0.297,0.278,0.261
CC(=O)N(C)C,"N,N-dimethylacetamide",2.157,1.804,1.55,1.367,1.228,1.115,1.021,0.939,0.865,0.798,0.735
O=C1OCCO1,ethylene carbonate,2.766,2.35,2.01,1.739,1.519,1.339,1.189,1.065,0.96,0.87,0.793
CCCC(=O)O,butanoic acid,2.34,1.939,1.629,1.394,1.209,1.062,0.942,0.843,0.76,0.689,0.628
CCOC(C)=O,ethyl ethanoate,0.642,0.567,0.505,0.455,0.414,0.379,0.35,0.326,0.304,0.285,0.269
C1COCCO1,"1,4-dioxane",1.847,1.513,1.262,1.075,0.931,0.818,0.727,0.653,0.591,0.539,0.493
CCCOCC,ethyl propyl ether,0.524,0.475,0.433,0.397,0.366,0.339,0.315,0.294,0.276,0.259,0.244
CCCCOC,butyl methyl ether,0.831,0.705,0.604,0.525,0.462,0.41,0.368,0.334,0.305,0.28,0.259
CCC(O)CC,3-pentanol,22.944,12.628,7.171,4.387,2.86,1.97,1.423,1.071,0.836,0.674,0.555
CC(C)C(C)O,3-methyl-2-butanol,18.753,10.35,6.136,3.99,2.77,2.017,1.524,1.185,0.943,0.765,0.627
CCCC(C)O,2-pentanol,12.216,7.915,5.216,3.582,2.553,1.882,1.431,1.118,0.896,0.735,0.612
CCC(C)(C)O,2-methyl-2-butanol,18.133,10.661,6.414,4.081,2.723,1.891,1.359,1.006,0.764,0.594,0.467
CCC(C)CO,2-methyl-1-butanol,14.353,9.711,6.65,4.7,3.418,2.551,1.95,1.522,1.212,0.982,0.805
CC(C)(C)CO,"2,2-dimethyl-1-propanol",13.664,8.992,6.032,4.21,3.039,2.258,1.721,1.34,1.063,0.858,0.699
CCCCCO,1-pentanol,9.58,6.857,4.99,3.741,2.877,2.262,1.812,1.476,1.22,1.022,0.862
COC(C)(C)C,"1,1-dimethylethyl methyl ether",0.56,0.506,0.46,0.422,0.388,0.359,0.333,0.31,0.289,0.27,0.253
CC(C)CCO,3-methyl-1-butanol,9.987,7.169,5.227,3.919,3.01,2.358,1.88,1.522,1.249,1.036,0.865
C1CCSC1,tetrahydrothiophene,2.71,2.171,1.758,1.45,1.215,1.032,0.888,0.773,0.68,0.603,0.539
COC(=O)OC,dimethyl carbonate,,0.652,0.576,0.514,0.463,0.42,0.384,0.354,0.328,0.305,0.285
C1OCOCO1,"1,3,5-trioxane",2.517,2.056,1.696,1.42,1.205,1.035,0.898,0.787,0.695,0.62,0.555
OCCCCO,"1,4-butanediol",322.896,172.658,95.44,56.896,36.048,24.0,16.64,11.931,8.796,6.639,5.067
CCSCC,3-thiapentane,0.652,0.587,0.531,0.485,0.445,0.411,0.381,0.355,0.331,0.31,0.291
CSC(C)C,3-methyl-2-thiabutane,0.686,0.612,0.549,0.496,0.451,0.413,0.38,0.351,0.326,0.304,0.284
CCCSC,2-thiapentane,0.686,0.616,0.556,0.505,0.462,0.426,0.394,0.366,0.341,0.319,0.3
CC(C)(C)S,2-methyl-2-propanethiol,1.077,0.918,0.789,0.688,0.606,0.539,0.483,0.437,0.397,0.364,0.334
CC(C)CS,2-methyl-1-propanethiol,0.757,0.677,0.608,0.548,0.496,0.451,0.412,0.378,0.348,0.321,0.298
CCC(C)S,2-butanethiol,0.75,0.677,0.614,0.56,0.513,0.471,0.434,0.401,0.372,0.345,0.32
CCCCS,1-butanethiol,0.77,0.7,0.636,0.579,0.529,0.484,0.444,0.409,0.377,0.349,0.324
C1=CC=CCC=C1,"1,3,5-cycloheptatriene",1.757,1.48,1.258,1.085,0.947,0.837,0.746,0.671,0.609,0.557,0.511
Cc1ccccc1,toluene,0.866,0.764,0.678,0.609,0.551,0.501,0.46,0.423,0.392,0.365,0.34
CC(C)(C)Cl,2-chloro-2-methylpropane,0.815,0.702,0.61,0.538,0.479,0.431,0.391,0.358,0.33,0.307,0.287
Nc1ccccc1,benzeneamine,9.731,6.371,4.363,3.179,2.433,1.935,1.588,1.335,1.145,0.999,0.88
Oc1ccccc1,phenol,36.03,19.714,11.327,7.104,4.781,3.407,2.543,1.972,1.578,1.296,1.082
CC(C)(C#N)C#N,dimethylpropanedinitrile,6.96,5.225,3.973,3.093,2.457,1.988,1.635,1.365,1.154,0.987,0.851
N#CCCCC#N,pentanedinitrile,13.85,9.838,7.134,5.351,4.131,3.268,2.641,2.173,1.818,1.542,1.319
CSSC,"2,3-dithiabutane",1.431,1.174,0.973,0.82,0.701,0.607,0.532,0.471,0.42,0.378,0.343
CBr,bromomethane,0.209,0.186,0.167,0.152,0.139,0.128,0.119,0.111,0.105,0.099,0.094
Cc1c[nH]c(C)c1,"2,4-dimethyl-1H-pyrrole",3.217,2.632,2.175,1.824,1.551,1.335,1.162,1.021,0.906,0.81,0.728
Cc1ccn(C)c1,"1H-pyrrole, 1,3-dimethyl-",2.064,1.708,1.446,1.252,1.104,0.986,0.889,0.807,0.737,0.676,0.622
Cc1cccn1C,"1H-pyrrole, 1,2-dimethyl-",2.191,1.794,1.506,1.298,1.141,1.017,0.917,0.833,0.761,0.698,0.642
Cc1ccc(C)[nH]1,"2,5-dimethyl-1H-pyrrole",3.314,2.694,2.214,1.849,1.567,1.346,1.169,1.026,0.909,0.812,0.73
C=C(Cl)Cl,"1,1-dichloroethene",0.356,0.311,0.274,0.244,0.219,0.199,0.182,0.168,0.156,0.146,0.137
C=CN1CCCC1,1-ethenylpyrrolidine,2.126,1.731,1.425,1.193,1.014,0.872,0.759,0.667,0.591,0.529,0.475
O=C1C=CC(=O)O1,(Z)-butenedioic acid anhydride,4.975,3.683,2.773,2.145,1.698,1.371,1.126,0.938,0.792,0.677,0.582
OCc1ccco1,2-hydroxymethylfuran,25.398,12.398,6.954,4.491,3.168,2.374,1.857,1.5,1.244,1.052,0.9
Cc1ccsc1,3-methylthiophene,0.839,0.742,0.66,0.592,0.534,0.485,0.444,0.407,0.376,0.348,0.323
Cc1cccs1,2-methylthiophene,0.884,0.778,0.689,0.615,0.553,0.5,0.454,0.415,0.381,0.351,0.325
C=CCCCCC,1-heptene,1.228,1.008,0.836,0.705,0.604,0.524,0.46,0.408,0.365,0.329,0.299
CC1(C)CCCC1,"1,1-dimethylcyclopentane",1.4,1.151,0.958,0.811,0.696,0.606,0.533,0.475,0.426,0.386,0.352
FBr,bromine fluoride,0.142,0.127,0.115,0.104,0.096,0.089,0.083,0.078,0.073,0.07,0.066
O=C(Cl)Cl,phosgene,0.29,0.259,0.233,0.212,0.195,0.18,0.168,0.159,0.151,0.144,0.139
O=C1CCC(=O)N1,succinimide,66.837,41.954,27.146,18.542,13.241,9.811,7.498,5.881,4.716,3.853,3.183
O=C1CCCCN1,5-pentanelactam,52.745,35.946,25.037,18.12,13.545,10.409,8.189,6.576,5.375,4.461,3.738
CN1CCCC1=O,N-methyl-2-pyrrolidone,2.58,2.131,1.787,1.527,1.327,1.17,1.045,0.944,0.861,0.793,0.735
CC1CCN(C)C1,"pyrrolidine, N,3-dimethyl-",3.051,2.471,2.024,1.687,1.427,1.224,1.063,0.932,0.826,0.739,0.665
CCN1CCCC1,N-ethylpyrrolidine,3.226,2.599,2.119,1.758,1.482,1.267,1.097,0.96,0.849,0.758,0.681
CC1CCCCN1,2-methylpiperidine,3.591,2.891,2.353,1.948,1.638,1.395,1.204,1.05,0.925,0.822,0.735
C1CC12CC2,spiro[2.2]pentane,0.41,0.365,0.327,0.296,0.27,0.248,0.23,0.215,0.202,0.19,0.181
C1=CCCCC1,cyclohexene,1.063,0.923,0.808,0.714,0.638,0.575,0.523,0.478,0.44,0.408,0.379
CC1CCCC1,methylcyclopentane,0.84,0.752,0.675,0.609,0.553,0.504,0.461,0.423,0.39,0.36,0.334
CCC(=O)CC,3-pentanone,0.687,0.633,0.583,0.536,0.494,0.455,0.42,0.388,0.358,0.332,0.308
CCCCC=O,pentanal,0.849,0.76,0.683,0.617,0.561,0.511,0.468,0.431,0.397,0.368,0.341
OC1CCCC1,cyclopentanol,29.79,19.24,12.596,8.561,6.017,4.359,3.245,2.476,1.932,1.538,1.24
CC(=O)C(C)C,3-methyl-2-butanone,1.056,0.877,0.739,0.634,0.552,0.487,0.434,0.39,0.354,0.323,0.297
CCCC(C)=O,2-pentanone,0.779,0.686,0.611,0.551,0.502,0.46,0.425,0.394,0.367,0.344,0.322
CC(C)(N)CN,"2-methyl-1,2-propanediamine",4.11,3.224,2.558,2.069,1.702,1.421,1.202,1.03,0.892,0.78,0.687
C1=CC2CCC1C2,bicyclo[2.2.1]hept-2-ene,1.078,0.862,0.701,0.583,0.494,0.426,0.371,0.328,0.293,0.264,0.239
C1=CCCCCC1,cycloheptene,1.977,1.665,1.417,1.223,1.068,0.943,0.842,0.758,0.688,0.629,0.579
O=C1CCCCC1,cyclohexanone,3.742,2.973,2.395,1.97,1.648,1.4,1.206,1.051,0.925,0.822,0.735
C1CCC2OC2C1,7-oxabicyclo[4.1.0]heptane,1.69,1.345,1.083,0.888,0.739,0.624,0.534,0.463,0.405,0.358,0.318
C[C@@H]1CCC[C@@H]1C,"cis-1,2-dimethylcyclopentane",1.359,1.108,0.913,0.766,0.652,0.563,0.492,0.434,0.387,0.349,0.316
C[C@@H]1CC[C@H](C)C1,"cis-1,3-dimethylcyclopentane",0.84,0.757,0.687,0.631,0.584,0.545,0.512,0.484,0.46,0.44,0.422
C1CCCCCC1,cycloheptane,2.622,2.173,1.809,1.523,1.297,1.117,0.973,0.857,0.763,0.686,0.621
CC1CCCCC1,methylcyclohexane,1.24,1.081,0.949,0.842,0.753,0.678,0.615,0.56,0.513,0.472,0.435
CCCC(=O)CC,3-hexanone,1.858,1.513,1.244,1.041,0.883,0.759,0.66,0.58,0.515,0.461,0.415
CCCCCC=O,hexanal,1.225,1.135,1.038,0.94,0.846,0.76,0.682,0.612,0.551,0.498,0.45
CCCCC(C)=O,2-hexanone,0.903,0.828,0.759,0.697,0.641,0.591,0.546,0.505,0.469,0.436,0.405
CC(=O)C(C)(C)C,"3,3-dimethyl-2-butanone",1.162,1.01,0.885,0.784,0.701,0.632,0.573,0.523,0.48,0.443,0.409
FC(F)(F)S,trifluoromethanethiol,0.153,0.143,0.134,0.127,0.121,0.118,0.116,0.118,0.137,0.186,0.169
CC1COC(=O)O1,"1,2-propanediyl carbonate",3.365,2.746,2.267,1.902,1.62,1.397,1.219,1.075,0.957,0.858,0.775
CCCCC(=O)O,pentanoic acid,3.551,2.871,2.354,1.967,1.67,1.438,1.254,1.105,0.982,0.88,0.793
CC(C)OC(C)C,bis(1-methylethyl) ether,0.555,0.503,0.458,0.42,0.387,0.359,0.334,0.312,0.293,0.276,0.261
CCCOCCC,dipropyl ether,0.704,0.63,0.567,0.513,0.466,0.426,0.391,0.361,0.335,0.312,0.291
CC(O)C(C)(C)C,"3,3-dimethyl-2-butanol",15.207,10.02,6.69,4.623,3.294,2.41,1.807,1.383,1.079,0.857,0.686
CCCCCCO,1-hexanol,12.799,9.076,6.518,4.814,3.644,2.821,2.229,1.793,1.467,1.218,1.021
C1CCSCC1,thiacyclohexane,3.915,3.096,2.486,2.038,1.702,1.444,1.243,1.082,0.953,0.847,0.758
SC1CCCC1,cyclopentanethiol,2.054,1.657,1.352,1.122,0.945,0.806,0.697,0.609,0.537,0.478,0.428
CC1CCSC1,3-methylthiacyclopentane,3.418,2.704,2.163,1.762,1.459,1.226,1.044,0.899,0.783,0.689,0.61
CC1CCCS1,2-methylthiacyclopentane,3.115,2.475,1.988,1.626,1.352,1.14,0.974,0.842,0.736,0.649,0.576
FN(F)N(F)F,"hydrazine, tetrafluoro-",0.182,0.178,0.177,0.2,0.262,0.238,0.149,0.0,0.0,0.0,0.0
N#Cc1ccncc1,4-cyanopyridine,107.929,15.577,5.232,2.928,2.02,1.551,1.267,1.078,0.941,0.837,0.753
CCOC(=O)NN,ethyl hydrazincarboxylate,24.121,16.208,11.085,7.86,5.748,4.316,3.316,2.599,2.074,1.681,1.374
N#Cc1cccnc1,3-cyanopyridine,6.134,4.285,3.133,2.419,1.946,1.616,1.376,1.195,1.054,0.941,0.846
CCOC(=O)OC,ethyl methyl carbonate,0.989,0.839,0.719,0.624,0.549,0.487,0.437,0.395,0.36,0.33,0.304
C=Cc1ccccc1,styrene,1.138,0.964,0.83,0.726,0.645,0.579,0.525,0.479,0.441,0.407,0.378
C1=C\C=C/C=C\C=C/1,"1,3,5,7-cyclooctatetraene",2.193,1.799,1.493,1.261,1.08,0.938,0.824,0.731,0.655,0.592,0.537
O=S1CCCC1,tetramethylene sulfoxide,8.683,6.566,5.08,4.051,3.311,2.76,2.34,2.012,1.751,1.54,1.363
CC(C)CCS,3-methyl-1-butanethiol,1.737,1.417,1.169,0.98,0.834,0.719,0.627,0.552,0.491,0.441,0.398
CCCSCC,3-thiahexane,1.773,1.447,1.194,1.001,0.852,0.734,0.64,0.564,0.502,0.451,0.407
CC(C)C(C)S,3-methyl-2-butanethiol,1.353,1.112,0.925,0.782,0.671,0.583,0.513,0.456,0.409,0.371,0.337
CSC(C)(C)C,"3,3-dimethyl-2-thiabutane",1.189,1.012,0.869,0.758,0.668,0.596,0.536,0.487,0.446,0.411,0.381
CCC(C)(C)S,2-methyl-2-butanethiol,1.09,0.951,0.832,0.732,0.648,0.577,0.516,0.464,0.419,0.381,0.347
CCCCCS,1-pentanethiol,0.959,0.853,0.76,0.682,0.615,0.557,0.507,0.464,0.427,0.394,0.365
