SMILES,FOM1_exp_40
CCCCCCCCc1ccccc1,71.59894854286551
CCCCCCC(C)c1ccccc1,67.88573971667242
CCC1CCCCC1C1CCCCC1,47.79883656982493
CC(C1CCCCC1)C1CCCCC1,42.526772438233294
CC1CCC(CC2CCCCC2)CC1,48.1456101095039
CC(C)CCC(C)(C)c1ccccc1,61.1587299167764
C1CCC(CCCC2CCCC2)CC1,53.900504286088925
CC(C)(C)c1cccc(C(C)(C)C)c1O,39.407776245132204
CCCCCCC(C)C1CCCCC1,60.01925295411784
CC(C)(C)C1CCC(C(C)(C)C)CC1,44.01452447389919
CCCCCCCCC1CCCCC1,62.379106363439355
C=C(C)CCCCCCCCC(=C)C,66.87018539563908
C=CCCCCCCCCCCCC,73.32733357207333
CCCCCCCCCC1CCCC1,68.24851341658061
CCCCCCC=CCCCCCC,72.55153827334227
CCCCCC=C(C)CCCCCC,80.52228027449536
CC(=CC(C)(C)C(C)(C)C)C(C)(C)C,43.38280075355126
COCCOC(=O)c1ccccc1C(=O)OCCOC,46.21335178973108
CCCCCCCCCCCCCC,68.52258072462882
CCCCCCCCCCCC(C)C,68.60855169705403
CCCCCCC(C)CCCCCC,69.70717817493929
CC(C)CCCCCCCCC(C)C,74.721587889914
CCC(CC)CCCCC(CC)CC,69.14366301067285
CC(CC(C)(C)C(C)(C)C)C(C)(C)C,39.945484054459214
CCCCCOC(=O)CCC(=O)OCCCCC,57.458396138170286
CC(C)COC(=O)CCCCC(=O)OCC(C)C,64.86514987911829
CC(C)CCOC(=O)CCC(=O)OCCC(C)C,49.59405640695881
CCCCCCCCOCCOCCOCCO,56.21669574159328
COCCOCCOCCOCCOCCOC(C)C,60.70960175216096
CCCCOCCOCCOCCOCCOCCO,57.710741226637964
c1ccc(CCCc2ccccc2)cc1,62.81587474022591
CC(Cc1ccccc1)c1ccccc1,58.242022346413314
CCc1ccc(Cc2ccccc2)cc1,64.45218391451847
CCCc1ccccc1-c1ccccc1,69.3779177126838
CCc1cccc(Cc2ccccc2)c1,62.68693096398791
CCC(c1ccccc1)c1ccccc1,59.25199427166812
CCc1ccccc1Cc1ccccc1,59.03059610139843
CC(C)c1ccccc1-c1ccccc1,63.443539628722235
Cc1ccccc1Cc1ccccc1C,61.187570414172875
Cc1ccc(C(C)c2ccccc2)cc1,49.90181169866657
Cc1ccc(Cc2ccccc2)cc1C,50.16827553906958
CC(C)(c1ccccc1)c1ccccc1,53.26202164816841
CCc1ccc(C(=O)c2ccccc2)cc1,54.99680435454877
Cc1ccc(C(=O)c2ccccc2)cc1C,52.401004426328235
CCCCCc1cccc2ccccc12,65.89508367642922
Cc1ccc(C)c(CC2CCCCC2)c1,40.9649854850254
CCCCCC1CCCc2ccccc21,51.36614248617263
CCOCCOCCOCCOCC,90.26039135190126
CCCCCCCC(C)c1ccccc1,67.53018375301635
CCCCCCCCc1ccc(C)cc1,63.971649861744446
CCCCCCCc1ccc(C)c(C)c1,55.153163979064
C1CCC(CCCC2CCCCC2)CC1,46.162256908643634
CC(CC1CCCCC1)C1CCCCC1,41.89507151946446
CCCC1CCCCC1C1CCCCC1,44.74453170281035
CCC(C1CCCCC1)C1CCCCC1,43.68798660404014
CCC1CCCC(CC2CCCCC2)C1,48.93963095093233
CC(C)C1CCCCC1C1CCCCC1,43.67580861303022
CC(C)(C1CCCCC1)C1CCCCC1,36.58211869436464
CCCCCCCCCOc1ccccc1,64.02584731883795
CCCCCC1CCCCC1CCCC,61.737405312326786
CCC(C)CC(C)(CC)C1CCCCC1,45.89955080875631
CCCCCCCCCC1CCCCC1,59.004288388970494
C=CCCCCCCCCCCCCC,69.90452891721867
CCCCCCC=CCCCCCCC,69.07620052924234
CCCCCCCCCCC1CCCC1,62.51383537679001
C=CC(C)CCCCCCCCCCC,67.70148220889935
CCCCCCCCCCCCCCC,67.54498058054008
CCCCCCCCCCCCC(C)C,63.82789673844033
CCCCCCCCCCC(CC)CC,65.21220904144127
CCC(CC)CCCCCC(CC)CC,66.79118118349056
CCCCCCCCCCCCCC(C)=O,72.10477909219897
CCCCCCCCCCCCCC(=O)OC,67.28213772137654
CCC(C)CCCC(C)(O)CCCC(C)C,27.067585736026484
CC(C)CCOC(=O)CCCC(=O)OCCC(C)C,47.012095513872
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,62.970282266585066
CCCCCOCCOCCOCCOCCOCCO,54.95111734725244
c1ccc2cc(C3CCCCC3)ccc2c1,45.30852988394305
c1ccc2c(C3CCCCC3)cccc2c1,46.33032850281146
CCC=C(c1ccccc1)c1ccccc1,47.55184608460193
CCC(Cc1ccccc1)c1ccccc1,57.417132971755926
CCCCc1ccccc1-c1ccccc1,68.0091620392444
CCCC(c1ccccc1)c1ccccc1,56.21847219395587
CC(Cc1ccccc1)Cc1ccccc1,54.50437870977431
CC(C)Cc1ccccc1-c1ccccc1,63.69007658638065
CC(C)(Cc1ccccc1)c1ccccc1,52.54110928775329
CCC(C)c1ccccc1-c1ccccc1,59.982986504338925
CC(C)C(c1ccccc1)c1ccccc1,42.513940789620825
CCc1ccc(C(C)c2ccccc2)cc1,48.39398085517413
CC(C)c1ccc(Cc2ccccc2)cc1,57.99898714027094
CCC(C)(c1ccccc1)c1ccccc1,46.52317405894656
Cc1ccc(C)c(C(C)c2ccccc2)c1,49.045318651465735
c1ccc(C2CCCC2)c(C2CCCC2)c1,33.449151745388036
c1ccc(C2CCC3CCCCC3C2)cc1,41.526724665209855
Cc1cc(C)c(C(=O)c2ccccc2)c(C)c1,51.735193462859705
CCCCCCc1ccc2ccccc2c1,70.06348451126027
C=C(C)C1CCC(C)CC1c1ccccc1,51.91547436284736
CC(C)C1C=CC(C(C)C)c2ccccc21,38.078130027893515
CCCCCCCc1ccc2c(c1)CCC2,45.58802720875787
C1CCC(C(C2CCCC2)C2CCCC2)C1,44.24881186208558
CCC(CC1CCCCC1)C1CCCCC1,44.77252885730442
CCCCCCCCCCc1ccccc1,65.91737579793771
CCCCCCc1ccccc1CCCC,59.09132613827361
CCCCCCCCC(C)c1ccccc1,65.0864852572532
CCCCCCCCc1cc(C)ccc1C,65.50662591846847
C1CCC(CCCCC2CCCCC2)CC1,43.669659867338474
CCCCC1CCC(C2CCCCC2)CC1,44.54615092348231
CC(CC1CCCCC1)CC1CCCCC1,44.027835068764155
CC(CCC1CCCCC1)C1CCCCC1,40.26203527973587
CCCC(C1CCCCC1)C1CCCCC1,36.975452151715736
CCC(C)(C1CCCCC1)C1CCCCC1,33.56358638732811
CCCCOC(=O)c1ccccc1C(=O)OCCCC,45.83549218411662
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,42.85755778504285
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,38.35375171466078
CCC(C)OC(=O)c1ccccc1C(=O)OC(C)CC,35.11939363660018
CC(C)COC(=O)c1ccc(C(=O)OCC(C)C)cc1,39.04381094025482
CC(C)COC(=O)c1cccc(C(=O)OCC(C)C)c1,35.27869879380554
CCCCCC1CCC(CCCCC)CC1,59.57943972533189
CCCCCCC1CCCCC1CCCC,60.09879497136236
CCCCCCCCCCC1CCCCC1,56.778676189498604
C=CC(CCC=CCCCCC)CCCC,67.49055836199625
C=CCCCCCCCCCCCCCC,67.7855037026183
CCCCCC=CCCCCCCCCC,67.03199005438162
CCCCCCCCCCCC1CCCC1,63.131755411590326
CCCCCCCCC(C)C=CC(C)(C)C,57.979183424210866
CCCCCCCCCCCCCCCC,63.31435558646911
CCCCCCCCCCCCCC(C)C,63.189528273430334
CCCCCCC(CCC)CCCCCC,64.10061074383916
CCCCCCCCCC(C)CCCCC,62.165787596491946
CCCCC(CC)CCC(CC)CCCC,61.95369295004856
CCC(CC)(CC)CCC(CC)(CC)CC,41.27377392150025
CCCCCCCC(CO)CCCCCCC,40.29380051740073
CCCCCCCCCC(CO)CCCCC,40.37335242381659
CCCCCCCCCCC(CO)CCCC,40.166847539428616
CCCCCCCCCCCC(CO)CCC,41.275555313843256
CCCCCCCCCCCCC(CC)CO,40.61540209956871
CCCCCCCCC(CO)CCCCCC,39.16255895123808
CCCCCCCOC(=O)C(=O)OCCCCCCC,51.647634769484
CCCOC(=O)CCCCCCCCC(=O)OCCC,52.06565366835738
CCCCCOC(=O)CCCCC(=O)OCCCCC,52.763754230908134
CCCCOC(=O)CCCCCCC(=O)OCCCC,63.726844687180844
CCCCCCOCCOCCOCCCCCC,60.375680659591396
c1ccc(Cc2cccc3ccccc23)cc1,54.42234940893441
CC(C)c1ccc2ccc3ccccc3c2c1,49.14966049885189
c1ccc(CCCCCc2ccccc2)cc1,64.18015502805483
CCCCc1ccc(Cc2ccccc2)cc1,54.99049134295748
CCCCC(c1ccccc1)c1ccccc1,51.872642413210144
CCC(Cc1ccccc1)Cc1ccccc1,51.304671241965394
CC(C)CC(c1ccccc1)c1ccccc1,40.96059129551099
Cc1ccc(-c2cccc(C)c2C(C)C)cc1,48.954705635562405
Cc1ccc(CC(C)c2ccc(C)cc2)cc1,47.88221787899628
CC(=Cc1cccc2ccccc12)CC(C)C,50.07484026516568
CC(C)=C(c1cccc2ccccc12)C(C)C,47.04875249006361
Cc1ccc(C2=C(C(C)C)CCC(C)C2)cc1,43.45978604881591
CCCCCCCc1ccc2c(c1)CCCC2,47.303865866695375
CCCCCCCC1CCCc2ccccc21,43.46916307148991
CC(C)=CCCC(C)CC=Cc1ccccc1,54.40768733490908
