n_features,auc
213,0.9670850303382927
211,0.9670850303382927
209,0.9670850303382927
207,0.9670850303382927
205,0.9670850303382927
203,0.9670850303382927
201,0.9670850303382927
199,0.9670850303382927
197,0.9670850303382927
195,0.9670850303382927
193,0.9670850303382927
191,0.9670850303382927
189,0.9670850303382927
187,0.9670850303382927
185,0.9670850303382927
183,0.9670850303382927
181,0.9670850303382927
179,0.9670850303382927
177,0.9670850303382927
175,0.9670850303382927
173,0.9670850303382927
171,0.9670850303382927
169,0.9670850303382927
167,0.9670850303382927
165,0.9670850303382927
163,0.9670850303382927
161,0.9670850303382927
159,0.9670850303382927
157,0.9670850303382927
155,0.9670850303382927
153,0.9670850303382927
151,0.9670850303382927
149,0.9670850303382927
147,0.9670850303382927
145,0.9670850303382927
143,0.9670850303382927
141,0.9670850303382927
139,0.9670850303382927
137,0.9670850303382927
135,0.9663369628459813
133,0.9663369628459813
131,0.966184578727177
129,0.9678330978306042
127,0.9635801956057962
125,0.9638849638434046
123,0.969994181697282
121,0.969994181697282
119,0.9675975951015432
117,0.96952317623916
115,0.9702019782229242
113,0.9702019782229242
111,0.9675975951015432
109,0.968442634305821
107,0.9672097082536779
105,0.9640373479622087
103,0.9627074501980993
101,0.9638295514365667
99,0.9622364447399773
97,0.9672235613553875
95,0.961405258637409
93,0.9689136397639432
91,0.965893663591278
89,0.9679854819494085
87,0.9651317429972571
85,0.9635801956057961
83,0.9606987504502258
81,0.9628321281134846
79,0.9617377330784362
77,0.9610866372980911
75,0.957720333582689
73,0.9550328318510515
71,0.9657966918793117
69,0.9647577092511014
67,0.9678608040340233
65,0.9608372814673206
63,0.9656720139639265
61,0.9663785221511096
59,0.9633585459784446
57,0.9653118333194802
55,0.9647992685562298
53,0.9653533926246087
51,0.9683041032887263
49,0.9628321281134845
47,0.966156872523758
45,0.9634832238938298
43,0.9631923087579309
41,0.9678746571357326
39,0.963691020419472
37,0.96111434350151
35,0.9607541628570636
33,0.9509184606433381
31,0.9617931454852742
29,0.9609204000775775
27,0.959590502313468
25,0.9661291663203391
23,0.9574294184467903
21,0.9589532596348321
19,0.9515418502202644
17,0.948452608539052
15,0.9536475216801041
13,0.955621588673704
11,0.9567159837087524
9,0.9139999445875934
7,0.9237109688859335
5,0.92826863934835
3,0.92091264234062
1,0.8551935278308813
