n_features,auc
213,0.9176462975345657
211,0.9176462975345657
209,0.9176462975345657
207,0.9176462975345657
205,0.9176462975345657
203,0.9176462975345657
201,0.9176462975345657
199,0.9176462975345657
197,0.9176462975345657
195,0.9176462975345657
193,0.9176462975345657
191,0.9176462975345657
189,0.9176462975345657
187,0.9176462975345657
185,0.9176462975345657
183,0.9176462975345657
181,0.9176462975345657
179,0.9176462975345657
177,0.9176462975345657
175,0.9176462975345657
173,0.9176462975345657
171,0.9176462975345657
169,0.9176462975345657
167,0.9176462975345657
165,0.9176462975345657
163,0.9176462975345657
161,0.9176462975345657
159,0.9176462975345657
157,0.9176462975345657
155,0.9176462975345657
153,0.9176462975345657
151,0.9176462975345657
149,0.9176462975345657
147,0.9176462975345657
145,0.9176462975345657
143,0.9176462975345657
141,0.9176462975345657
139,0.9176462975345657
137,0.9176462975345657
135,0.9176462975345657
133,0.9176462975345657
131,0.9195660145380816
129,0.9248290589072713
127,0.9248721986152153
125,0.9240956838722202
123,0.919673863807942
121,0.9213778822717369
119,0.923815275770583
117,0.9168050732296542
115,0.9175168784107331
113,0.9240956838722202
111,0.9197601432238304
109,0.9168050732296543
107,0.9286037833523867
105,0.9286037833523867
103,0.9316667026164233
101,0.9289489010159402
99,0.9319255408640883
97,0.9250016177390479
95,0.9311490261210932
93,0.9038200211384569
91,0.9179267056362029
89,0.9251310368628806
87,0.9246349302215223
85,0.915532451845301
83,0.924030974310304
81,0.9326157761911952
79,0.9288626216000517
77,0.9181208343219517
75,0.9085438191583443
73,0.9109380729492461
71,0.9198464226397188
69,0.9193934557063049
67,0.8918056124760035
65,0.9096007420029767
63,0.9338452578676043
61,0.9251094670089083
59,0.9042082785099544
57,0.9019865835508294
55,0.9169560622074588
53,0.9126420914130411
51,0.9228446323418391
49,0.9180561247600355
47,0.9177757166583983
45,0.9191130476046677
43,0.9335001402040509
41,0.9338236880136321
39,0.9301136731304328
37,0.9372317249412222
35,0.923556437522918
33,0.9317098423243675
31,0.9338883975755484
29,0.9377494014365522
27,0.9230819007355322
25,0.9174953085567611
23,0.9320333901339488
21,0.919156187312612
19,0.9233623088371692
17,0.9178835659282587
15,0.914065701775199
13,0.9047690947132287
11,0.8758654903906301
9,0.8734496667457563
7,0.8571320722158712
5,0.8433273656737342
3,0.8421410237052696
1,0.7444942947736244
