mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.543009996414185,0.6354740985054539,0.06015734672546387,0.007877639051098053,1.0,1,5000,2,50,0.1,0.9,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 50, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.9441440719825918,0.9480288891558867,0.9677600224278105,0.9736606725673168,0.9501362834696168,0.9567459879206446,0.011712384914573463,5661
11.441663455963134,0.17491111084134897,0.0568181037902832,0.0013556872086128188,0.7,10,1000,3,6,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9467072503237347,0.9574138598528841,0.9671993271656854,0.9773318915455165,0.9514991181657848,0.9600302894107212,0.01102606453561539,1656
3.052706480026245,0.5019645861196859,0.014024734497070312,0.0007135056224209592,0.7,10,100,1,100,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 100, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.9436234263820471,0.9624868169863965,0.9556783745177353,0.976170451359686,0.9562423173534284,0.9588402773198587,0.010601242960815186,3318
1.738166332244873,0.24326283920318645,0.016698741912841798,0.0002859670637332746,0.7,1,200,4,10,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'n_estimators': 200, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.9511127130975743,0.9545035844447114,0.9641689027727716,0.9796013723684035,0.9562155951044841,0.9611204335575889,0.010186587899040863,462
9.94457459449768,0.5029015000511743,0.07097492218017579,0.005184471115341937,0.7,5,1000,6,100,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 100, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9502716702043867,0.9567864151547919,0.9677333226534235,0.978760329475216,0.952260702260702,0.9611624879497039,0.010675782011465436,439
6.334460830688476,0.43557468611193034,0.030485105514526368,0.001709107168130948,1.0,2,500,5,20,0.01,1.0,"{'subsample': 1.0, 'scale_pos_weight': 2, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9433697785253715,0.954610383542259,0.9625135167607833,0.9798550202250791,0.9558281224947891,0.9592353643096564,0.01200527425530574,2757
1.2525101184844971,0.042021855912319814,0.013417530059814452,0.000419281652377734,0.7,2,300,1,20,0.5,0.9,"{'subsample': 0.7, 'scale_pos_weight': 2, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.5, 'colsample_bytree': 0.9}",0.9276436114114835,0.9339047085052131,0.960057137517188,0.9690950111471558,0.9368152423707978,0.9455031421903677,0.016108141840157048,9448
0.4421394824981689,0.013324970979765894,0.006550645828247071,0.0002674407676315445,0.7,5,100,4,3,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.9439438236746899,0.9631676612332626,0.966772130775495,0.9758233542926562,0.9544118433007323,0.9608237626553672,0.010880346896337217,720
3.064632797241211,0.17499978954669732,0.024614238739013673,0.0008701525694833522,0.7,5,500,4,20,0.1,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.9445312187112018,0.9478553406223718,0.9703499005433405,0.9717249389242661,0.955026455026455,0.9578975707655271,0.011260601104453873,4511
28.823870182037354,2.515599945174447,0.19520993232727052,0.016531504443094022,1.0,5,5000,3,50,0.01,0.8,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.9449317153270055,0.9506721668201903,0.9691350608087361,0.9759168035030104,0.9567767623323179,0.9594865017582521,0.011488485569390626,2406
0.9636270523071289,0.02217798150286513,0.01157827377319336,0.000551420835717762,0.7,2,300,5,10,0.5,1.0,"{'subsample': 0.7, 'scale_pos_weight': 2, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.5, 'colsample_bytree': 1.0}",0.9219565594670724,0.9377761757913147,0.9628205641662329,0.9638084558185483,0.941585163807386,0.945589383810111,0.01590244349223066,9441
