mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.783385515213013,0.6617598994126057,0.07197790145874024,0.01352813678202427,1.0,1,5000,2,50,0.1,0.9,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 50, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.9513129040688095,0.9551963899249436,0.9626099369157802,0.92882304185661,0.922514619883041,0.9440913785298368,0.015601841765369651,5162
9.539097690582276,0.742214875365993,0.06107339859008789,0.007469863650623685,0.7,10,1000,3,6,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9555055618047744,0.9566353547911773,0.9604342220380346,0.9523875305060552,0.9312520145508126,0.9512429367381708,0.010321578708461319,178
3.5222369194030763,0.11498266429842564,0.014203166961669922,0.000395654194608849,0.7,10,100,1,100,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 100, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.9518696526570543,0.9548855735138371,0.9557489524335774,0.9455380577427821,0.9334507528664181,0.9482985978427336,0.008242906606192217,1443
1.531608486175537,0.038058206129577686,0.017961692810058594,0.0004353170808896679,0.7,1,200,4,10,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'n_estimators': 200, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.9510742975309904,0.957199429018741,0.9580743196574113,0.9363401943178155,0.928385596537275,0.9462147674124466,0.011834807399583305,3136
9.951457738876343,0.8276439787236862,0.08128194808959961,0.005798568004272681,0.7,5,1000,6,100,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 100, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.955335128563475,0.9563590735368606,0.9618041165906893,0.9493023898328499,0.932644932541327,0.9510891282130404,0.0100398466785185,233
6.595549726486206,0.5945171463521741,0.0361391544342041,0.0017788946011751774,1.0,2,500,5,20,0.01,1.0,"{'subsample': 1.0, 'scale_pos_weight': 2, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9433366283759985,0.9566008196343878,0.9522033430031772,0.939413823272091,0.9213289128332642,0.9425767054237838,0.012258857425107714,6427
1.1634349822998047,0.05976309908136859,0.013741254806518555,0.0002379623816947111,0.7,2,300,1,20,0.5,0.9,"{'subsample': 0.7, 'scale_pos_weight': 2, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.5, 'colsample_bytree': 0.9}",0.9415527604503982,0.9582354837224294,0.9530552102039876,0.9295713035870516,0.9184509831007966,0.9401731482129326,0.014685709936908027,7763
0.3452011585235596,0.006006886971642374,0.00681157112121582,0.00021865827381728774,0.7,5,100,4,3,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.9503130290531865,0.9521112492517383,0.9546898742920292,0.9498779757793433,0.9351199521112492,0.9484224160975092,0.0068634851453339045,1341
2.9417592525482177,0.10763556233569137,0.025801610946655274,0.0006676948706805726,0.7,5,500,4,20,0.1,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.9565963345490904,0.9541603352212552,0.9599161946861905,0.9396670810885481,0.9278560574665009,0.947639200602317,0.012069858912748085,1901
26.275679731369017,4.080323062232735,0.22110424041748047,0.021904196059879893,1.0,5,5000,3,50,0.01,0.8,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.9487904920975787,0.9552079016438734,0.9624142376939725,0.9453193350831146,0.9264401160381268,0.9476344165113332,0.01209706804620485,1907
