SMILES,MP-Measured,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_aldehyde,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_term_acetylene,fr_unbrch_alkane
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,222.0,13.474536223439994,-1.6455370790291424,13.474536223439994,0.062482520786091955,0.7288385619310164,402.48700000000025,372.2470000000002,402.20423868,158,0.30256567249419414,-0.4577419250897017,0.4577419250897017,0.30256567249419414,1.1724137931034482,1.896551724137931,2.586206896551724,16.53598630084792,9.455657827653068,2.680252584455242,-2.572726109912666,2.6613244662182165,-2.6060965712227264,5.946001988013994,-0.17308973932674268,1.6645960183635236,827.2246952751074,21.189869965382485,17.45471037407016,17.45471037407016,13.52634667028197,10.684315313225824,10.684315313225824,10.002988239491408,10.002988239491408,8.674412538728149,8.674412538728149,7.132140282640723,7.132140282640723,-1.82,2615370.761020968,20.452681999454565,6.592039177891436,2.781689026590061,170.60891728013172,9.843390348640755,11.384295757348628,12.390126910877857,5.783244946364939,0.0,5.969305287951849,19.178148736287287,0.0,0.0,0.0,19.420578929450514,55.43093078318349,31.098276961100815,0.0,29.021539084928037,23.319040127046666,28.58369907727774,71.31801377053763,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,40.633500297383975,23.915011690087333,28.58369907727774,65.71696295955394,11.64912463690315,0.0,97.74000000000001,29.375473479210175,24.28467613112799,0.0,41.15602012353685,25.683286491704038,18.414747775921285,6.923737199690624,6.076020106833881,6.923737199690624,6.923737199690624,4.736862953800049,4.863451608786066,49.374970368551146,11.417426123609836,-1.6792887492781516,-0.8111175609987382,0.0,5.6586565345423825,4.7592350081207915,0.0,0.7391304347826086,29,1,6,4,0,4,0,0,0,6,1,6,3,3,0,3,4,2.560600000000001,103.68980000000006,0,1,0,0,0,0,0,4,4,0,1,0,0,5,0,1,1,0,3,2,0,0,0,0,0,0,0
CC(O)C(O)=O,40.8666666666666,9.449074074074074,-1.231481481481482,9.449074074074074,1.185185185185185,0.45393595064720316,90.07799999999999,84.02999999999999,90.031694052,36,0.3317230795714236,-0.4793355989963274,0.4793355989963274,0.3317230795714236,1.8333333333333333,2.0,2.0,16.39873526009665,10.433967204080325,2.0098075135364684,-1.8854873463348742,1.7291923204449289,-2.130994800713713,5.706957285736959,-0.1450575584222451,3.2575861612334887,57.058650025961626,5.1547005383792515,3.3800257506534046,3.3800257506534046,2.6427344100918364,1.5519552365135103,1.5519552365135103,1.014211137204421,1.014211137204421,0.3573902296597741,0.3573902296597741,0.0,0.0,-0.5700000000000001,13.609640474436812,5.43,1.7676338396942162,1.7215451895043727,35.21912486105855,10.213054789681411,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,0.0,15.007591973753232,5.969305287951849,0.0,13.027703587438927,0.0,0.0,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,0.0,6.923737199690624,0.0,0.0,57.53,12.073271675700152,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,0.0,9.449074074074074,15.770833333333332,0.0,-1.185185185185185,0.0,-1.231481481481482,1.1967592592592593,0.0,0.6666666666666666,6,2,3,0,0,0,0,0,0,2,2,3,1,0,0,0,0,-0.5482,19.3166,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,218.5,12.361570770557739,-1.5437315234735869,12.361570770557739,0.0696792328042326,0.6960164410604959,362.4660000000002,332.22600000000006,362.2093240599999,144,0.18962916290746307,-0.39277286440229164,0.39277286440229164,0.18962916290746307,1.2307692307692308,1.9615384615384615,2.6538461538461537,16.315822253576798,9.451053869789375,2.676316190269526,-2.6005637518421523,2.6708390703329847,-2.615899333979757,5.914684808066021,-0.1817984131897997,1.7350832012021686,683.8889217536757,18.90541291500631,15.701742962868114,15.701742962868114,12.170504622625403,9.957047497308324,9.957047497308324,9.557340138479042,9.557340138479042,8.653266583245497,8.653266583245497,7.281019867932493,7.281019867932493,-1.0400000000000003,715692.1381653672,18.329215372052044,5.727622740292945,2.138229150219643,154.0309111261361,15.319582184522117,12.207932775496605,11.566489892729878,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,19.420578929450514,67.7696584522709,11.83581209232279,6.103966387748303,24.90865655266576,11.566489892729878,28.583699077277743,70.49824295859531,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,45.1979712404969,9.589074368143644,28.583699077277743,58.79322575986332,11.64912463690315,0.0,94.83,29.51013457900663,24.90865655266576,0.0,28.951953554245897,19.26246486877803,25.683286491704038,5.573104530069267,6.076020106833881,6.923737199690624,6.923737199690624,0.0,0.0,24.256966952531407,31.725521463742414,-1.2319753217645077,0.13994650962747124,0.0,5.735065983349261,3.457807745847293,0.0,0.8095238095238095,26,3,5,4,0,4,0,0,0,5,3,5,2,3,0,3,4,1.7815999999999996,95.14240000000004,0,3,2,0,0,0,0,2,2,0,1,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O,282.0,10.391005133534895,-0.5651252414546069,10.391005133534895,0.11606556279919378,0.687428138033629,288.387,264.19499999999994,288.17254462799997,114,0.11537061826422061,-0.5079560321952997,0.5079560321952997,0.11537061826422061,1.1904761904761905,2.0,2.8095238095238093,16.330575497855286,9.552088514701344,2.5715154527123016,-2.494371169409711,2.6041087707419948,-2.4435891708199318,5.397619066182509,-0.05051207242527102,1.7102706989281622,569.5819082919402,14.77565640300939,12.495976845949622,12.495976845949622,10.003855748193214,8.184163795783327,8.184163795783327,7.5910135225105195,7.5910135225105195,6.683314502003891,6.683314502003891,5.556316996095034,5.556316996095034,-1.06,89570.1319835637,13.592466652326033,4.467155494987557,1.8006507095340074,125.17591628825663,15.319582184522117,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.990104268152233,78.53245384282822,0.0,12.207932775496605,15.319582184522117,0.0,17.250802561719567,57.15368413597868,0.0,29.32600418877882,5.749511833283905,0.0,0.0,5.749511833283905,27.52751496001872,6.4208216229260096,17.250802561719567,49.651832720950054,18.19910120538483,0.0,60.69,12.207932775496605,15.319582184522117,0.0,5.41499046939678,23.503229971768086,32.10410811463005,11.126902983393991,6.06636706846161,6.06636706846161,12.990104268152233,0.0,0.0,0.0,30.2024608686067,2.565347891471404,1.875258815717645,5.802598576467624,3.803230715125557,2.167769799277736,0.0,0.6666666666666666,21,3,3,3,0,3,1,0,1,3,3,3,0,2,0,2,4,2.5800000000000005,80.12040000000003,0,2,2,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,200.0,10.372486615016378,-0.08827338960275499,10.372486615016378,0.08827338960275499,0.757169743555686,272.388,248.19599999999994,272.177630008,108,0.11537061826422038,-0.5079560321952997,0.5079560321952997,0.11537061826422038,1.15,2.0,2.85,16.26913717776849,9.552114097841617,2.537842238115376,-2.4966273038731774,2.603738953521032,-2.434211651519902,5.396715522090705,-0.022575026859024093,1.7111998765070122,538.2198018097884,13.905412915006313,12.178519762446586,12.178519762446586,9.593172145670254,8.092631572702832,8.092631572702832,7.436274352474406,7.436274352474406,6.660103851837375,6.660103851837375,5.541204479556271,5.541204479556271,-1.02,62569.18896407333,12.700482099286223,4.2366779154371,1.604791759224291,120.38168253606062,10.213054789681411,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.990104268152233,84.95327546575423,0.0,6.103966387748303,10.213054789681411,0.0,17.250802561719567,57.47053937115639,0.0,29.32600418877882,5.749511833283905,0.0,0.0,5.749511833283905,16.317021177429716,6.4208216229260096,17.250802561719567,56.07265434387607,18.19910120538483,0.0,40.46,0.0,10.213054789681411,0.0,11.518956857145081,17.585323925606694,25.18037091493942,30.38936785217202,0.0,12.13273413692322,12.990104268152233,0.0,0.0,0.0,20.0496733276644,2.991817090262031,2.488895646993365,5.955254314688839,6.780339821113632,2.3173531326110695,0.0,0.6666666666666666,20,2,2,3,0,3,1,0,1,2,2,2,0,2,0,2,4,3.6092000000000026,78.73060000000004,0,1,1,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0
c1c2ccccc2c2ccc3cccc4ccc1c2c34,176.5,2.309074074074074,1.3179454837490554,2.309074074074074,1.3179454837490554,0.24345418372476169,252.31599999999997,240.21999999999994,252.093900384,92,-0.0020351483441468734,-0.06162863921924358,0.06162863921924358,0.0020351483441468734,0.4,1.1,2.0,14.126846279404472,9.910302212042629,2.0941152955904183,-2.1228891175133753,2.375276775749175,-1.8460058247375353,6.282882235162667,1.7826781613557365,2.2308401762301724,1069.7218869027129,13.10408352775558,10.928203230275512,10.928203230275512,9.915816237971967,6.970084679281464,6.970084679281464,5.453738644055911,5.453738644055911,4.370903899401219,4.370903899401219,3.4894938406919622,3.4894938406919622,-2.5999999999999988,105539.33725817603,10.21902349550179,3.486521567643158,1.1630091486510117,116.13708612657337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.73003775307771,49.15616078417998,0.0,0.0,0.0,43.089793715718365,0.0,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,43.089793715718365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.089793715718365,0.0,0.0,72.79640482153933,0.0,0.0,0.0,10.820693972033261,0.0,0.0,26.512639361300074,0.0,0.0,0.0,0.0,20,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5.737200000000003,87.65200000000004,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(ccc43)OC(=O)c3ccccc3)[C@@H]1CC[C@@H]2O,196.0,12.355329309979489,-0.30313687209655793,12.355329309979489,0.11490532529477981,0.5842361578235643,376.4960000000001,348.2720000000001,376.20384475599997,146,0.3430217183175209,-0.42292951054951816,0.42292951054951816,0.3430217183175209,1.0714285714285714,1.8928571428571428,2.7142857142857144,16.53590725654433,9.552092999293615,2.53841353059676,-2.496825022577266,2.6043579021630343,-2.4343965126761913,5.9050778352773134,-0.022574242055311645,1.371829448188123,889.9208988191018,19.30275414050485,16.434554093822484,16.434554093822484,13.559498640859042,10.642080813171605,10.642080813171605,9.169322678088431,9.169322678088431,7.868025638910014,7.868025638910014,6.334851154434491,6.334851154434491,-2.1299999999999994,4301990.802032556,17.93401604811566,6.734775805255079,2.792042995422955,166.2845524338759,9.843390348640755,5.749511833283905,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,31.18920547353706,97.08600960267746,0.0,11.6674178794453,14.637927532712576,5.969305287951849,17.250802561719567,57.47053937115639,0.0,65.22129102278387,5.749511833283905,4.736862953800049,0.0,5.749511833283905,17.17979907054086,6.4208216229260096,17.250802561719567,66.43064301964488,48.53093654769288,0.0,46.53,0.0,9.901064578912528,0.0,17.488262145096932,29.06668146346508,25.683286491704038,23.96854622924601,12.13273413692322,24.26546827384644,19.056471336613843,4.736862953800049,5.63000171460534,12.355329309979489,10.534961112597642,3.469166412281788,2.252505089616988,15.3640887317066,6.497913749738522,2.312700546140301,0.0,0.48,28,1,3,3,0,3,2,0,2,3,1,3,2,2,0,2,5,5.122800000000006,108.46630000000005,0,1,1,0,0,0,0,1,1,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0
CC(=O)Oc1ccccc1C(O)=O,135.0,10.611948223733938,-1.1140277777777776,10.611948223733938,0.01601851851851821,0.5501217966938848,180.15899999999996,172.09499999999997,180.042258736,68,0.33900378687731025,-0.4775395271554559,0.4775395271554559,0.33900378687731025,1.3076923076923077,1.9230769230769231,2.4615384615384617,16.536111221254316,10.182282381035344,2.1043069809578547,-2.0311320919470144,2.1698345568128037,-2.0630000619642956,5.913065796110139,-0.13141434244030778,3.0435273546341013,343.2228677267164,9.844934982691242,6.9813595436500515,6.9813595436500515,6.109060905280622,3.6174536478673316,3.6174536478673316,2.3949556783206725,2.3949556783206725,1.3711546649445037,1.3711546649445037,0.8871712192374142,0.8871712192374142,-1.8399999999999999,729.6807528797516,9.249605734767023,3.7092512583454584,2.297415032519928,74.75705264447721,9.843390348640755,11.3129633249809,0.0,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,12.13273413692322,12.13273413692322,6.923737199690624,0.0,19.4324647167844,11.938610575903699,0.0,6.923737199690624,0.0,29.828919765543436,5.749511833283905,4.736862953800049,0.0,5.749511833283905,17.045137970744406,4.794537184071822,0.0,17.28172587545944,24.26546827384644,0.0,63.6,11.938610575903699,9.589074368143644,0.0,11.3129633249809,0.0,0.0,19.056471336613843,12.13273413692322,0.0,4.736862953800049,5.106527394840706,4.686898148148147,21.184767573696142,8.687243008314436,-0.01601851851851821,-1.5758796296296294,5.978792517006803,0.0,1.2208635676492818,0.0,0.1111111111111111,13,1,4,0,0,0,1,0,1,3,1,4,2,0,0,0,1,1.3101,44.71030000000002,0,0,0,1,0,1,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Cc1cc(O)c(cc1)C(O)=O,177.0,10.373059334845049,-1.108796296296296,10.373059334845049,0.059629629629629255,0.639001665426546,152.14899999999997,144.08499999999998,152.047344116,58,0.33896944077635643,-0.5070424307743948,0.5070424307743948,0.33896944077635643,1.4545454545454546,2.090909090909091,2.5454545454545454,16.367675942130404,10.128796698169246,2.0688134647550522,-1.9825157955067034,2.170923962798209,-1.955925330030815,5.902352000813132,0.06935204651182075,3.1960696621259204,291.3886867286258,8.430721420318147,6.034726289032657,6.034726289032657,5.1090609052806215,3.139371612444475,3.139371612444475,2.3257559465363054,2.3257559465363054,1.3836426803853064,1.3836426803853064,0.8225239719514463,0.8225239719514463,-1.51,252.1073814437375,7.595374077976819,2.6172633656097566,1.490370509139573,63.91127695272596,10.213054789681411,11.3129633249809,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,6.06636706846161,24.619922828310838,0.0,0.0,15.007591973753232,5.969305287951849,0.0,6.923737199690624,0.0,29.32600418877882,5.749511833283905,0.0,0.0,5.749511833283905,16.182360077633263,0.0,6.923737199690624,15.921440167465814,18.19910120538483,0.0,57.53,5.969305287951849,4.794537184071822,0.0,11.3129633249809,0.0,5.563451491696996,12.13273413692322,12.990104268152233,0.0,0.0,10.213054789681411,0.0,10.373059334845049,17.577465986394557,0.7806481481481488,-1.291666666666666,4.444074074074074,0.0,1.783085789871504,0.0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1.3988199999999997,39.80310000000001,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,133.0,9.119537037037038,-1.5689351851851854,9.119537037037038,0.5257870370370368,0.29015285452995804,180.156,168.05999999999997,180.063388104,72,0.183570328512782,-0.3935665160029449,0.3935665160029449,0.183570328512782,0.9166666666666666,1.5,2.0,16.639742085644873,9.995184470406004,2.4192139786332736,-2.368817634024755,2.1844363674643166,-2.579051239604407,4.874163848085258,-0.28611144188896825,2.6344089870615974,146.2188491003481,9.300964908321225,6.238174395098331,6.238174395098331,5.574586062669973,3.562009469593711,3.562009469593711,2.719449317389575,2.719449317389575,1.867059489777345,1.867059489777345,1.0817338105856498,1.0817338105856498,-0.24000000000000002,454.5175035427365,9.845034013605442,3.6489161032347726,1.5817587586505184,68.64284443677029,30.269499928003576,24.41586555099321,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,30.269499928003576,0.0,0.0,30.70589228032842,6.606881964512918,0.0,0.0,0.0,0.0,0.0,62.84541121904486,4.736862953800049,0.0,0.0,0.0,0.0,110.38000000000001,37.312774244841336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,25.532636974203527,4.575925925925926,0.0,44.65722222222222,0.0,0.0,0.0,-7.040694444444446,-0.5257870370370368,0.0,1.0,12,5,6,0,1,1,0,0,0,6,5,6,1,0,1,1,1,-3.2214000000000005,35.986,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
