SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
CC12CCC(CC1)C(C)(C)O2,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",0,0.90861,0.8573,2.068,0.805,0.109,0.101,208.0,247.0,314.0,371.0,274.55,449.34,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,58.68688219729907,76.03381924984271,65.89555674549388,85.25228612802725
CC12CCC(C1)C(C)(C)C2O,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol","1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",0,,,,,,,213.0,251.0,,,314.63,468.0,,313.15,373.15,wtt_bulk_partial_2of8,154.253,,,,
COC(=O)C1CCCC(C(=O)OC)C1,"trans-dimethyl cyclohexane-1,3-dicarboxylate","trans-dimethyl cyclohexane-1,3-dicarboxylate",0,,,,,,,,,,,,,,313.15,373.15,wtt_bulk_no_props,200.234,,,,
CC(C)=CCCC(C)=CCO,"(E)-3,7-dimethyl-2,6-octadien-1-ol","(E)-3,7-dimethyl-2,6-octadien-1-ol",0,0.8663,0.8201,3.578,1.134,0.133,0.124,241.0,277.0,357.0,381.0,,502.6,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,58.72922444640932,80.23591245266051,65.59314293543287,87.76339853710213
CC1CC(C(=O)O)C(C(=O)O)CC1C,"cis-4,5-dimethylhexahydrophthalic acid","(R)-3,7-dimethyl-6-octenal",0,0.8396,0.7914,1.906,0.834,0.146,0.135,239.0,275.0,334.0,362.2,,480.0,,313.15,373.15,wtt_bulk_complete+cpsat2,200.234,70.33795729957696,87.26814641629268,77.28163530109512,94.29825642117184
CC(C)=CCCC(C)=CCO,"(Z)-3,7-dimethyl-2,6-octadien-1-ol","(Z)-3,7-dimethyl-2,6-octadien-1-ol",0,0.8615,0.812,3.134,1.022,0.134,0.124,241.0,277.0,366.0,389.0,,493.0,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,62.48954245838651,84.2367428540241,70.2834675638959,92.67974488083011
CCCC=C=C(C)C(C)(C)O,"2,3-dimethyl-3,4-octadien-2-ol","2,3-dimethyl-3,4-octadien-2-ol",0,0.8531,0.807,37.51,4.213,0.266,0.249,245.0,280.0,,,,490.0,,313.15,373.15,wtt_bulk_complete,154.253,50.10514106040256,91.76803957027025,,
CC(C)C=CC(=O)CC(C)C,"2,7-dimethyl-5-octen-4-one","2,7-dimethyl-5-octen-4-one",0,0.826,0.7783,1.453,0.694,0.152,0.141,239.0,276.0,332.0,360.6,,477.0,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,83.85175468549755,101.84043324917118,91.97397753240038,109.79532514184592
CC1CCCC(C)(C)CC1=O,"2,6,6-trimethylcycloheptanone","2,6,6-trimethylcycloheptanone",0,0.891,0.8431,3.479,1.423,0.142,0.132,218.0,257.0,338.0,364.0,,503.1,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,60.93693832951858,77.8768630930527,68.93774705741782,85.88791920913148
CC(C)(C)C1CCCCC1=O,"2-(1,1-dimethylethyl)cyclohexanone","2-(1,1-dimethylethyl)cyclohexanone",0,0.918,0.869,4.466,1.427,0.134,0.125,219.0,259.0,288.0,322.5,,475.0,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,54.903888765502906,75.4708219404649,59.3011729112689,80.27258822885626
