SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
CC(C)c1ccc(C(=O)O)cc1,4-(1-methylethyl)benzoic acid,4-(1-methylethyl)benzoic acid,0,,,,,,,213.0,249.0,,,390.0,601.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(C)c1cccc(O)c(=O)c1,"2-hydroxy-4-(1-methylethyl)-2,4,6-cycloheptatrien-1-one","2-hydroxy-4-(1-methylethyl)-2,4,6-cycloheptatrien-1-one",0,,,,,,,211.0,245.0,,,324.6,610.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(=O)c1c(C)cc(C)cc1O,"1-(2-hydroxy-4,6-dimethylphenyl)ethanone","1-(2-hydroxy-4,6-dimethylphenyl)ethanone",0,,,,,,,216.0,247.0,,,333.1,525.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
c1ccc(C2OCCCO2)cc1,"2-phenyl-1,3-dioxane","2-phenyl-1,3-dioxane",0,,,,,,,187.0,221.0,,,321.6,501.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC=Cc1ccc(O)c(OC)c1,2-methoxy-4-(1-propenyl)phenol,2-methoxy-4-(1-propenyl)phenol,0,1.0692,1.0182,13.094,2.946,0.152,0.142,213.0,244.0,,,285.1,535.5,,313.15,373.15,wtt_bulk_complete,164.20399999999998,43.791499929041805,65.9151615316674,,
CC(C)c1ccccc1C(=O)O,2-(1-methylethyl)benzoic acid,2-(1-methylethyl)benzoic acid,0,,,,,,,216.8,252.1,,,336.2,555.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CCCc1cccc(C(=O)O)c1,3-propylbenzoic acid,3-propylbenzoic acid,0,,,,,,,203.0,235.0,,,316.1,559.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC1(c2ccccc2)OCCO1,"2-methyl-2-phenyl-1,3-dioxolane","2-methyl-2-phenyl-1,3-dioxolane",0,,,,,,,190.0,224.0,,,333.6,491.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(C)c1cccc(C(=O)O)c1,3-(1-methylethyl)benzoic acid,3-(1-methylethyl)benzoic acid,0,,,,,,,213.0,249.0,,,324.6,564.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC1=C(C)C(=O)C(C)=C(C)C1=O,"1,4-benzoquinone, tetramethyl-","1,4-benzoquinone, tetramethyl-",0,,,,,,,211.0,243.0,,,384.84,526.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C(=O)O)cc(C)c1C,.alpha.-isodurylic acid,.alpha.-isodurylic acid,0,,,,,,,205.0,236.0,,,,566.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C)c(C)c(C(=O)O)c1,"2,3,5-trimethylbenzoic acid","2,3,5-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,565.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
OOC1CCCc2ccccc21,"1,2,3,4-tetrahydro-1-hydroperoxynaphthalene","1,2,3,4-tetrahydro-1-hydroperoxynaphthalene",0,1.39,1.32,27.338,6.212,0.182,0.166,195.0,226.0,,,,590.0,,313.15,373.15,wtt_bulk_complete,164.20399999999998,43.20979909153958,63.960384929818495,,
Cc1cc(C)c(C(=O)O)cc1C,"2,4,5-trimethylbenzoic acid","2,4,5-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,563.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1ccc(C(=O)O)c(C)c1C,"2,3,4-trimethylbenzoic acid","2,3,4-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,563.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C)c(C(=O)O)c(C)c1,"2,4,6-trimethylbenzoic acid","2,4,6-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,565.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(=O)OC(C)c1ccccc1,.alpha.-methylbenzenemethyl acetate,.alpha.-methylbenzenemethyl acetate,0,1.116,1.055,1.971,0.796,0.15,0.14,199.0,233.0,306.0,330.4,,493.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,76.23610557748663,97.8733572716538,86.04522403701908,107.9774900734796
c1ccc(COCC2CO2)cc1,"1-(benzyloxy)-2,3-epoxypropane","1-(benzyloxy)-2,3-epoxypropane",0,1.168,1.11,2.312,0.892,0.171,0.16,205.0,236.0,310.0,330.7,,518.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,79.62176364558178,103.236779558999,89.44487808824175,113.51444784168902
c1ccc(C2CCOCO2)cc1,"1,3-dioxane, 4-phenyl-","1,3-dioxane, 4-phenyl-",0,1.0924,1.039,3.479,1.636,0.169,0.159,187.0,221.0,282.0,307.3,,517.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,67.00636407024028,83.11135879866444,75.2145883484513,91.18726380459988
CC(C)OC(=O)c1ccccc1,1-methylethyl benzoate,1-methylethyl benzoate,0,0.9936,0.9415,2.114,0.882,0.148,0.138,199.0,233.0,286.0,312.4,,490.84,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,70.81862567555069,90.02706004795272,78.42524591977185,97.76829887609756
CC=Cc1ccc(OC)cc1,1-methoxy-4-(1-propenyl)benzene,1-methoxy-4-(1-propenyl)benzene,0,0.9837,0.9322,1.931,0.762,0.151,0.141,193.0,222.0,279.0,300.0,294.64,506.3,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,74.96199824359007,96.41678369193538,83.15001775157187,104.93920198593489
OCC1(c2ccccc2)CC1,.alpha.-cyclopropylbenzyl alcohol,.alpha.-cyclopropylbenzyl alcohol,0,1.079,1.028,7.878,2.14,0.143,0.136,190.0,223.0,,,,522.0,,313.15,373.15,wtt_bulk_complete,148.20499999999998,48.19182869080971,70.15990615816214,,
CC(=O)c1ccc(C)cc1C,"2',4'-dimethylacetophenone","2',4'-dimethylacetophenone",0,0.9765,0.929,2.151,0.98,0.143,0.134,196.0,225.0,289.0,310.0,296.04,511.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,68.6556273461813,84.97350063963317,76.57994854356069,92.98964983322335
OC1CCCc2ccccc21,.alpha.-tetralol,.alpha.-tetralol,0,1.094,1.047,18.282,4.489,0.138,0.131,179.0,211.1,,,,549.0,,313.15,373.15,wtt_bulk_complete,148.20499999999998,35.624997972476336,53.35992317239998,,
COC(C)=Cc1ccccc1,(E)-2-methoxy-1-phenyl-1-propene,(E)-2-methoxy-1-phenyl-1-propene,0,0.916,0.872,2.511,0.917,0.144,0.135,193.0,222.0,241.2,268.2,,477.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,64.374087154962,84.86547509921036,68.54038634352376,89.50090116121038
COC(C)=Cc1ccccc1,(Z)-2-methoxy-1-phenyl-1-propene,(Z)-2-methoxy-1-phenyl-1-propene,0,0.916,0.872,2.511,0.917,0.144,0.135,193.0,222.0,241.2,268.2,,477.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,64.374087154962,84.86547509921036,68.54038634352376,89.50090116121038
CC(=O)c1cc(C)ccc1C,"2,5-dimethylacetophenone","2,5-dimethylacetophenone",0,0.9803,0.932,3.978,1.363,0.141,0.132,196.0,225.0,279.0,300.9,255.06,501.3,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,57.43893339093926,76.9712256850868,63.43708174633309,83.52944991505451
CO/C(C)=C/c1ccccc1,(Z)-2-methoxy-1-phenylpropene,(Z)-2-methoxy-1-phenylpropene,0,0.916,0.872,2.511,0.917,0.144,0.135,193.0,222.0,241.2,268.2,,477.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,64.374087154962,84.86547509921036,68.54038634352376,89.50090116121038
CCc1ccccc1C(C)=O,2-ethylacetophenone,2-ethylacetophenone,0,0.9768,0.929,2.662,1.076,0.152,0.143,195.0,225.0,268.0,291.9,254.2,499.2,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,67.58216453329658,86.88114980183255,73.9059967710189,93.48177895223088
OC1CCc2ccccc2C1,.beta.-tetralol,.beta.-tetralol,0,1.0508,1.008,52.056,5.04,0.139,0.132,179.0,211.1,278.0,300.0,,553.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,25.98582590168052,50.58348866557694,29.41160792611074,55.83987630625047
CC(=O)c1ccc(C)c(C)c1,"3,4-dimethylacetophenone","3,4-dimethylacetophenone",0,0.9893,0.942,2.224,1.051,0.143,0.135,196.0,225.0,288.0,308.5,268.1,519.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,67.93340754976194,83.66498713106962,75.7005218462852,91.43285589248612
CCCC(=O)c1ccccc1,1-phenyl-1-butanone,1-phenyl-1-butanone,0,0.9779,0.931,5.011,1.686,0.167,0.156,194.0,224.0,280.0,302.1,,504.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,60.11453229761992,80.97512637768577,66.6509586252546,88.0832369307582
Cc1ccc2c(c1)CC(C)O2,"2,5-dimethyl-2,3-dihydrobenzofuran","2,5-dimethyl-2,3-dihydrobenzofuran",0,0.9927,0.9406,3.224,1.063,0.128,0.12,180.0,212.0,269.0,292.5,,488.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,56.69401595219886,77.43384332524953,63.47729071050344,84.77225680599145
Cc1cccc2c1OC(C)C2,"2,7-dimethyl-2,3-dihydrobenzofuran","2,7-dimethyl-2,3-dihydrobenzofuran",0,0.9929,0.9413,3.021,1.02,0.127,0.119,180.0,212.0,261.0,285.4,,484.8,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,57.26063817208395,77.65784657455362,63.569530362332856,84.43184261307168
CC(C)C(=O)c1ccccc1,2-methyl-1-phenyl-1-propanone,2-methyl-1-phenyl-1-propanone,0,0.974,0.925,3.183,1.297,0.16,0.15,193.0,225.0,273.0,296.9,,499.1,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,66.95374060141134,85.91128287777461,73.8142356499253,92.88092041854966
CCc1ccc(C(C)=O)cc1,4'-ethylacetophenone,4'-ethylacetophenone,0,0.9832,0.9351,3.051,1.208,0.155,0.146,195.0,225.0,268.1,298.0,248.92,511.2,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,66.07455951288313,85.51329738705108,72.26490468239818,92.5468722736875
CCC(C=O)c1ccccc1,2-phenylbutyraldehyde,2-phenylbutyraldehyde,0,0.958,0.906,1.983,0.828,0.16,0.149,192.0,224.0,284.0,307.9,,482.5,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,77.66240943675244,98.51579751782997,86.70350886621442,107.73845798474196
CCc1cccc(C(C)=O)c1,3'-ethylacetophenone,3'-ethylacetophenone,0,0.978,0.931,4.601,1.515,0.154,0.145,195.0,225.0,280.0,302.2,,512.0,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,58.21045640365025,79.32270419193281,64.44657212811701,86.18573716296419
C1=Cc2ccccc2CC1,"1,2-dihydronaphthalene","1,2-dihydronaphthalene",0,0.97997,0.93045,2.449,1.032,0.164,0.154,150.6,181.3,215.78,240.85,264.38,483.314,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,71.17460287216983,91.39606654685517,78.7517540063808,98.99779823233794
C=Cc1cccc(C=C)c1,"1,3-diethenylbenzene","1,3-diethenylbenzene",0,0.9139,0.8661,2.188,0.739,0.133,0.124,169.0,197.2,240.1,262.7,220.94,473.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,64.63382053391366,87.10603243887887,71.34435444729233,94.42457465685108
C=Cc1ccc(C=C)cc1,"1,4-diethenylbenzene","1,4-diethenylbenzene",0,0.913,0.8661,2.629,0.854,0.135,0.126,169.0,197.2,248.0,269.7,303.6,484.4,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,61.711287170900675,84.14935919878322,68.74155195132177,91.89678320859016
C1=CCc2ccccc2C1,"1,4-dihydronaphthalene","1,4-dihydronaphthalene",0,0.9879,0.9395,2.429,1.022,0.136,0.127,151.9,182.2,221.0,246.0,297.77,483.5,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,62.10809696137543,79.3889067704461,69.01660103763867,86.38485525974215
[C],graphite,graphite,0,,,,,,,,,,,5000.0,,,313.15,373.15,wtt_bulk_no_props,12.011,,,,
CC(=O)C(C)c1ccccc1,3-phenyl-2-butanone,3-phenyl-2-butanone,0,0.972,0.924,4.63,1.58,0.159,0.149,193.0,225.0,270.0,295.0,,498.9,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,59.63743325726464,80.41390766823638,65.54420487703365,86.78070174078016
C=C=CCc1ccccc1,"(2,3-butadienyl)benzene","(2,3-butadienyl)benzene",0,0.9067,0.8578,1.985,0.699,0.286,0.267,170.0,197.0,236.0,258.1,,463.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,116.1003333467674,154.48755942056343,127.32343054371046,166.68484999508777
CC=C=Cc1ccccc1,"1,2-butadienylbenzene","1,2-butadienylbenzene",0,0.9137,0.8653,2.517,0.855,0.295,0.275,168.0,194.8,240.3,261.2,,475.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,110.35563200973944,148.2074647828334,122.04529377006662,160.9545504661814
C=Cc1ccccc1C=C,"1,2-diethenylbenzene","1,2-diethenylbenzene",0,0.9182,0.8745,2.614,0.858,0.132,0.124,169.0,197.2,224.7,249.1,,485.4,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,59.62326421448002,81.44272569055948,64.59771604200141,86.97509576836742
C=CC=Cc1ccccc1,"1,3-butadiene, 1-phenyl-","1,3-butadiene, 1-phenyl-",0,0.9115,0.8625,2.523,0.835,0.151,0.141,165.9,194.2,253.4,273.9,,481.3,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,68.14621230601436,92.55191345733874,76.76968048865133,101.95194922381124
C,diamond,diamond,0,,,,,,,,,,,,,,313.15,373.15,wtt_bulk_no_props,12.011,,,,
,"carbon, monatomic","carbon, monatomic",0,,,,,,,,,,,,,,313.15,373.15,wtt_bulk_no_props,12.011,,,,
CC(=O)c1cccc(C)c1C,"2,3-dimethylacetophenone","2,3-dimethylacetophenone",0,,,,,,,,,,,258.86,,,313.15,373.15,wtt_bulk_no_props,148.20499999999998,,,,
C#Cc1ccc(CC)cc1,1-ethyl-4-ethynylbenzene,1-ethyl-4-ethynylbenzene,0,0.8969,0.8512,3.233,1.234,0.095,0.0888,176.0,202.7,255.0,275.5,,488.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,45.41615649809869,59.02896894038096,50.408922805112034,64.35072510876621
CC1C=Cc2ccccc21,1-methylindene,1-methylindene,0,0.955,0.908,1.99,0.804,0.163,0.153,154.7,183.6,246.5,266.8,,491.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,74.58851836541618,96.5057261840844,85.03279525547553,107.20419293867184
CCC#Cc1ccccc1,1-phenyl-1-butyne,1-phenyl-1-butyne,0,0.9005,0.8549,1.51,0.655,0.142,0.133,170.0,196.8,224.6,247.8,,466.4,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,74.3311541921966,93.46627456797928,80.38909843766487,99.72553387813142
CC1=CCc2ccccc21,"1H-indene, 3-methyl-","1H-indene, 3-methyl-",0,0.959,0.9112,2.92,0.944,0.154,0.144,155.4,184.1,233.7,255.5,,489.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,64.67144285943017,88.80012270416923,72.53724817619879,97.37623899970096
Cc1ccc2c(c1)CC=C2,"1H-indene, 6-methyl-","1H-indene, 6-methyl-",0,1.01,0.959,2.772,0.907,0.154,0.145,155.4,184.1,235.4,257.0,,491.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,66.83184263360461,91.91253437206495,75.11340017233559,100.95534058684429
C#Cc1ccc(C)cc1C,"2,4-dimethyl-1-ethynylbenzene","2,4-dimethyl-1-ethynylbenzene",0,0.9054,0.8595,4.087,1.303,0.0836,0.0784,177.0,203.6,265.0,283.7,,496.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,38.895528961115595,53.28605308203264,43.57163597241145,58.49836076588229
C=C(C)C#CC#CC(=C)C,"2,7-dimethyl-1,7-octadiene-3,5-diyne","2,7-dimethyl-1,7-octadiene-3,5-diyne",0,0.847,0.799,2.125,0.763,0.124,0.116,193.0,217.6,268.3,287.2,,469.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,64.40089379005727,84.69617106573082,70.6538153469751,91.57303599083468
CC#CCc1ccccc1,2-butynylbenzene,2-butynylbenzene,0,0.9103,0.8608,1.758,0.755,0.149,0.139,170.0,196.8,269.0,286.1,,481.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,75.44635340646647,94.86266640716124,85.84248640908861,105.39124674352796
C=CC(=C)c1ccccc1,2-phenylbutadiene,2-phenylbutadiene,0,0.9072,0.8586,1.587,0.582,0.129,0.12,169.0,197.8,220.2,246.2,,452.6,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,69.53271937089613,91.493307961351,74.9064465432041,97.30389013085592
Cc1cccc2c1C=CC2,4-methylindene,4-methylindene,0,0.9763,0.9271,2.97,0.949,0.155,0.146,155.4,184.1,242.6,263.2,,492.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,65.19065173310094,90.28179657680757,73.8924273968077,99.83135861969616
C#CCCc1ccccc1,4-phenyl-1-butyne,4-phenyl-1-butyne,0,0.907,0.857,1.676,0.77,0.102,0.095,174.0,201.9,228.5,252.9,,450.6,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,58.783412717479955,72.48540831516907,63.46627095800418,77.22630374183802
CC=C(C)c1ccccc1,(E)-2-phenyl-2-butene,(E)-2-phenyl-2-butene,0,0.9052,0.858,2.43,0.839,0.133,0.124,177.0,207.1,245.9,270.9,249.67,468.8,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,63.07743054447604,84.54878519470846,69.18938787283814,91.18325331774422
Cc1ccc2c(c1)C=CC2,5-methylindene,5-methylindene,0,1.01,0.959,2.772,0.907,0.154,0.145,155.4,184.1,235.4,257.0,,491.0,,313.15,373.15,wtt_bulk_complete+cpsat2,130.19,66.83184263360461,91.91253437206495,75.11340017233559,100.95534058684429
C=C[C@H](C)c1ccccc1,(-)-3-phenyl-1-butene,(-)-3-phenyl-1-butene,0,0.8668,0.8146,1.396,0.54,0.133,0.123,177.0,208.9,244.7,271.7,,439.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,75.83847631640371,98.1228005493672,83.0725333366484,105.65271630820264
CC1(c2ccccc2)CC1,(1-methylcyclopropyl)benzene,(1-methylcyclopropyl)benzene,0,0.944,0.89,1.907,0.685,0.124,0.115,174.0,205.1,240.6,267.2,,449.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,66.36918486826633,87.82540990002012,72.70402236822113,94.60919334097944
C1=CCCC=C=CCCC=1,"1,2,6,7-cyclodecatetraene","1,2,6,7-cyclodecatetraene",0,0.832,0.793,3.846,1.349,0.422,0.394,176.0,204.1,212.0,239.6,309.0,451.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,120.27524102985832,160.2633382581565,126.73944474552232,167.65827298046486
C[C@@H]1C[C@@H]1c1ccccc1,(2-methylcyclopropyl)benzene,(2-methylcyclopropyl)benzene,0,0.9076,0.8584,1.873,0.664,0.13,0.121,173.0,204.5,238.4,264.9,,461.1,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,67.11760689576782,89.4474321735203,73.45313608998521,96.20171262581712
CCC=Cc1ccccc1,"1-butene, 1-phenyl-, (E)-","1-butene, 1-phenyl-, (E)-",0,,,,,0.146,0.136,176.0,205.7,232.1,258.4,230.08,474.5,,313.15,373.15,wtt_bulk_partial_4of8+cpsat2,132.206,,,,
CC=C(C)c1ccccc1,(1-methylpropenyl)benzene,(1-methylpropenyl)benzene,0,0.881,0.819,2.27,0.818,0.132,0.123,177.0,207.1,247.2,272.2,,463.4,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,69.04928299250149,91.41061771971948,75.85231274362837,98.71637755528316
CC=CCc1ccccc1,(E)-2-butenylbenzene,(E)-2-butenylbenzene,0,0.895,0.843,2.346,0.807,0.147,0.136,176.0,205.7,261.0,283.7,,468.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,70.23446107480218,93.6900639442726,78.4672650321724,102.55812214891502
c1ccc2c(c1)CCCC2,"1,2,3,4-tetrahydronaphthalene","1,2,3,4-tetrahydronaphthalene",0,0.95341,0.90559,1.594,0.762,0.128,0.121,161.1,194.7,224.54,253.9,237.389,480.32,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,67.53362937212579,84.1927756189667,74.14519940654604,90.72099461057164
C=Cc1cc(C)ccc1C,"1-ethenyl-2,5-dimethylbenzene","1-ethenyl-2,5-dimethylbenzene",0,0.888,0.839,1.914,0.667,0.117,0.109,180.0,209.5,249.9,274.3,237.77,462.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,62.46738505934514,83.34338810901126,68.5072947991033,89.90731010261065
C=Cc1ccc(CC)cc1,1-ethenyl-4-ethylbenzene,1-ethenyl-4-ethylbenzene,0,0.876,0.8244,2.169,0.764,0.13,0.121,179.0,208.7,254.8,278.6,223.46,465.5,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,65.90149918490062,87.64594143210503,72.78328190690407,95.06558656561836
C/C=C\c1ccc(C)cc1,(Z)-1-methyl-4-(1-propenyl)benzene,(Z)-1-methyl-4-(1-propenyl)benzene,0,0.885,0.837,2.712,0.932,0.134,0.126,177.0,206.5,253.9,277.2,,476.5,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,61.78057847576416,83.36003472506312,68.37993889676956,90.5583726518788
CC=C(C)c1ccccc1,(Z)-2-phenyl-2-butene,(Z)-2-phenyl-2-butene,0,0.8909,0.834,1.796,0.671,0.13,0.121,177.0,207.1,241.9,267.8,,447.5,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,71.20668647054192,93.23810613536494,77.74682576202491,100.2293919695626
C=C(C)c1cccc(C)c1,".alpha.,m-dimethylstyrene",".alpha.,m-dimethylstyrene",0,0.8897,0.8412,2.023,0.749,0.118,0.109,180.0,210.1,257.9,282.0,,460.7,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,61.70073876038854,80.5012063949821,68.26898891344857,87.44983902980513
CCc1cccc(C(=O)O)c1C(=O)O,"3-ethyl-1,2-benzenedicarboxylic acid","3-ethyl-1,2-benzenedicarboxylic acid",0,,,,,,,219.0,250.0,,,444.6,623.0,,313.15,373.15,wtt_bulk_partial_2of8,194.186,,,,
CC1=C(C)C=CC=CC=C1,"1,2-dimethyl-1,3,5,7-cyclooctatetraene","1,2-dimethyl-1,3,5,7-cyclooctatetraene",0,0.8831,0.8333,2.038,0.744,0.13,0.121,175.0,205.5,236.4,262.8,,451.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,65.97923399763214,87.04564748715205,71.80384487948204,93.28111044825962
CCc1ccc(C(=O)O)c(C(=O)O)c1,4-ethylphthalic acid,4-ethylphthalic acid,0,,,,,,,219.0,250.0,,,406.6,623.0,,313.15,373.15,wtt_bulk_partial_2of8,194.186,,,,
C=CC=CC=CC=CC=C,"1,3,5,7,9-decapentaene","1,3,5,7,9-decapentaene",0,0.842,0.79,1.639,0.608,0.153,0.142,190.0,219.0,268.7,291.4,,450.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,81.69583210846876,106.51587191125992,90.06156869248369,115.42723883969587
C=CC(C)c1ccccc1,"1-butene, 3-phenyl-","1-butene, 3-phenyl-",0,0.873,0.82,1.386,0.537,0.133,0.123,177.0,208.9,244.7,271.7,,439.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,76.31782064827698,98.69806145933184,83.59760121674583,106.2721225765053
CCC1=C/C=C\C=C/C=C\1,"1-ethyl-1,3,5,7-cyclooctatetraene","1-ethyl-1,3,5,7-cyclooctatetraene",0,0.8877,0.8377,2.253,0.836,0.142,0.132,174.0,204.7,233.3,260.2,,450.2,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,68.31290845903068,89.67588477724847,74.18749184030496,95.9365645396815
COC(=O)c1ccccc1C(=O)OC,"dimethyl 1,2-benzenedicarboxylate","dimethyl 1,2-benzenedicarboxylate",0,1.17298,1.1179,4.689,1.073,0.1482,0.1393,212.0,246.0,309.6,339.2,274.18,555.887,,313.15,373.15,wtt_bulk_complete+cpsat2,194.186,55.88354637091462,84.39018864382763,62.165293551027275,92.3717434871284
c1ccc2c(c1)CCCC2,"1,2,3,4-tetrahydronaphthalene","dimethyl 1,4-benzenedicarboxylate",0,,,,,,,219.6,251.6,,,413.752,,,313.15,373.15,wtt_bulk_partial_2of8,132.206,,,,
CC=CCc1ccccc1,(E)-2-butenylbenzene,"dimethyl 1,3-benzenedicarboxylate",0,,,,,,,212.0,246.0,,,341.2,,,313.15,373.15,wtt_bulk_partial_2of8,132.206,,,,
COC(=O)c1c(O)cccc1C(C)=O,methyl 6-acetylsalicylate,methyl 6-acetylsalicylate,0,,,,,,,227.0,259.0,,,392.1,592.0,,313.15,373.15,wtt_bulk_partial_2of8,194.186,,,,
O=C(O)CC(C(=O)O)c1ccccc1,phenylsuccinic acid,phenylsuccinic acid,0,,,,,,,216.0,250.0,,,440.1,605.0,,313.15,373.15,wtt_bulk_partial_2of8,194.186,,,,
C=C(C)c1ccccc1C,1-methyl-2-(1-methylethenyl)benzene,1-methyl-2-(1-methylethenyl)benzene,0,0.857,0.769,1.75,0.689,0.116,0.108,180.0,210.1,252.0,277.1,,447.0,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,75.06691800046526,96.80774647413148,82.51908466777965,104.64664679250563
Cc1ccc2c(c1)C=CC2,5-methylindene,2-(4-methoxybenzoyl)ethanoic acid,0,1.37,1.31,299.27,29.008,0.196,0.186,225.0,254.0,,,,,,313.15,373.15,wtt_bulk_complete,130.19,24.73808747063913,47.52714620414056,,
CC=C(C)c1ccccc1,(E)-2-phenyl-2-butene,1-methyl-4-(1-propenyl)benzene,0,0.887,0.841,2.818,0.951,0.133,0.125,177.0,206.5,246.5,270.7,,478.5,,313.15,373.15,wtt_bulk_complete+cpsat2,132.206,60.06625182392935,81.43403178115304,65.93162097351363,87.87753610528344
CC1(C)Oc2c(O)cccc2C1=O,"2,3-dihydro-2,2-dimethyl-7-benzofuranol-3-one","2,3-dihydro-2,2-dimethyl-7-benzofuranol-3-one",0,,,,,,,204.0,237.0,,,441.55,575.0,,313.15,373.15,wtt_bulk_partial_2of8,178.187,,,,
COc1cc(C=CC(=O)O)ccc1O,4-hydroxy-3-methoxycinnamic acid,4-hydroxy-3-methoxycinnamic acid,0,,,,,,,228.0,258.0,,,444.6,730.0,,313.15,373.15,wtt_bulk_partial_2of8,194.186,,,,
