SMILES,name,beta_0C,beta_10C,beta_20C,beta_30C,beta_40C,beta_50C,beta_60C,beta_70C,beta_80C,beta_90C,beta_100C,fit_r2,n_points,flag
CCCCCCCCCCCCOC(=O)C(C)O,dodecyl 2-hydroxypropanoate,0.0006981380220061,0.0007102430278582,0.0007225725216154,0.000735134071905,0.0007479355714095,0.0007609852547273,0.0007742917174201,0.0007878639363415,0.000801711291348,0.0008158435885038,0.0008302710849013,0.9999997452870086,11,
CCCCCC=C(CCCCCC)c1ccccc1,7-phenyl-6-tridecene,0.0006422248112904,0.0006542508307375,0.0006664869488497,0.0006789402898288,0.0006916182747919,0.0007045286379165,0.000717679443639,0.0007310791049881,0.0007447364031405,0.0007586605082964,0.0007728610019804,0.9999999841874349,11,
CCCCCC[C@@H]1c2ccccc2C[C@@H]1CCCC,"cis-2-butyl-2,3-dihydro-1-hexyl-1H-indene",0.0006330758886134,0.0006431955111411,0.0006534854342146,0.000663950900345,0.000674597356087,0.0006854304622665,0.0006964561048255,0.0007076804063277,0.0007191097381745,0.0007307507335807,0.0007426103013673,0.9999999434807236,11,
CCCCCC[C@H]1Cc2ccccc2[C@H]1CCCC,"cis-1-butyl-2,3-dihydro-2-hexyl-1H-indene",0.0006331776469934,0.0006432713697723,0.0006535349023373,0.000663973464561,0.0006745924792893,0.0006853975825039,0.0006963946340968,0.0007075897293018,0.0007189892108294,0.0007305996817568,0.0007424280192279,0.99999990676202,11,
CCCCCCc1cc2c(cc1CCC)CCCC2,"naphthalene, 6-hexyl-1,2,3,4-tetrahydro-7-propyl-",0.0006216371741485,0.0006312268161364,0.000640974399296,0.0006508846501732,0.0006609624746411,0.0006712129666493,0.0006816414174876,0.0006922533255991,0.000703054406983,0.000714050606226,0.0007252481082099,0.999999934939496,11,
CCCCCCCCCC1CCCc2ccccc21,"naphthalene, 1,2,3,4-tetrahydro-1-nonyl-",0.0005956105195937,0.0006063181583175,0.0006171998582562,0.0006282611960335,0.0006395079658514,0.0006509461906017,0.0006625821336581,0.0006744223113947,0.0006864735064876,0.0006987427820544,0.0007112374966967,0.9999999722112272,11,
CCCCCCC[C@H]1Cc2ccccc2[C@H]1CCC,"cis-2,3-dihydro-2-heptyl-1-propyl-1H-indene",0.0006332592966095,0.0006433338808099,0.0006535779132492,0.0006639965971274,0.000674595337831,0.0006853797530466,0.0006963556834845,0.0007075292042551,0.0007189066369444,0.0007304945624409,0.0007422998345682,0.9999999189175428,11,
CCCCCC(CCC)c1ccc2c(c1)CCCC2,"6-(1-propylhexyl)-1,2,3,4-tetrahydronaphthalene",0.0006220352605753,0.0006319992978212,0.0006421285757492,0.0006524281457297,0.000662903253627,0.0006735593494576,0.0006844020976246,0.0006954373877708,0.0007066713462938,0.0007181103485703,0.0007297610319423,0.9999998988234404,11,
CCCCCCCCCCc1ccc2c(c1)CCC2,"5-decyl-2,3-dihydro-1H-indene",0.0007157571421507,0.0007199710362358,0.0007242392111667,0.0007285627332172,0.0007329426968044,0.0007373802254237,0.0007418764726205,0.0007464326230027,0.0007510498932926,0.0007557295334233,0.0007604728276793,0.9999995869327466,11,
CCCCCCc1cc2c(cc1CCCC)CCC2,"5-butyl-2,3-dihydro-6-hexyl-1H-indene",0.0006636543748958,0.0006729075694814,0.0006823186835305,0.0006918923351188,0.0007016333179375,0.0007115466097998,0.0007216373816462,0.0007319110070813,0.0007423730724808,0.0007530293877082,0.0007638859974841,0.9999997518820588,11,
CCCCCCCCCC1CCc2ccccc2C1,2-nonyltetralin,0.0006188881274365,0.0006298365039909,0.0006409685010801,0.000652290045059,0.0006638072982295,0.0006755266710691,0.0006874548352201,0.0006995987372951,0.0007119656135589,0.0007245630055549,0.0007373987767441,0.9999999895462642,11,
CCCCCCCCCCC1Cc2ccccc2C1,"2-decyl-2,3-dihydro-1H-indene",0.0006710245390392,0.0006797689950189,0.0006886618780029,0.0006977074015925,0.0007069099363366,0.0007162740171543,0.0007258043511824,0.0007355058260751,0.0007453835187889,0.0007554427048844,0.0007656888683809,0.9999997664312044,11,
CCCCCCc1ccc2c(c1)CC(CCCC)C2,"2-butyl-2,3-dihydro-5-hexyl-1H-indene",0.0006530613203716,0.000661590619873,0.0006702616537888,0.0006790783955135,0.0006880449640967,0.0006971656310287,0.000706444827408,0.0007158871515166,0.00072549737683,0.0007352804604913,0.0007452415522821,0.999999768595768,11,
