SMILES,name,cpsat_0C_J_K_mol,cpsat_10C_J_K_mol,cpsat_20C_J_K_mol,cpsat_30C_J_K_mol,cpsat_40C_J_K_mol,cpsat_50C_J_K_mol,cpsat_60C_J_K_mol,cpsat_70C_J_K_mol,cpsat_80C_J_K_mol,cpsat_90C_J_K_mol,cpsat_100C_J_K_mol,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC#CCC1CCCC1,2-butynylcyclopentane,222.156,226.070305,230.033685,234.04875,238.113555,242.22473,246.37996,250.576875,254.81416,259.089815,263.398,3.140185185185185,3.140185185185185,0.9420833333333332,0.9420833333333332,0.4688325705081013,19.22222222222222,122.211,108.09899999999998,122.109550448,50,0,0.0116891381890949,-0.1067267856574435,0.1067267856574435,0.0116891381890949,1.3333333333333333,2.0,2.5555555555555554,14.170999800699876,10.053347160649809,2.119921653029411,-1.9920198714610808,2.2616257548646947,-1.882137264330888,4.964882196910514,0.5664482246824387,2.3433783486149493,2.1618653867151156,118.70907409602114,6.52709773749546,6.112884175122364,6.112884175122364,4.431851652578137,3.828298261984863,3.828298261984863,2.7813832946891797,2.7813832946891797,2.0422587738990043,2.0422587738990043,1.4608867562271484,1.4608867562271484,-0.44,187.47026788919595,6.676822429906544,3.5597023861627077,2.0957696280991738,57.652182181332456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.840868637711289,12.84164324585202,25.683286491704035,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.917906046161393,39.02784531432067,0.0,0.0,0.0,11.840868637711289,0.0,0.0,0.0,0.0,0.0,0.0,17.75877468387268,39.02784531432067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.338727669087405,25.68328649170404,0.0,6.923737199690624,11.840868637711289,0.0,0.0,0.0,0.0,0.0,0.0,7.026851851851852,0.0,6.8809344293272865,1.925547052154195,0.0,0.7777777777777778,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2.6408334150803348,1,2.5900000000000007,40.025000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(=O)cc(C)o1,"2,6-dimethyl-4-pyrone",154.144,158.234105,162.28945,166.307165,170.28651,174.22853999999998,178.13257,181.99923,185.82926,189.622235,193.383,10.651111111111112,10.651111111111112,0.0104166666666669,0.0104166666666669,0.5207648550044625,9.555555555555555,124.13899999999998,116.07499999999996,124.052429496,48,0,0.184842700555944,-0.4664031354724188,0.4664031354724188,0.184842700555944,1.2222222222222223,1.6666666666666667,2.0,16.339532293730798,10.35210106798552,1.8950094571540104,-1.9070188745871988,1.95275675662731,-1.967628345302592,5.0267691493141,0.4841586715946627,1.5880914479405832,3.332334626732985,236.61381533313153,6.8533711511285205,5.471197119306978,5.471197119306978,4.1815405503520555,2.767072974075046,2.767072974075046,2.014406954321966,2.014406954321966,1.0130193370866851,1.0130193370866851,0.7551978264921286,0.7551978264921286,-1.05,85.7569381887915,6.075786163522013,2.0520620921165116,1.4202570838806534,53.127626272342994,4.417150937053347,11.520494837748885,5.428790391900541,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,12.13273413692322,0.0,4.417150937053347,0.0,0.0,0.0,0.0,13.847474399381248,0.0,33.876556550644466,0.0,0.0,5.428790391900541,0.0,0.0,0.0,0.0,0.0,13.847474399381248,11.520494837748885,21.34442225804839,0.0,0.0,0.0,30.21,0.0,4.794537184071822,0.0,5.428790391900541,11.520494837748885,0.0,12.13273413692322,13.847474399381248,0.0,0.0,4.417150937053347,5.057916666666666,0.0,10.651111111111112,0.0,0.0104166666666669,1.3333333333333337,2.9305555555555554,0.0,3.5166666666666666,0.0,0.2857142857142857,9,0,2,0,0,0,0,0,1,1,0,0,2,0,2,1,0,0,0,0,0,0,1.385321162885504,1,1.25664,34.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1c(O)cccc1O,"2,6-dihydroxytoluene",263.919,265.50829999999996,267.14468,268.83243,270.569235,272.35241,274.18027,276.051185,277.96247,279.912125,281.895,8.940092592592592,8.940092592592592,0.1342592592592595,0.1342592592592595,0.5485235528461614,9.444444444444445,124.13899999999995,116.075,124.052429496,48,0,0.1216762160901949,-0.5075429993286041,0.5075429993286041,0.1216762160901949,1.1111111111111112,1.5555555555555556,1.8888888888888888,16.26746584707499,10.18711076322654,1.9678668596606284,-1.9761228717304673,2.232942660108121,-1.7282292240900086,5.40762526738505,0.4430618649428692,1.8289585849367005,3.2478347337367035,197.90617759993407,6.8533711511285205,5.126477998568793,5.126477998568793,4.21521405516327,2.691230531356251,2.691230531356251,1.9212642451551616,1.9212642451551616,1.2766108534137162,1.2766108534137162,0.6116202529832506,0.6116202529832506,-1.1800000000000002,109.73751509620202,5.947877237851663,1.973221425374384,0.964056308274172,53.38481273828559,10.213054789681411,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,19.056471336613843,5.563451491696996,0.0,10.213054789681411,0.0,0.0,0.0,0.0,6.923737199690624,0.0,23.762552697081823,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,6.923737199690624,5.563451491696996,18.19910120538483,0.0,0.0,0.0,40.46,0.0,0.0,0.0,11.49902366656781,5.563451491696996,0.0,12.13273413692322,12.990104268152232,0.0,0.0,10.213054789681411,0.0,0.0,0.0,17.880185185185184,0.5254629629629632,0.2685185185185192,4.668425925925926,0.0,1.6574074074074074,0.0,0.1428571428571428,9,2,2,0,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,1.304053200136168,1,1.4062199999999998,34.5086,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(O)c(O)c1,"1,2-dihydroxy-4-methylbenzene",269.923,271.26759,272.674695,274.148485,275.68701500000003,277.28659999999996,278.94455500000004,280.658565,282.42563,284.243065,286.103,8.850092592592592,8.850092592592592,0.0601851851851849,-0.0688888888888885,0.5131220403965512,9.444444444444445,124.13899999999998,116.07499999999996,124.052429496,48,0,0.1571515797649047,-0.5042598950511764,0.5042598950511764,0.1571515797649047,1.1111111111111112,1.7777777777777777,2.2222222222222223,16.30286601675278,10.205855469443335,1.9423893892125792,-1.9535565049173564,2.2337287796760292,-1.7015820178719832,5.392761480793279,0.4031551460044072,1.7965675742516063,3.1716780304409156,218.15617759993404,6.8533711511285205,5.126477998568793,5.126477998568793,4.198377302757663,2.6852474672125433,2.6852474672125433,1.9921686585789855,1.9921686585789855,1.1309161623714117,1.1309161623714117,0.6334676668096182,0.6334676668096182,-1.1800000000000002,104.20091930659318,5.947877237851663,1.973221425374384,1.1340794947334671,53.38481273828559,10.213054789681411,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,24.61992282831084,0.0,0.0,10.213054789681411,0.0,0.0,0.0,0.0,6.923737199690624,0.0,23.762552697081823,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,6.923737199690624,5.563451491696996,18.19910120538483,0.0,0.0,0.0,40.46,0.0,0.0,0.0,11.49902366656781,0.0,5.563451491696996,12.13273413692322,6.06636706846161,6.923737199690624,0.0,10.213054789681411,0.0,0.0,0.0,17.643796296296294,0.9354629629629632,-0.1290740740740734,4.703425925925926,0.0,1.8463888888888889,0.0,0.1428571428571428,9,2,2,0,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,1.304053200136168,1,1.4062199999999996,34.5086,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cccc(O)c1O,3-methylcatechol,260.545,262.147025,263.799665,265.507045,267.265795,269.07423,270.93009,272.82995,274.77286499999997,276.755835,278.773,8.956296296296296,8.956296296296296,0.0300925925925923,-0.0601851851851849,0.5131220403965512,9.444444444444445,124.13899999999998,116.07499999999996,124.052429496,48,0,0.1598769832822868,-0.5042529562998885,0.5042529562998885,0.1598769832822868,1.2222222222222223,1.8888888888888888,2.3333333333333335,16.303288401864865,10.19394156963613,1.9751772106736256,-1.9735878265864035,2.260953849154241,-1.7207047385163357,5.426149566581738,0.4009010161619746,1.8289585849367005,3.2478347337367026,197.9061775999341,6.8533711511285205,5.126477998568793,5.126477998568793,4.21521405516327,2.6912305313562506,2.6912305313562506,1.942643333751384,1.942643333751384,1.2164611327966732,1.2164611327966732,0.6434767040081238,0.6434767040081238,-1.1800000000000002,109.73751509620202,5.947877237851663,1.973221425374384,0.964056308274172,53.38481273828559,10.213054789681411,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,18.55355575984923,0.0,0.0,10.213054789681411,0.0,0.0,0.0,0.0,6.923737199690624,0.0,23.762552697081823,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,6.923737199690624,5.563451491696996,18.19910120538483,0.0,0.0,0.0,40.46,0.0,0.0,0.0,11.49902366656781,5.563451491696996,0.0,6.06636706846161,19.056471336613843,0.0,0.0,10.213054789681411,0.0,0.0,0.0,17.80638888888889,0.689814814814815,-0.0902777777777772,4.86287037037037,0.0,1.7312037037037036,0.0,0.1428571428571428,9,2,2,0,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,1.304053200136168,1,1.4062199999999998,34.508599999999994,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=CCC=C(C)C1,"methyl 5-methyl-1,4-cyclohexadien-1-yl ether",192.263,196.17437499999997,200.10599,204.057975,208.02896,212.018315,216.02404,220.04508,224.08148999999997,228.1319,232.194,5.0818055555555555,5.0818055555555555,0.9965277777777778,0.9965277777777778,0.4870401221815409,18.444444444444443,124.183,112.08699999999996,124.088815004,50,0,0.0958573947632529,-0.5010910723827356,0.5010910723827356,0.0958573947632529,1.4444444444444444,2.2222222222222223,2.6666666666666665,16.467731400464285,10.067805724887286,2.0041662303658065,-2.0924984046592288,2.167448259502193,-1.9192977993410725,5.160711884843505,0.2800251783297197,1.8814083105156787,2.5114705202978107,153.95057052383706,6.69023444431199,5.9771623912162095,5.9771623912162095,4.325698502695489,3.213326066999694,3.213326066999694,2.3375169045350614,2.3375169045350614,1.5270931952280296,1.5270931952280296,0.9662186567054302,0.9662186567054302,-0.7200000000000001,126.05435680455048,6.400772946859902,2.7168423443201255,1.5950746944318694,56.02235384021495,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.649124636903148,19.42057892945051,6.4208216229260096,12.868962412933708,4.736862953800049,0.0,0.0,0.0,0.0,19.765380445542643,7.109797541277533,23.484309615393204,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,4.736862953800049,0.0,19.765380445542643,23.484309615393204,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,18.60080811750819,5.5731045300692665,7.109797541277533,0.0,19.075777413358388,4.736862953800049,5.0818055555555555,0.0,0.0,0.0,1.4114351851851854,1.1064814814814814,0.0,6.376018518518518,2.1309722222222223,1.7266203703703704,0.5,9,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.932210108711966,1,2.2568,38.083000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1CC=CCC1C=O,6-methyl-3-cyclohexene-1-carboxaldehyde,237.222,240.192875,243.24654,246.389945,249.618775,252.928345,256.31465499999996,259.77402,263.303755,266.900915,270.556,10.336435185185184,10.336435185185184,0.287037037037037,0.287037037037037,0.3844679185215616,34.333333333333336,124.18299999999998,112.08699999999996,124.088815004,50,0,0.123156217043879,-0.303065321214148,0.303065321214148,0.123156217043879,1.4444444444444444,2.111111111111111,2.5555555555555554,16.12943808050551,9.856630803729717,2.1562377761240716,-2.181968113670499,2.217881282211105,-2.13765770677865,5.542967663110988,-0.1118834979687976,1.8934931172271936,2.5199116158494563,126.5293250129808,6.69023444431199,5.709213198785088,5.709213198785088,4.342535255101096,3.446045691440595,3.446045691440595,2.720030299783637,2.720030299783637,1.988476989778743,1.988476989778743,1.1610139182059638,1.1610139182059638,-0.5900000000000001,130.6510250886763,6.528906064209275,2.8095243987852516,1.4082156782662731,55.75993374293608,4.794537184071822,6.2861605231295545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.075777413358384,18.75954929201341,5.917906046161393,0.0,4.794537184071822,6.2861605231295545,0.0,0.0,11.835812092322788,19.765380445542643,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,6.2861605231295545,4.794537184071822,11.835812092322788,19.765380445542643,12.152040213667762,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,5.917906046161393,5.917906046161393,19.127803768981572,0.0,0.0,0.0,19.075777413358384,0.0,0.0,0.0,10.336435185185184,0.0,0.0,0.8495370370370368,0.0,7.353148148148149,2.127546296296296,0.0,0.625,9,0,1,1,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,2,2.03812454275255,1,1.7876,37.092,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=CC(=O)CC(C)C1,"3,5-dimethyl-2-cyclohexen-1-one",183.951,188.57152,193.17259,197.75103,202.3061,206.838225,211.34598,215.83010499999995,220.289545,224.724985,229.139,10.8075,10.8075,0.2974537037037039,0.2974537037037039,0.4819408954893226,28.0,124.183,112.08699999999996,124.088815004,50,0,0.1554107662759836,-0.2948555675058775,0.2948555675058775,0.1554107662759836,1.5555555555555556,2.2222222222222223,2.6666666666666665,16.13763506194148,9.904933699473853,2.1257467578300395,-2.1377170324748054,2.1954689334072808,-2.0893864515792955,5.907661683401754,-0.1153144331469487,1.5880914479405832,2.671296895691769,155.95057052383706,6.8533711511285205,5.9771623912162095,5.9771623912162095,4.1815405503520555,3.3824280457254563,3.3824280457254563,2.970423086430923,2.970423086430923,1.6274704416476735,1.6274704416476735,1.3579325399004083,1.3579325399004083,-0.5900000000000001,85.7569381887915,6.528906064209275,2.3386378708960347,1.6658713123549698,55.75993374293608,0.0,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,12.49684172975989,25.33848497561191,6.4208216229260096,0.0,4.794537184071822,5.783244946364939,0.0,0.0,5.917906046161393,26.689117645233267,0.0,11.649124636903148,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,5.917906046161393,26.689117645233267,11.649124636903148,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,11.701150992526332,12.84164324585202,5.5731045300692665,6.076020106833881,6.923737199690624,6.923737199690624,0.0,0.0,0.0,10.8075,0.0,1.234953703703704,0.8692129629629628,0.0,3.6141666666666663,4.140833333333333,0.0,0.625,9,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1.6965274419202876,1,1.9317,37.162,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)c1ccco1,2-tert-butylfuran,247.4,249.864915,252.29363,254.68492,257.043785,259.37491,261.68292499999995,263.97445999999997,266.257515,268.540405,270.831,5.197916666666667,5.197916666666667,0.15625,0.15625,0.5177471383965194,11.88888888888889,124.18299999999996,112.08699999999996,124.088815004,50,0,0.1085730512221225,-0.4688070808899763,0.4688070808899763,0.1085730512221225,1.3333333333333333,2.0,2.2222222222222223,16.333748412638506,9.936459416966592,2.148524122561754,-2.128146309832935,2.208963186145104,-2.0825737583371207,5.079865146485391,0.4092866233298193,2.077082557908267,2.8976605657091232,166.9477471425849,6.905777393935818,6.140299098032742,6.140299098032742,4.1051717155225385,3.1451682068889277,3.1451682068889277,3.2273014201933843,3.2273014201933843,1.2603744284010368,1.2603744284010368,0.7053284589306912,0.7053284589306912,-0.72,118.39370580077122,6.400772946859902,1.903942959606998,1.3458680728707997,55.685500841160234,4.417150937053347,5.7602474188744415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,12.13273413692322,5.414990469396779,6.263162995639057,4.417150937053347,0.0,0.0,0.0,0.0,26.18620206846865,0.0,24.15614455143672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414990469396779,0.0,26.531459017946315,22.813048069615625,0.0,0.0,0.0,13.14,0.0,0.0,0.0,5.414990469396779,0.0,5.7602474188744415,0.0,6.263162995639057,12.13273413692322,20.771211599071872,4.417150937053347,5.197916666666667,0.0,0.0,0.0,0.15625,1.0439814814814816,3.9172453703703702,1.708912037037037,6.392361111111112,0.0,0.5,9,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1.3540785098018722,1,2.5771000000000006,37.40800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCc1cc(C)co1,2-propyl-4-methylfuran,226.75,230.068455,233.44593,236.887145,240.388415,243.947055,247.561065,251.228445,254.94782499999997,258.718575,262.535,5.204675925925926,5.204675925925926,1.0633333333333337,1.0633333333333337,0.5901205353757023,10.0,124.18299999999996,112.08699999999996,124.088815004,50,0,0.1035249935997761,-0.4690812742734914,0.4690812742734914,0.1035249935997761,1.5555555555555556,2.3333333333333335,2.7777777777777777,16.33295081211829,10.23450953770987,1.9356471159789417,-1.855874130984138,2.0698522841816924,-1.7419369166875809,5.096047900353743,0.5050724008381382,2.165879683211219,2.613882432121332,176.44824523649797,6.69023444431199,5.9771623912162095,5.9771623912162095,4.325698502695489,3.366511981191708,3.366511981191708,2.340369606276311,2.340369606276311,1.281250970376881,1.281250970376881,0.8681028776001664,0.8681028776001664,-0.72,147.27981845836288,6.400772946859902,2.7168423443201255,1.5950746944318694,55.68550084116024,4.417150937053347,5.7602474188744415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,24.97437738277524,6.4208216229260096,6.263162995639057,4.417150937053347,0.0,0.0,0.0,0.0,26.689117645233267,0.0,23.653228974672103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,6.923737199690624,24.66825773318807,16.746681001154013,0.0,0.0,0.0,13.14,0.0,0.0,0.0,0.0,0.0,18.60189066472646,5.563451491696996,6.263162995639057,6.923737199690624,12.990104268152232,4.417150937053347,5.204675925925926,0.0,0.0,0.0,1.220787037037037,1.1064814814814816,2.0868055555555554,4.01962962962963,4.194953703703703,0.0,0.5,9,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,1.932210108711966,1,2.5405200000000008,37.440000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
