SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CCC1(CC)CCCc2c1ccc1ccccc21,"1,1-diethyl-1,2,3,4-tetrahydrophenanthrene",45.847,34.237,25.718,19.654,15.266,12.04,9.632,7.81,6.411,5.325,4.451,2.406574074074074,2.406574074074074,0.4420781368102795,0.4420781368102795,0.6713751904199395,17.666666666666668,238.374,216.19799999999995,238.172150704,94,0,-0.0049137743090099,-0.0645322028432685,0.0645322028432685,0.0049137743090099,1.0,1.7777777777777777,2.5555555555555554,14.373185551298034,9.659019643144998,2.331376672772718,-2.382948412124769,2.4398888309916833,-2.291535870140958,5.869602535459167,0.3361597932491445,2.459988654470295,2.2816228362984177,561.2600606625036,12.58757566981053,11.499635521070497,11.499635521070497,8.804790321067046,7.316460996458774,7.316460996458774,5.65380256484053,5.65380256484053,5.047598698266917,5.047598698266917,3.824829694556777,3.824829694556777,-1.2999999999999998,21165.742383062418,11.77152048957648,4.421552476899217,1.586669082000586,110.02677341287584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.245676810150904,59.4184499963504,0.0,0.0,0.0,10.772448428929591,0.0,0.0,0.0,51.36657298340808,0.0,47.52510539416365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322788,0.0,50.65766387447928,36.39820241076966,0.0,10.772448428929591,0.0,0.0,0.0,0.0,0.0,0.0,5.414990469396779,0.0,42.87655654355965,11.126902983393991,0.0,50.245676810150904,0.0,0.0,0.0,0.0,2.8891028911564627,3.706429988662132,0.0,13.587278675359032,6.523953373015873,4.709901738473167,0.0,0.4444444444444444,18,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2.8915775320864876,3,5.233900000000005,79.14600000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)c1ccc(-c2cccc(C(C)C)c2)cc1,"1,1'-biphenyl, 3,4'-bis(1-methylethyl)-",28.716,21.788,16.641,12.926,10.2,8.168,6.631,5.454,4.539,3.819,3.235,2.3006424792139075,2.3006424792139075,0.5832289304610732,0.5832289304610732,0.6525393466184549,11.22222222222222,238.374,216.19799999999995,238.172150704,94,0,-0.0181195351052859,-0.0613665111340701,0.0613665111340701,0.0181195351052859,0.6111111111111112,1.2222222222222223,1.7777777777777777,14.083417686823502,9.952940697999304,2.032967070935533,-2.0977665181354013,2.251932041876993,-1.8903452517597057,5.642855926015411,0.865593688351006,2.387310426597321,2.3337704690796683,503.8164490870398,13.12095586463014,11.77350269189626,11.77350269189626,8.575387400469408,6.779485756039968,6.779485756039968,5.5568723363087456,5.5568723363087456,3.463977610496351,3.463977610496351,2.1378201174185096,2.1378201174185096,-1.5599999999999996,12843.730095093586,12.885564346435489,5.389882272896517,2.8149872651829244,110.67815001194064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.22588534645539,34.08961805911077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,0.0,59.65783953108687,0.0,11.126902983393991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.65766387447927,48.53093654769288,0.0,11.126902983393991,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322788,0.0,22.253805966787983,0.0,0.0,76.22588534645539,0.0,0.0,0.0,0.0,0.0,5.428339264718233,1.1814218526916935,17.788320683211552,0.0,8.93525153271185,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3.8584263803955574,2,5.600400000000005,80.05600000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC(Cc1ccc(C)cc1)c1ccc(C)cc1,"1,2-bis(4-methylphenyl)butane",17.328,13.128,10.013,7.769,6.125,4.902,3.977,3.269,2.719,2.287,1.936,2.2765017951625093,2.2765017951625093,0.6326908541194255,0.6326908541194255,0.6997081054662747,12.38888888888889,238.374,216.19799999999995,238.172150704,94,0,-0.0124107770448094,-0.0647878640066833,0.0647878640066833,0.0124107770448094,0.7777777777777778,1.2777777777777777,1.7777777777777777,14.14122963225982,9.891445603646751,2.0941083168662615,-2.1559900595313835,2.241820784874234,-2.0147128219267287,5.278971307527611,0.659844783936866,2.392648887274827,2.1382114194788095,476.45168939130986,12.957819157813608,11.61036598507973,11.61036598507973,8.685871848001627,6.808566297394198,6.808566297394198,5.205578022930919,5.205578022930919,3.644258409971555,3.644258409971555,2.3451889552969707,2.3451889552969707,-1.5599999999999996,14087.91664827418,12.885564346435489,5.859579727195426,3.224827929996974,110.67815001194064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5815767307775,43.73392667478865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,0.0,70.78474251448087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,13.847474399381248,41.516270835566,48.53093654769288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,6.4208216229260096,28.67462758971399,0.0,0.0,69.30214814676475,0.0,0.0,0.0,0.0,0.0,5.572012351491971,0.6326908541194255,17.905164609053497,2.3301372354497354,6.559994949885372,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,4,0,0,0,0,1,4.19466620099142,2,5.0397400000000045,79.09400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1ccc(CCCCCCc2ccccc2)cc1,"1,6-diphenylhexane",22.136,14.421,9.851,7.148,5.429,4.271,3.456,2.861,2.414,2.069,1.792,2.2261595857478795,2.2261595857478795,1.2283501826656589,1.2283501826656589,0.5932504963976822,10.444444444444445,238.374,216.19799999999995,238.172150704,94,0,-0.0278872264562535,-0.0622487389243358,0.0622487389243358,0.0278872264562535,0.4444444444444444,0.8333333333333334,1.2222222222222223,14.001470147383824,10.033264280258344,1.943075223120914,-2.0251877252549075,2.09953976349686,-1.8761993686140808,5.148611971401813,0.6402702375529126,2.4484707921889513,1.5431740953316218,372.80600284232474,12.468409037364015,11.016143379015547,11.016143379015547,8.949489742783179,7.0284739862324646,7.0284739862324646,4.885410681680072,4.885410681680072,3.366552983937877,3.366552983937877,2.301156156741852,2.301156156741852,-1.5599999999999996,19783.644000886725,12.885564346435489,7.7058384427143,4.7473419608848095,110.67815001194067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.50531393046813,36.81018947509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164324585202,0.0,36.81018947509803,60.6636706846161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.651832720950054,0.0,0.0,60.6636706846161,0.0,0.0,0.0,0.0,0.0,2.9454803220135113,0.0,21.596765993179233,7.7910870181405905,0.0,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,0,0,0,0,0,5.51633761649063,2,5.032200000000005,78.76000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CCC(c1ccc(C)cc1)c1ccc(C)cc1C,"1-(2,4-dimethylphenyl)-1-(4-methylphenyl)propane",23.9,17.917,13.518,10.379,8.1,6.419,5.159,4.202,3.465,2.89,2.427,2.29036753590325,2.29036753590325,0.5196296296296296,0.5196296296296296,0.6930584909213385,12.444444444444445,238.37399999999997,216.19799999999995,238.172150704,94,0,0.0089300242226888,-0.0644774803804703,0.0644774803804703,0.0089300242226888,0.8333333333333334,1.4444444444444444,2.0,14.17703648952073,9.856075090476764,2.1341848624624613,-2.187359552207792,2.30156582974539,-2.019771078859145,5.394192627005327,0.7703099800432469,2.3459905093404565,2.4144508515863135,520.2346159549263,13.12095586463014,11.825908934703556,11.825908934703556,8.613392202930193,6.752106417598541,6.752106417598541,5.231560090388824,5.231560090388824,3.68868528241297,3.68868528241297,2.650534661682306,2.650534661682306,-1.5599999999999996,12377.445927280249,12.885564346435489,5.389882272896517,2.6387646407552015,110.67815001194064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.51520966231588,43.88238769708887,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,40.0336764678499,0.0,70.28182693771625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,47.079722327263,42.46456947923127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,6.4208216229260096,27.817257458484978,0.0,0.0,70.15951827799377,0.0,0.0,0.0,0.0,0.0,6.966362433862434,0.5196296296296296,15.748695200302343,1.1457955404383977,8.786183862433862,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,3,0,0,0,0,1,3.8584263803955574,2,5.153760000000005,79.22900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC(c1ccccc1)c1ccccc1,"1,1-diphenylhexane",46.23,27.969,17.755,12.128,8.783,6.666,5.253,4.269,3.556,3.023,2.604,2.2639295162509447,2.2639295162509447,0.5545833333333332,0.5545833333333332,0.5910811117882899,10.77777777777778,238.374,216.19799999999995,238.172150704,94,0,0.008929368739514,-0.0653823788352078,0.0653823788352078,0.008929368739514,0.7222222222222222,1.2222222222222223,1.6666666666666667,14.164416151036024,9.86793591070685,2.1220083583876987,-2.175062541259443,2.2910260220841003,-2.00590606598107,5.315772889482812,0.6183940323031555,2.4551896914915554,2.1819591154548923,390.61019405949486,12.631545744180547,11.179280085832078,11.179280085832078,8.91501490017253,7.014072545885955,7.014072545885955,4.869734978588547,4.869734978588547,3.500235507368079,3.500235507368079,2.494938589896027,2.494938589896027,-1.5599999999999996,19052.27200597447,12.885564346435489,7.003773947427045,3.4641566014160774,110.67815001194066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.84987275308477,17.54772460632,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,38.52492973755605,0.0,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.65183272095004,60.6636706846161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,36.81018947509803,0.0,0.0,67.58740788430673,0.0,0.0,0.0,0.0,0.0,2.8885241874527594,0.5545833333333332,21.7797800138574,5.179849615772236,2.2639295162509447,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6,0,0,0,0,0,5.013754437081093,2,5.398800000000005,78.86900000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CCCc1ccc(C(C)c2ccc(C)cc2)cc1,1-(4-methylphenyl)-1-(4-propylphenyl)ethane,17.997,13.588,10.33,7.992,6.284,5.016,4.061,3.331,2.765,2.321,1.962,2.2772758408919125,2.2772758408919125,0.4734041950113378,0.4734041950113378,0.6948943985743287,12.38888888888889,238.374,216.19799999999995,238.172150704,94,0,0.0060960334372188,-0.0650654381344166,0.0650654381344166,0.0060960334372188,0.8333333333333334,1.3333333333333333,1.8333333333333333,14.11777991160854,9.915530780070462,2.0722113074783706,-2.1306506449005784,2.2424670456835436,-1.960971706315984,5.342124615067648,0.9008533981818498,2.400392162630218,2.1729617216603905,476.45168939130986,12.957819157813608,11.61036598507973,11.61036598507973,8.702708600407234,6.85809512025091,6.85809512025091,5.123953062807189,5.123953062807189,3.595744600036247,3.595744600036247,2.309232448457255,2.309232448457255,-1.5599999999999996,14555.97807418964,12.885564346435489,5.859579727195426,3.009470699432893,110.67815001194066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.36268406169714,30.034913297707615,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,0.0,70.78474251448087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,6.923737199690624,48.440008035256625,48.53093654769288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,35.09544921264,0.0,0.0,69.30214814676475,0.0,0.0,0.0,0.0,0.0,5.559395829255589,0.4734041950113378,17.937064279415473,2.3948958443953035,6.635239851922302,0.0,0.3333333333333333,18,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,4,0,0,0,0,1,4.19466620099142,2,5.099320000000005,79.13300000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCC(=O)C=CC(CC)CCCC,10-ethyl-8-tetradecen-7-one,11.486,8.858,6.912,5.503,4.46,3.673,3.067,2.594,2.219,1.918,1.669,11.613571507306627,11.613571507306627,0.3157884542705971,0.3157884542705971,0.3525049472110965,13.117647058823527,238.4149999999999,208.17499999999995,238.22966558,100,0,0.1548811556570062,-0.2948776332207989,0.2948776332207989,0.1548811556570062,1.0,1.7058823529411764,2.2941176470588234,16.13749987756403,9.978195529853355,2.021790292092331,-2.0761628887402805,2.1391367979805165,-1.9751691317699824,5.890239479566355,-0.1142784389430502,2.3472326246503266,3.7419402286430063,205.5707182798784,12.932875131431278,12.004260128711673,12.004260128711673,8.239912065068584,7.450836261574054,7.450836261574054,4.946646241941254,4.946646241941254,3.283858552299996,3.283858552299996,1.9554935365044095,1.9554935365044095,-0.5900000000000001,5095.842028115859,16.410000000000004,11.882653637498278,10.29065532788118,107.68530181163815,0.0,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,58.95133982053581,31.256391021773304,6.4208216229260096,0.0,4.794537184071822,5.783244946364939,0.0,0.0,5.917906046161393,78.55860620540597,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,5.917906046161393,78.55860620540597,12.152040213667762,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,11.701150992526332,19.26246486877803,38.524929737556064,0.0,6.076020106833881,26.847231705905752,0.0,0.0,0.0,11.613571507306627,0.0,0.0,0.9218456842613588,0.0,14.346518730481469,6.618064077950545,0.0,0.8125,17,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,11,0,0,0,0,1,11.470255658314516,0,5.298500000000005,76.21200000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
CCC(C)(CC)C(=O)C=C(C)C(C)(CC)CC,"3,7-diethyl-3,6,7-trimethyl-5-nonen-4-one",23.884,17.928,13.581,10.492,8.252,6.597,5.353,4.402,3.666,3.088,2.619,12.339637188208616,12.339637188208616,0.1769316893424035,-0.1769316893424035,0.5602133122919294,13.941176470588236,238.4149999999999,208.17499999999995,238.22966558,100,0,0.160983835282779,-0.2942438200509563,0.2942438200509563,0.160983835282779,0.8823529411764706,1.2352941176470589,1.5294117647058822,16.13904953158247,9.74277269021141,2.2924508412017635,-2.296186568419569,2.3547470508946677,-2.259874640850544,5.946599096605745,-0.1229751655630213,2.357502894178949,5.095697714547023,277.90030403776683,13.69023444431199,12.81402568439968,12.81402568439968,7.79118807561589,7.024115101540842,7.024115101540842,5.7271349452334945,5.7271349452334945,5.0157974988186576,5.0157974988186576,1.951242484005255,1.951242484005255,-0.5900000000000001,3432.5242139245497,16.410000000000004,6.371576286802224,3.688434905733081,107.68530181163815,0.0,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,47.11552772821301,44.09803426762532,5.414990469396779,0.0,4.794537184071822,5.783244946364939,0.0,0.0,10.829980938793556,74.1494468895384,0.0,11.649124636903148,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,10.829980938793556,74.1494468895384,11.649124636903148,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,10.829980938793556,5.783244946364939,25.68328649170404,5.5731045300692665,0.0,6.076020106833881,48.46616039783436,0.0,0.0,0.0,12.339637188208616,0.0,1.2383819916855634,0.2991898148148149,0.0,5.9209429327286465,15.035181405895692,0.0,0.8125,17,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,6.150445109789678,0,5.154400000000005,76.14200000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=CCCCCCCCCCCCCC1,"cyclopentadecene, 1-methoxy-, (E)-",28.873,22.665,18.016,14.604,12.043,10.082,8.553,7.343,6.371,5.58,4.917,5.436848702443941,5.436848702443941,1.1493055555555556,1.1493055555555556,0.577349290140749,22.058823529411764,238.4149999999999,208.17499999999995,238.22966558,100,0,0.0915191622673928,-0.5014445349211886,0.5014445349211886,0.0915191622673928,0.7058823529411765,1.1764705882352942,1.7058823529411764,16.467676769810144,10.054128018206614,1.9866965632464144,-2.0584149554976445,2.163978080402946,-1.883679884750319,4.920537682838562,0.2714145615808973,2.3629018494344756,2.2522180179805806,195.70185952129685,12.183951986987845,11.67798671507861,11.67798671507861,8.431851652578137,7.662849251347744,7.662849251347744,5.3023235643117825,5.3023235643117825,3.7614976458652514,3.7614976458652514,2.5850658701278824,2.5850658701278824,-0.46,7896.817980810018,14.600459492140264,10.67875565737347,8.288365294316844,107.6314937875721,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.787394606334104,25.33848497561191,6.4208216229260096,12.868962412933708,4.736862953800049,0.0,0.0,0.0,0.0,83.47068109803816,7.109797541277533,11.835184978490055,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,4.736862953800049,0.0,83.47068109803816,11.835184978490055,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,82.80902434676831,0.0,7.109797541277533,6.076020106833881,4.736862953800049,5.436848702443941,0.0,0.0,0.0,0.0,1.2221036470143614,0.0,20.188270660115897,0.0,1.8194436570924668,0.875,17,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,9.17145525893794,1,5.601600000000006,75.11300000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
