n_features,auc
197,0.9104310922492741
195,0.9104310922492741
193,0.9104310922492741
191,0.9104310922492741
189,0.9104310922492741
187,0.9104310922492741
185,0.9104310922492741
183,0.9104310922492741
181,0.9104310922492741
179,0.9104310922492741
177,0.9104310922492741
175,0.9104310922492741
173,0.9104310922492741
171,0.9104310922492741
169,0.9104310922492741
167,0.9104310922492741
165,0.9104310922492741
163,0.9104310922492741
161,0.9104310922492741
159,0.9104310922492741
157,0.9104310922492741
155,0.9104310922492741
153,0.9104310922492741
151,0.9104310922492741
149,0.9104310922492741
147,0.9104310922492741
145,0.9104310922492741
143,0.9104310922492741
141,0.9104310922492741
139,0.9104310922492741
137,0.9104310922492741
135,0.9104310922492741
133,0.9104310922492741
131,0.9104310922492741
129,0.9104310922492741
127,0.9104310922492741
125,0.9104310922492741
123,0.9104310922492741
121,0.9132710041800952
119,0.9112607294425477
117,0.9120903666358211
115,0.9127285490921856
113,0.9160470978652797
111,0.9170362806726443
109,0.9042088132997224
107,0.9042088132997224
105,0.9088037269855451
103,0.9048469957560867
101,0.9050065413701778
99,0.9100481827754555
97,0.9048150866332684
95,0.9066658157567249
93,0.9096652733016369
91,0.9095057276875458
89,0.9100481827754555
87,0.9055809055809055
85,0.9090909090909091
83,0.9109735473371836
81,0.9122499122499123
79,0.9133348224257316
77,0.9080379080379081
75,0.9133667315485497
73,0.9141963687418233
71,0.9151855515491879
69,0.9111011838284566
67,0.9146430964612782
65,0.9147388238297328
63,0.9172277354095537
61,0.9148026420753693
59,0.9092504547050002
57,0.905644723826542
55,0.911324547688184
53,0.910112001021092
51,0.9168448259357351
49,0.9133667315485497
47,0.9156003701458247
45,0.91729155365519
43,0.9143878234787326
41,0.9126009126009127
39,0.9133348224257315
37,0.9126966399693672
35,0.9108140017230927
33,0.9132390950572769
31,0.9080059989150898
29,0.9035706308433581
27,0.911452184179457
25,0.914898369443824
23,0.9115798206707298
21,0.9141963687418233
19,0.9097610006700916
17,0.9094419094419094
15,0.9140687322505505
13,0.8959762596126232
11,0.8855738855738856
9,0.8781071508344235
7,0.855786719423083
5,0.8250103704649159
3,0.8277864641501005
1,0.6552219279492006
