set,prop,n,full_pass,fold_pass,full_pass_pct,fold_pass_pct,median_shift,mean_shift,median_fold_sd
front,mp,28,28,13,100.0,46.42857142857143,12.933743476867676,11.543681144714355,13.345539093017578
front,dc,28,28,26,100.0,92.85714285714286,0.8276400566101074,0.983794093132019,1.4201717376708984
front,fp,28,28,27,100.0,96.42857142857143,-4.3019866943359375,-11.825629234313965,9.008481979370117
pool,mp,1200,1200,884,100.0,73.66666666666667,8.065998077392578,8.331828117370605,12.834115982055664
pool,dc,1200,1200,1138,100.0,94.83333333333334,0.05094623565673828,0.15991218388080597,0.9722594022750854
pool,fp,1200,1200,1200,100.0,100.0,0.0431060791015625,0.07599866390228271,10.74860954284668
