SMILES,prop,XGBoost,MLP,D-MPNN,Uni-Mol,consensus_mean,consensus_sd
CC(=O)OCCOCCOCCOC(C)=O,beta,0.00083768981276076,0.0008107602041175201,0.0008126869291443199,0.0008252792526036,0.00082160404965655,1.2508169539021857e-05
CC(=O)OCCOCCOCCOC(C)=O,bp,284.9726867675781,283.56048790594696,290.24357101728685,281.6991882324219,285.1189834808084,3.6700003698947157
CC(=O)OCCOCCOCCOC(C)=O,cpsat,449.5153747558594,445.8240507653635,445.38954505882555,448.7763366699219,447.3763268124926,2.073034520384385
CC(=O)OCCOCCOCCOC(C)=O,dc,7.58378267288208,8.382675520265986,7.663921321500669,7.764277553558349,7.84866426705177,0.363584630604032
CC(=O)OCCOCCOCCOC(C)=O,density,1.3264670848846436,1.2784503774806086,1.2904362970257894,1.3358281612396241,1.3077954801576666,0.027670298889220138
CC(=O)OCCOCCOCCOC(C)=O,fom1,76.1061328005703,74.75588977395786,79.99509476087131,75.44761712606336,76.57618361536572,2.344997027659511
CC(=O)OCCOCCOCCOC(C)=O,fp,423.78696899414064,421.18987789429605,417.41447953081405,444.0357360839844,426.6067656258088,11.910234543226137
CC(=O)OCCOCCOCCOC(C)=O,mp,-28.60714340209961,-2.2408642993270886,-17.356007874450665,-39.69126586914062,-21.973820361254496,16.00648407150844
CC(=O)OCCOCCOCCOC(C)=O,tc,0.19430993199348445,0.19113572038015023,0.19448947338689573,0.19700496196746822,0.19423502193199965,0.0024047588215590546
CC(=O)OCCOCCOCCOC(C)=O,viscosity,7.091767767966674,6.821879768294306,6.409187271382382,7.074435256853714,6.84931751612427,0.3182910534673726
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,beta,0.00075287570944052,0.0007569133684209,0.0007373608635658599,0.00078030717559152,0.0007568642792547001,1.7756348264770054e-05
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,bp,322.16790161132815,317.4269076204174,324.67807072379213,300.749169921875,316.2555124693532,10.765913163239325
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,cpsat,562.6409423828125,547.0392951443963,560.51538579557,556.774560546875,556.7425459674134,6.908436921856174
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,dc,5.5090189456939695,5.939895156127325,4.872474749679605,7.007752704620361,5.832285389030315,0.8979682490291236
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,density,1.1196933031082152,1.168200095126648,1.1150625457943655,1.1436975717544555,1.136663378945921,0.024485531800842397
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,fom1,63.37519493388722,54.64023971286343,53.17568973472944,61.6931156603931,58.2210600104683,5.06288167180278
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,fp,448.7408081054688,431.7441081162694,411.54669725852654,426.3212463378906,429.58821495453884,15.358376047481217
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,mp,-34.86871166229248,-27.55968642236756,3.0872136905185967,-14.3889743745327,-18.432539692168536,16.662360402973448
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,tc,0.17862713336944575,0.17886902548679712,0.1945070398521666,0.1838692873716354,0.18396812152001124,0.0074297936844649705
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,viscosity,9.461458390673368,12.287111895116846,12.484424397088741,8.189589628329156,10.605646077802028,2.1216054847085566
