n_features,auc
213,0.8996098928563666
211,0.8996098928563666
209,0.8996098928563666
207,0.8996098928563666
205,0.8996098928563666
203,0.8996098928563666
201,0.8996098928563666
199,0.8996098928563666
197,0.8996098928563666
195,0.8996098928563666
193,0.8996098928563666
191,0.8996098928563666
189,0.8996098928563666
187,0.8996098928563666
185,0.8996098928563666
183,0.8996098928563666
181,0.8996098928563666
179,0.8996098928563666
177,0.8996098928563666
175,0.8996098928563666
173,0.8996098928563666
171,0.8996098928563666
169,0.8996098928563666
167,0.8996098928563666
165,0.8996098928563666
163,0.8996098928563666
161,0.8996098928563666
159,0.8996098928563666
157,0.8996098928563666
155,0.8996098928563666
153,0.9030002390628735
151,0.8971757981440027
149,0.9001912502988286
147,0.89916436659205
145,0.8987568730576141
143,0.893638754265099
141,0.8995338273966053
139,0.8995338273966053
137,0.8984960771955751
135,0.8991806663334276
133,0.89551865777063
131,0.89551865777063
129,0.8911503270814771
127,0.8943722426270836
125,0.8989633364483949
123,0.8894660204724751
121,0.8942907439201964
119,0.8916827852998066
117,0.8973659617934062
115,0.890047377914937
113,0.8904929041792538
111,0.8929813313628757
109,0.8921935105296329
107,0.8902266750700889
105,0.8946710712190034
103,0.8912100927998609
101,0.9021906852411276
99,0.8934703236041989
97,0.8916664855584292
95,0.8916664855584291
93,0.8990937343794145
91,0.8995446938908569
89,0.8879827440071284
87,0.8931714950122792
85,0.883331884467433
83,0.8840925390650468
81,0.8865700997544173
79,0.8847771282028992
77,0.8916827852998066
75,0.884087105817921
73,0.8792732488644515
71,0.8920468128572361
69,0.886662464955556
67,0.8878577793232346
65,0.8905363701562602
63,0.879718775128768
61,0.8805011627148848
59,0.8852117879729642
57,0.886314737139504
55,0.8950459652706844
53,0.8909275639493186
51,0.8936115880294699
49,0.8902375415643404
47,0.8853204529154804
45,0.8946439049833744
43,0.886863495099211
41,0.8928726664203596
39,0.8869395605589725
37,0.8840653728294177
35,0.8915034881446549
33,0.8907482667941669
31,0.8765892247843
29,0.864788212027036
27,0.8746006563362528
25,0.8652554712798555
23,0.8724545237215569
21,0.8655570164953383
19,0.8606643774585443
17,0.8567796057635885
15,0.8327048877491143
13,0.8351797318149219
11,0.8319741160106926
9,0.8273667224480038
7,0.815380979288462
5,0.7991002542759654
3,0.804843196487949
1,0.711100667202747
