n_features,rmse
127,6.599789203952371
125,6.599789203952371
123,6.599789203952371
121,6.599789203952371
119,6.599789203952371
117,6.599789203952371
115,6.599789203952371
113,6.599789203952371
111,6.599789203952371
109,6.599789203952371
107,6.599789203952371
105,6.599789203952371
103,6.599789203952371
101,6.599789203952371
99,6.599789203952371
97,6.599789203952371
95,6.599789203952371
93,6.599789203952371
91,6.599789203952371
89,6.599789203952371
87,6.599789203952371
85,6.599789203952371
83,6.599789203952371
81,6.599789203952371
79,6.6088708927108275
77,6.606704546997865
75,6.574496838841929
73,6.617647731986586
71,6.592709215456468
69,6.563219755769163
67,6.588571543034662
65,6.558361520871192
63,6.785195683391036
61,6.8094482754662815
59,6.518338666369105
57,6.394643156218684
55,6.62620488474896
53,6.575824252402916
51,6.624808245523526
49,6.574871665686708
47,6.6822884192327185
45,6.577830393861785
43,6.562582532333808
41,6.7693465254340595
39,6.925095234028782
37,6.880538469720125
35,6.641978228444349
33,6.423776175391259
31,6.570665546248108
29,6.8973000534554645
27,6.81514749418972
25,6.86103980452242
23,6.391678581932231
21,6.665592013753294
19,6.7150299913736005
17,6.488702995169531
15,7.128802740541277
13,7.34768111114079
11,7.2450088319465005
9,6.8625593036517945
7,8.939996645938772
5,8.850945799026098
3,11.459634543000101
1,11.747062075209538
