n_features,auc
213,0.9709635557478101
211,0.9709635557478101
209,0.9709635557478101
207,0.9709635557478101
205,0.9709635557478101
203,0.9709635557478101
201,0.9709635557478101
199,0.9709635557478101
197,0.9709635557478101
195,0.9709635557478101
193,0.9709635557478101
191,0.9709635557478101
189,0.9709635557478101
187,0.9709635557478101
185,0.9709635557478101
183,0.9709635557478101
181,0.9709635557478101
179,0.9709635557478101
177,0.9709635557478101
175,0.9709635557478101
173,0.9709635557478101
171,0.9709635557478101
169,0.9709635557478101
167,0.9709635557478101
165,0.9709635557478101
163,0.9709635557478101
161,0.9709635557478101
159,0.9709635557478101
157,0.9709635557478101
155,0.9709635557478101
153,0.9709635557478101
151,0.9709635557478101
149,0.9709635557478101
147,0.9709635557478101
145,0.9709635557478101
143,0.9709635557478101
141,0.9709635557478101
139,0.9709635557478101
137,0.9707580837028226
135,0.971006813020439
133,0.9698496809776145
131,0.9732237482426733
129,0.9733210771060885
127,0.9750729966475614
125,0.9725424461987672
123,0.972672218016654
121,0.9733967773331892
119,0.9733967773331892
117,0.9739915648318374
115,0.9739915648318374
113,0.9746079809668001
111,0.9717962582459175
109,0.9702173677949605
107,0.9705417973396777
105,0.9701632962041743
103,0.9721206877906348
101,0.9747593814210015
99,0.9700551530226019
97,0.9710608846112253
95,0.9717205580188168
93,0.9743484373310263
91,0.9742186655131394
89,0.9726614036984969
87,0.9737860927868498
85,0.9743916946036553
83,0.9733210771060885
81,0.9678922893911539
79,0.97398075051368
77,0.9723910457445659
75,0.97429436574024
73,0.9680545041635125
71,0.9734941061966043
69,0.9720233589272197
67,0.9736563209689629
65,0.9723586027900941
63,0.9705742402941494
61,0.9729317616524278
59,0.9723369741537796
57,0.9704985400670487
55,0.9737212068779063
53,0.9702606250675895
51,0.9708662268843951
49,0.969071050070293
47,0.9698388666594572
45,0.9675462312101222
43,0.9682924191629718
41,0.9693738509786958
39,0.9737752784686926
37,0.9607656537255327
35,0.9672866875743485
33,0.966280955985725
31,0.9623012869038606
29,0.9633935330377419
27,0.9589164053206446
25,0.9598572510003244
23,0.9519519844273818
21,0.9437331026278792
19,0.946469125121661
17,0.9392235319563101
15,0.9423813128582244
13,0.9360008651454527
11,0.9344057532172596
9,0.9347680328755272
7,0.9248458959662593
5,0.9419108900183844
3,0.9470422839839948
1,0.9053855304423056
