n_features,auc
213,0.9309073212933923
211,0.9309073212933923
209,0.9309073212933923
207,0.9309073212933923
205,0.9309073212933923
203,0.9309073212933923
201,0.9309073212933923
199,0.9309073212933923
197,0.9309073212933923
195,0.9309073212933923
193,0.9309073212933923
191,0.9309073212933923
189,0.9309073212933923
187,0.9309073212933923
185,0.9309073212933923
183,0.9309073212933923
181,0.9309073212933923
179,0.9309073212933923
177,0.9309073212933923
175,0.9309073212933923
173,0.9309073212933923
171,0.9309073212933923
169,0.9309073212933923
167,0.9309073212933923
165,0.9309073212933923
163,0.9309073212933923
161,0.9309073212933923
159,0.9309073212933923
157,0.9309073212933923
155,0.9309073212933923
153,0.9309073212933923
151,0.9309073212933923
149,0.9309073212933923
147,0.9309073212933923
145,0.9373202119606359
143,0.9373202119606359
141,0.9373202119606359
139,0.9373202119606359
137,0.9383043149129447
135,0.9330701849248406
133,0.9320103817454308
131,0.9345841894668541
129,0.9335892721963879
127,0.9335892721963879
125,0.9335892721963879
123,0.9306477776576186
121,0.9280631556180383
119,0.9289499297069319
117,0.9293068022061207
115,0.9341516167405645
113,0.9390937601384233
111,0.9332323996971992
109,0.9306585919757759
107,0.933902887422948
105,0.9329187844706391
103,0.9347788471936845
101,0.9344327890126527
99,0.9351249053747162
97,0.9350816481020872
95,0.93412998810425
93,0.9289715583432465
91,0.9334595003785011
89,0.9364009949172705
87,0.9438953174002379
85,0.9425975992213691
83,0.9362712230993837
81,0.9331134421974695
79,0.927381853574132
77,0.9311668649291662
75,0.9318914242457013
73,0.9298367037958256
71,0.9177679247323457
69,0.921607007678166
67,0.9217475938142099
65,0.9264193792581377
63,0.922558667676003
61,0.9360008651454526
59,0.92017951768141
57,0.924224072672218
55,0.9339028874229479
53,0.9281929274359252
51,0.9305612631123609
49,0.9284416567535417
47,0.9345517465123826
45,0.9239753433546015
43,0.9254893478966152
41,0.9283443278901266
39,0.9316751378825565
37,0.9205688331350708
35,0.9263653076673516
33,0.9173029090515843
31,0.9141991997404564
29,0.9173569806423705
27,0.9211095490429327
25,0.9309181356115497
23,0.9229371688115064
21,0.9181139829133773
19,0.9297069319779387
17,0.9179950254136477
15,0.927371039255975
13,0.9151238239429004
11,0.9151346382610577
9,0.918843949388991
7,0.8948307559208393
5,0.909451714069428
3,0.9017140694279225
1,0.8481183086406403
