mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.21653151512146,0.22652472505494622,0.2503054618835449,0.007862780573197307,1.0,1,5000,2,50,0.1,0.9,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 50, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.7532662810440588,0.8227143227143227,0.8114657975769087,0.7837332637802122,0.807083750441114,0.7956526831113233,0.024705205381867233,8134
0.5478348731994629,0.09702172913519276,0.04722681045532227,0.005361593835212946,0.7,10,1000,3,6,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.7705329649774094,0.8335851391406947,0.817199775533109,0.7843563438242624,0.8077679272323968,0.8026884301415744,0.022631952595450557,3099
0.056256771087646484,0.0010640845818854796,0.009163665771484374,0.0005479164463618541,0.7,10,100,1,100,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 100, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7692811303922416,0.8326714437825549,0.8159623298512186,0.7846823740798702,0.8130468913167163,0.8031288338845203,0.02289878246793415,2690
0.08188552856445312,0.001224728707993012,0.009244871139526368,0.00030568673900052614,0.7,1,200,4,10,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'n_estimators': 200, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.7661371550260438,0.8302613024835247,0.8139838556505226,0.7906958210166347,0.8116065191245418,0.8025369306602534,0.022122774977169555,3246
0.556703519821167,0.19350938230692527,0.06860733032226562,0.024792499621338615,0.7,5,1000,6,100,0.01,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 100, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.7659860715416272,0.8327865550087772,0.8140198279087167,0.79547035298209,0.8126940001296337,0.8041913615141689,0.022460092955242292,1792
0.24080276489257812,0.05119124990579268,0.022535037994384766,0.0006983451264858928,1.0,2,500,5,20,0.01,1.0,"{'subsample': 1.0, 'scale_pos_weight': 2, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.7741301907968574,0.8324735963624852,0.8175882759216094,0.8015852315539327,0.8093883459485931,0.8070331281166956,0.01937244683573068,125
0.14033913612365723,0.0020646881395765745,0.018663406372070312,0.0008363319901575787,0.7,2,300,1,20,0.5,0.9,"{'subsample': 0.7, 'scale_pos_weight': 2, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.5, 'colsample_bytree': 0.9}",0.7519065296843074,0.8223402112291001,0.8108182969294082,0.7834144786413958,0.8060394806017878,0.7949037994171999,0.024943139401428532,8344
0.03833107948303223,0.0030415657116352824,0.005189752578735352,0.00037615475654490524,0.7,5,100,4,3,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.7659357103801548,0.8330671386226942,0.8185451379895826,0.7970497884425898,0.808776187766919,0.8046747926403881,0.022690043701369934,1440
0.23679208755493164,0.00368526839806999,0.03213181495666504,0.0010699791652962118,0.7,5,500,4,20,0.1,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.7619355952689285,0.8288368010590231,0.8137104664882443,0.7831681446704921,0.8075302658206882,0.7990362546614753,0.023680410156708992,6621
2.329081726074219,0.18101178935351378,0.2378866195678711,0.012259594418442722,1.0,5,5000,3,50,0.01,0.8,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.7701444645889091,0.8227143227143227,0.8170918587585254,0.7842186866052281,0.8079191663125752,0.800417699795912,0.02005151250568091,5509
0.13385000228881835,0.0007403809511133942,0.018575429916381836,0.0007129535978684204,0.7,2,300,5,10,0.5,1.0,"{'subsample': 0.7, 'scale_pos_weight': 2, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.5, 'colsample_bytree': 1.0}",0.7589283144838703,0.8286137730582176,0.815185329074218,0.7861386425549179,0.8074942565158838,0.7992720631374215,0.024420799452196575,6429
2.311534595489502,0.025314724925241755,0.2785631656646729,0.006513662595529833,1.0,10,5000,1,10,0.1,0.9,"{'subsample': 1.0, 'scale_pos_weight': 10, 'n_estimators': 5000, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.746057440501885,0.8233834067167402,0.8109118248007138,0.7711267605633803,0.801898410549286,0.7906755686264011,0.028207070643166278,9341
0.2440047264099121,0.05314916876290451,0.03600149154663086,0.011646145194375181,0.7,1,300,1,100,0.2,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 100, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.7634032634032633,0.827196466085355,0.8156601628823852,0.7871239784385323,0.8074006323233924,0.8001569006265855,0.022559467190383455,5750
0.10777058601379394,0.001824736096572783,0.01296234130859375,0.0004912400842693593,1.0,1,300,3,6,0.1,0.7,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.765935710380155,0.8315131370686928,0.8166889694667473,0.7979047122239611,0.8027914413084342,0.8029667940895979,0.0219095795334799,2844
0.9566780090332031,0.03541745028647212,0.13550739288330077,0.015890366429084587,1.0,1,2000,2,20,0.2,1.0,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 2000, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.7514604736826959,0.8226711560044894,0.8047174019396242,0.7711122703297978,0.8083152686654231,0.791655314124406,0.026259461218438165,9144
0.5109911918640136,0.011521378837698307,0.06684637069702148,0.0009946332326906952,0.7,5,1000,2,20,0.2,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.7481582203804427,0.8223114334225445,0.8053001525223749,0.7711629861473366,0.8016463454156554,0.7897158275776708,0.026528944952097865,9570
0.14766240119934082,0.0016490341697424514,0.022620439529418945,0.0005558767697975706,1.0,10,300,5,20,0.1,1.0,"{'subsample': 1.0, 'scale_pos_weight': 10, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.7706552706552707,0.8281533281533281,0.8171350254683588,0.7845592070944183,0.8026113947844121,0.8006228452311577,0.02093145915405295,5300
0.13234338760375977,0.0028424869603514225,0.016236257553100587,0.0009399740745429976,0.7,5,300,4,50,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 300, 'min_child_weight': 4, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.771525799303577,0.832808138363694,0.8168688307577197,0.8064756853880484,0.8091146752320799,0.8073586258090237,0.020129463163081004,56
