n_features,rmse
137,2.4910801258311475
135,2.4910801258311475
133,2.4910801258311475
131,2.4910801258311475
129,2.4910801258311475
127,2.4910801258311475
125,2.4910801258311475
123,2.4910801258311475
121,2.4910801258311475
119,2.4910801258311475
117,2.4910801258311475
115,2.4910801258311475
113,2.4910801258311475
111,2.4910801258311475
109,2.4910801258311475
107,2.4910801258311475
105,2.4910801258311475
103,2.4910801258311475
101,2.4910801258311475
99,2.4910801258311475
97,2.4910801258311475
95,2.4910801258311475
93,2.4910801258311475
91,2.489987496947318
89,2.4875895120702687
87,2.4913413959328685
85,2.4868722712543665
83,2.5137198934195717
81,2.5137198934195717
79,2.49134908924135
77,2.4855479446779802
75,2.469498312795543
73,2.423324221098093
71,2.430436542100303
69,2.4802132973871998
67,2.47493713061006
65,2.4343422188275725
63,2.5673789002345453
61,2.5606178211494357
59,2.499826980582531
57,2.486253221070836
55,2.456282397264577
53,2.519949418150961
51,2.5122229488415995
49,2.54145106830901
47,2.561394464103572
45,2.4523092187661653
43,2.508222474077016
41,2.5746819151154283
39,2.610332769579484
37,2.3306172595307997
35,2.3208134694945053
33,2.398075139686953
31,2.3455921868382257
29,2.479371254354069
27,2.3227361803445916
25,2.314815678970514
23,2.1612082863992947
21,2.299874332428207
19,2.3607158511766757
17,2.3918900547590005
15,2.558583882658442
13,2.902614642050165
11,2.649134743081023
9,2.8457977667272876
7,2.357785770156505
5,3.171946347327439
3,4.386231848774847
1,7.319482500914902
