n_features,rmse
137,3.423451036056227
135,3.423451036056227
133,3.423451036056227
131,3.423451036056227
129,3.423451036056227
127,3.423451036056227
125,3.423451036056227
123,3.423451036056227
121,3.423451036056227
119,3.423451036056227
117,3.423451036056227
115,3.423451036056227
113,3.423451036056227
111,3.423451036056227
109,3.423451036056227
107,3.423451036056227
105,3.423451036056227
103,3.423451036056227
101,3.423451036056227
99,3.423451036056227
97,3.423451036056227
95,3.423451036056227
93,3.423451036056227
91,3.423451036056227
89,3.423451036056227
87,3.422531341905165
85,3.421001326881656
83,3.4190649786082217
81,3.4520008713175416
79,3.452836505553674
77,3.45205179795354
75,3.4528576564362727
73,3.4599762877577134
71,3.442278372227897
69,3.4042207390806927
67,3.403987856634696
65,3.4169558416576886
63,3.4370630276063943
61,3.471953186593235
59,3.421986044372176
57,3.465386181212075
55,3.43499035580092
53,3.4595696966510463
51,3.4695681989598106
49,3.488092135296859
47,3.4812619317300855
45,3.5187292061235245
43,3.5241235194757454
41,3.458605266173389
39,3.37527006916616
37,3.4140179090037464
35,3.333553506367437
33,3.1487101618966538
31,3.0758511140025186
29,3.2174648478707137
27,2.9751116109675486
25,3.134550134860721
23,3.1721211017267623
21,2.990981224047871
19,2.992534352695717
17,3.1899319964270196
15,3.439854379886553
13,3.3424915643875823
11,3.224908343981525
9,3.816762575161765
7,3.2857158360472503
5,3.732123115497819
3,4.9991767618409355
1,7.739091823826648
