SMILES,BP-Measured,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_aldehyde,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_term_acetylene,fr_unbrch_alkane
CCC(C)(CC(O)=O)CC(O)=O,261.0,10.362375755857899,-0.9438888888888883,10.362375755857899,0.08750000000000013,0.6593198470543838,174.19599999999997,160.08399999999997,174.089208928,70,0.3034109381042947,-0.48121514025399187,0.48121514025399187,0.3034109381042947,1.1666666666666667,1.5,1.6666666666666667,16.369521166226484,9.807713264769525,2.276665984497669,-2.2297698920890334,2.2913757239388617,-2.229726637853064,5.7127251155100165,-0.14286878697041916,4.230018858328916,169.49688176536182,9.776020881938894,7.332244115487285,7.332244115487285,5.393664610652598,3.8303356201167382,3.8303356201167382,3.3052440394130755,3.3052440394130755,2.009558231492373,2.009558231492373,1.0426823932877358,1.0426823932877358,-1.06,234.855678277285,10.94,4.088235211780761,3.953391917712515,71.20535753308536,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,13.847474399381248,11.83581209232279,0.0,12.841643245852019,19.802129157825057,11.938610575903699,5.41499046939678,33.10993926815928,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,9.589074368143644,5.41499046939678,33.10993926815928,0.0,0.0,74.6,17.35360104530048,9.589074368143644,12.841643245852019,6.4208216229260096,0.0,0.0,13.847474399381248,0.0,0.0,10.213054789681411,0.0,20.724751511715798,17.000341080876794,-0.613425925925926,-1.8877777777777767,0.0,0.38611111111111085,3.473333333333333,0.0,0.75,12,2,4,0,0,0,0,0,0,2,2,4,5,0,0,0,0,1.3521,42.9036,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCOC=C,143.0,4.943945578231292,0.8368055555555556,4.943945578231292,0.8368055555555556,0.3945284653020167,128.21499999999997,112.08699999999997,128.120115132,54,0.08725279944965586,-0.5018184918486448,0.5018184918486448,0.08725279944965586,1.3333333333333333,2.111111111111111,2.6666666666666665,16.466674354350893,10.197809721272908,1.838904607079705,-1.9722793096051507,1.9771376458986225,-1.855188586876517,4.483949244894743,0.24179670778949558,2.663883887398184,59.58797503894244,6.949747468305834,6.228239246772775,6.228239246772775,4.414213562373095,3.63973246664074,3.63973246664074,2.098117650345086,2.098117650345086,1.2335932182861957,1.2335932182861957,0.6955054345792693,0.6955054345792693,-0.46,103.68791599331826,8.539999999999997,7.539999999999997,7.539999999999997,57.71778802592842,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76513775206715,6.4208216229260096,0.0,12.868962412933708,4.736862953800049,0.0,0.0,32.60702369139466,6.606881964512918,12.841016132019288,0.0,0.0,0.0,0.0,6.606881964512918,4.736862953800049,0.0,32.60702369139466,12.841016132019288,0.0,9.23,0.0,0.0,0.0,0.0,6.606881964512918,31.945366940124828,0.0,0.0,13.502672883289122,4.736862953800049,4.943945578231292,0.0,0.0,0.0,0.0,0.0,6.560255810657597,6.495798611111111,0.0,0.75,9,0,1,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2.726800000000001,40.291000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
COC(=O)c1cc(ccc1)OC,248.0,11.00380007558579,-0.35287037037036995,11.00380007558579,0.35287037037036995,0.6240969235528274,166.176,156.09599999999998,166.06299418,64,0.3374810332290242,-0.4967412149716393,0.4967412149716393,0.3374810332290242,1.3333333333333333,2.0833333333333335,2.6666666666666665,16.523649386439466,10.194035215077461,2.0408379613228504,-2.0108987141602226,2.1220068985012994,-2.00244679000074,5.891790368689121,0.06001001850262739,2.9335820760775198,280.85706625991145,8.974691494688164,7.034145948150093,7.034145948150093,5.774386907679233,3.5002362216694394,3.5002362216694394,2.223537487713406,2.223537487713406,1.4908358366916412,1.4908358366916412,0.8678925973109398,0.8678925973109398,-1.51,601.887617274916,8.585328884652048,3.7588733548338538,1.7515801479920028,70.9148420217443,9.473725907600098,5.749511833283905,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,6.06636706846161,18.19910120538483,0.0,19.78304657425206,14.268263091671919,5.969305287951849,0.0,0.0,14.219595082555067,29.828919765543436,5.749511833283905,4.736862953800049,0.0,5.749511833283905,20.188900370506914,4.736862953800049,0.0,10.357988675768818,24.26546827384644,0.0,35.53,0.0,4.794537184071822,5.969305287951849,11.3129633249809,0.0,7.109797541277533,31.375265815123974,0.0,4.736862953800049,4.736862953800049,9.482983749055178,11.00380007558579,0.0,0.49708333333333354,0.29796296296296365,6.817175925925926,0.0,0.0,2.90099395313681,0.2222222222222222,12,0,3,0,0,0,1,0,1,3,0,3,2,0,0,0,1,1.4818,44.33350000000003,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0
C#CCCCO,154.0,8.101805555555556,0.2124999999999999,8.101805555555556,0.2124999999999999,0.3788521133301557,84.118,76.05399999999999,84.057514876,34,0.04396151671114694,-0.3963409483616702,0.3963409483616702,0.04396151671114694,1.6666666666666667,2.3333333333333335,2.5,16.249917102779538,10.33845355154276,1.7221406144299598,-1.7927646343964736,1.7900719627648227,-1.76595948539454,4.819759456757876,0.29026335816543725,2.5438576444484196,51.44900955152481,4.82842712474619,3.645884208249226,3.645884208249226,2.914213562373095,1.9584562912049246,1.9584562912049246,1.031284333575184,1.031284333575184,0.4792281456024622,0.4792281456024622,0.1811190141201752,0.1811190141201752,-0.48,20.986300857070454,5.52,4.519999999999999,3.5199999999999982,37.992478629471265,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,0.0,6.4208216229260096,13.027703587438928,0.0,5.106527394840706,0.0,0.0,12.841643245852019,6.606881964512918,0.0,12.343784214475903,0.0,0.0,0.0,11.713409359353623,0.0,12.343784214475903,12.841643245852019,0.0,0.0,20.23,0.0,0.0,6.606881964512918,6.4208216229260096,6.4208216229260096,0.0,0.0,0.0,5.920434318855644,11.529877290460965,0.0,0.0,8.101805555555556,0.0,2.408611111111111,0.0,6.277083333333334,0.2124999999999999,0.0,0.6,6,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0.39209999999999995,25.15279999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
C[C@@H](O)C(C)(C)O,175.0,8.844907407407408,-0.9444444444444446,8.844907407407408,0.6458333333333339,0.4964129674890688,104.14899999999999,92.05299999999998,104.083729624,44,0.08463510720209345,-0.39044641145625925,0.39044641145625925,0.08463510720209345,1.4285714285714286,1.5714285714285714,1.5714285714285714,16.337571301104685,10.048361182055814,2.178909694611122,-2.1917891662313775,2.048802562355672,-2.323200761712906,4.700419547774593,-0.037517647465568245,3.541196965079901,51.5907190016011,6.077350269189626,4.971777460189542,4.971777460189542,2.9433756729740645,2.347831091281579,2.347831091281579,2.329636778778719,2.329636778778719,1.0223836307293301,1.0223836307293301,0.0,0.0,-0.08,17.086166327180322,6.92,1.8010352108427676,2.595675675675676,43.787486989808,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,0.0,11.70501719873199,10.213054789681411,0.0,0.0,32.47622879780386,0.0,0.0,0.0,0.0,0.0,0.0,21.918071988413402,0.0,0.0,20.771211599071872,0.0,0.0,40.46,11.70501719873199,0.0,0.0,0.0,0.0,0.0,20.771211599071872,0.0,0.0,10.213054789681411,0.0,0.0,17.483796296296298,-0.9444444444444446,0.0,0.0,-0.6458333333333339,4.689814814814815,0.0,1.0,7,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0.1381,27.97859999999999,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(CCc1ccccc1)CCc1ccccc1,352.0,11.7896910430839,0.3497278911564625,11.7896910430839,0.3497278911564625,0.7473409138936866,238.32999999999998,220.18599999999995,238.135765196,92,0.13307303456345923,-0.2996923697542244,0.2996923697542244,0.13307303456345923,0.6666666666666666,1.0555555555555556,1.4444444444444444,16.137826254568825,10.024756091671906,2.027958452037176,-2.0194605266183676,2.070717981717417,-2.016341875349659,5.783916809115495,-0.11852723800028571,1.7293700716796314,427.9779832196313,12.631545744180547,10.510178107106315,10.510178107106315,8.843336592900531,6.439704912650945,6.439704912650945,4.509872253901791,4.509872253901791,3.070677129169808,3.070677129169808,1.98186837819213,1.98186837819213,-1.8899999999999997,17876.020837104035,12.56389939132802,6.750594562196035,4.171939255668534,108.47472999758781,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,60.6636706846161,23.96854622924601,12.841643245852019,0.0,4.794537184071822,5.783244946364939,0.0,25.683286491704038,0.0,71.7905736680101,0.0,0.0,0.0,0.0,5.783244946364939,17.63618042992384,0.0,23.96854622924601,60.6636706846161,0.0,17.07,0.0,4.794537184071822,0.0,18.624888192216957,12.841643245852019,11.126902983393991,0.0,36.39820241076966,24.26546827384644,0.0,0.0,11.7896910430839,0.0,2.4825205761316873,0.3497278911564625,20.367524932812625,3.0105355568153187,0.0,0.0,0.23529411764705882,18,0,1,0,0,0,2,0,2,1,0,1,6,0,0,0,2,3.821100000000003,74.53300000000004,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CC(C)CCC(C(=O)OCC)C(=O)OCC,241.0,11.548992819349962,-0.7617592592592597,11.548992819349962,0.28811200869236564,0.4965548674921223,230.30399999999995,208.12799999999996,230.151809184,94,0.31980702936389,-0.46533939108860745,0.46533939108860745,0.31980702936389,0.9375,1.375,1.6875,16.551765357395066,9.978048389455047,2.2855778301939758,-2.145761797980612,2.152407988931393,-2.2803914485819523,5.943545703984801,-0.1615488194011759,4.366142240350384,205.05865002596167,12.55204176387779,10.616120824980895,10.616120824980895,7.523274467653717,5.856607800987051,5.856607800987051,4.027879568310384,4.027879568310384,2.1749205956391915,2.1749205956391915,1.3176295656559696,1.3176295656559696,-1.06,2265.659957947703,14.94,8.134006487233918,5.731892708135255,97.30374894529352,9.473725907600098,0.0,5.917906046161393,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,13.847474399381248,32.60702369139466,0.0,13.213763929025836,19.06280027574374,11.938610575903699,11.835812092322787,40.53659204461451,13.213763929025836,0.0,0.0,0.0,0.0,0.0,25.152374504929536,19.06280027574374,11.835812092322787,40.53659204461451,0.0,0.0,52.60000000000001,17.856516622065094,9.589074368143644,13.213763929025836,12.338727669087403,6.4208216229260096,0.0,13.847474399381248,13.847474399381248,0.0,9.473725907600098,9.728025321239606,23.097985638699924,0.0,0.0,-1.2529138321995466,0.0,1.3032029478458051,8.12369992441421,0.0,0.8333333333333334,16,0,4,0,0,0,0,0,0,4,0,4,7,0,0,0,0,2.165,60.828000000000046,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
CCOC(=O)CC(C)O,185.0,10.47125,-0.5934722222222226,10.47125,0.09111111111111114,0.5623769753174953,132.159,120.06299999999997,132.078644244,54,0.3078871066028081,-0.46589843309640244,0.46589843309640244,0.3078871066028081,1.7777777777777777,2.3333333333333335,2.6666666666666665,16.53273501531647,10.285315720238708,2.040757971657705,-2.0148429264383725,1.91034367949016,-2.1148109915583,5.692530805536471,-0.14453820204184017,3.2711920488970017,88.30376252379816,7.276020881938894,5.755274007990406,5.755274007990406,4.163902460147014,3.001381046239147,3.001381046239147,1.858166681098377,1.858166681098377,0.7674031098283771,0.7674031098283771,0.4611154687303834,0.4611154687303834,-0.5700000000000001,66.8432930980791,8.43,4.322705118842072,5.298665784655422,54.63326268155923,9.843390348640755,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,0.0,19.13166997518723,14.637927532712576,5.969305287951849,0.0,26.37226241005556,6.606881964512918,0.0,0.0,0.0,0.0,0.0,23.786681035053775,9.53140013787187,0.0,20.268296022307258,0.0,0.0,46.53,6.103966387748303,4.794537184071822,12.390126910877859,6.606881964512918,0.0,0.0,13.847474399381248,0.0,4.736862953800049,5.106527394840706,4.55375,10.47125,8.648577097505669,0.0,-0.34027777777777746,0.0,-0.5023611111111115,3.6690617913832204,0.0,0.8333333333333334,9,1,3,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0.3204000000000001,32.930799999999984,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CCCC(=O)C(C)(C)C,147.0,11.064583333333333,-0.12895833333333329,11.064583333333333,0.12895833333333329,0.5577768176804498,128.21499999999997,112.08699999999997,128.120115132,54,0.13769264484340427,-0.29912232114667153,0.29912232114667153,0.13769264484340427,1.3333333333333333,1.7777777777777777,1.8888888888888888,16.139204125332082,9.883979675158914,2.184902497998141,-2.145348613621625,2.1645580978441465,-2.1862823476845996,5.829546310316128,-0.1258055622572777,3.743097705792164,97.62548782626679,7.49156383156272,6.822461852836958,6.822461852836958,3.9813804754348494,3.5147843170117525,3.5147843170117525,3.423176335210009,3.423176335210009,1.3135783763537736,1.3135783763537736,0.6020620726159657,0.6020620726159657,-0.33,57.508712278837244,8.67,2.9972170394268187,3.280373439015338,57.455367928649565,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,27.694948798762496,6.4208216229260096,11.83581209232279,0.0,4.794537184071822,5.783244946364939,5.41499046939678,40.53659204461451,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,5.41499046939678,40.53659204461451,0.0,0.0,17.07,0.0,4.794537184071822,5.41499046939678,5.783244946364939,12.841643245852019,0.0,0.0,27.694948798762496,0.0,0.0,0.0,11.064583333333333,0.0,-0.12895833333333329,0.36574074074074114,0.0,1.694050925925926,7.92125,0.0,0.875,9,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2.401700000000001,39.37,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cc1ccc(CCC=O)cc1,223.0,10.045115583270345,0.6280366591080876,10.045115583270345,0.6280366591080876,0.5999626187688002,148.205,136.10899999999998,148.088815004,58,0.1198214267317484,-0.30339019224716424,0.30339019224716424,0.1198214267317484,1.2727272727272727,1.9090909090909092,2.4545454545454546,16.12872514296848,10.091736010240155,1.897313750258861,-1.9636384397240354,2.0383680623752154,-1.8473767819906515,5.495586912071078,-0.10733695552888849,2.582460599078523,223.13302247817728,8.104448006685086,6.709213198785088,6.709213198785088,5.325698502695489,3.8188711464985716,3.8188711464985716,2.690940360914969,2.690940360914969,1.6714662719452438,1.6714662719452438,0.9803378961376236,0.9803378961376236,-1.11,358.71869776560686,7.991112234580385,3.9146420616231925,2.5400038217994236,67.05269367712717,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.828919765543436,18.90801031431363,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,19.765380445542643,0.0,35.392371257240434,0.0,0.0,0.0,0.0,6.286160523129555,11.21535880699783,6.923737199690624,17.547724606320003,24.26546827384644,0.0,17.07,0.0,4.794537184071822,0.0,6.4208216229260096,12.706982146055566,11.126902983393991,0.0,0.0,31.18920547353706,0.0,0.0,10.045115583270345,0.0,2.5023639455782316,0.0,8.275733182161755,2.451089380196523,2.0590312421264803,0.0,0.3,11,0,1,0,0,0,1,0,1,1,0,1,3,0,0,0,1,2.12652,45.56400000000003,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
