SMILES,Thermal_Conductivity_40C,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_unbrch_alkane
C(CCCCCCCC)(=O)OCCCCCCCC,0.156,11.444878467992645,0.003749737549340715,11.444878467992645,0.003749737549340715,0.3013977658356722,270.45699999999994,236.18499999999995,270.255880328,114,0.305277515512331,-0.46567500452711613,0.46567500452711613,0.305277515512331,0.6842105263157895,1.1578947368421053,1.736842105263158,16.532359559959374,10.10170474888083,2.0164007146794893,-2.046516446220291,2.0818583369326675,-2.0511215265915506,5.686919588985014,-0.14343866159597257,3.1251453666849187,189.7010862108803,14.183951986987841,13.215991517539395,13.215991517539395,9.308060412490448,8.464690378025045,8.464690378025045,5.506004086390221,5.506004086390221,3.4953948993433324,3.4953948993433324,2.190232829305969,2.190232829305969,-0.53,14611.714521494017,18.470000000000002,15.527240984544935,15.412970033646573,119.85339218772594,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,78.05569062864136,12.841643245852019,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,0.0,97.3181554974194,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,97.3181554974194,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,13.027703587438928,12.841643245852019,64.20821622926012,0.0,0.0,13.847474399381248,4.736862953800049,5.237342529604435,11.444878467992645,0.0,0.0,0.003749737549340715,0.0,15.40684039229595,5.073855539224297,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,14,0,0,0,5.640700000000006,82.32800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9
C(CCCCCCCCCCCCCC)(=O)OCC,0.161,11.10292503116965,-0.03279698979620549,11.10292503116965,0.03279698979620549,0.3013977658356722,270.45699999999994,236.18499999999995,270.255880328,114,0.3052674256589853,-0.4659692078794497,0.4659692078794497,0.3052674256589853,0.6842105263157895,1.105263157894737,1.5263157894736843,16.531802007248213,10.048674788960962,1.999185798333404,-2.029044184050277,2.120243233688708,-2.02518688561682,5.686578537443315,-0.1427426485792964,3.006138706359086,189.7010862108803,14.183951986987841,13.215991517539395,13.215991517539395,9.308060412490448,8.464690378025045,8.464690378025045,5.444108466346376,5.444108466346376,3.539779436134093,3.539779436134093,2.3434842463306857,2.3434842463306857,-0.53,14436.556733619205,18.470000000000002,15.527240984544935,15.412970033646573,119.85339218772596,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,77.55277505187675,13.344558822616634,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,0.0,97.3181554974194,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,97.3181554974194,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,13.027703587438928,6.4208216229260096,70.62903785218613,0.0,6.923737199690624,6.923737199690624,4.736862953800049,4.902851053001085,11.10292503116965,0.0,0.0,-0.03279698979620549,0.0,16.55560283318907,4.638084739103068,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,14,0,0,0,5.640700000000006,82.32800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10
C(CCCCCCCC)(=O)OC(CCCCCC)C,0.153,11.608972820609726,-0.0014045834383136224,11.608972820609726,0.0014045834383136224,0.3196422387833502,270.45699999999994,236.18499999999995,270.255880328,114,0.3055438436410135,-0.46265867595110305,0.46265867595110305,0.3055438436410135,0.8421052631578947,1.368421052631579,2.0,16.5421723383093,10.09512749401005,2.082367692962273,-2.1255317770375735,2.1080092062373876,-2.141231908918139,5.689376610083336,-0.1482158839119911,3.3593355210487363,201.4387456742134,14.347088693804372,13.379128224355926,13.379128224355926,9.2019072626078,8.397316063479236,8.397316063479236,5.667579074992953,5.667579074992953,3.5312883510365114,3.5312883510365114,2.250482636281052,2.250482636281052,-0.53,12736.375711293224,18.470000000000002,13.891409452809675,13.698963938179736,119.85339218772593,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,65.21404738278933,26.186202068468653,6.4208216229260096,6.103966387748303,9.53140013787187,5.969305287951849,0.0,103.9250374619323,0.0,0.0,0.0,0.0,0.0,12.073271675700152,9.53140013787187,0.0,97.821071074184,0.0,0.0,26.3,0.0,4.794537184071822,12.073271675700152,6.4208216229260096,12.841643245852019,57.787394606334104,0.0,6.923737199690624,13.847474399381248,4.736862953800049,5.41934484441925,11.608972820609726,0.0,0.0,-0.0014045834383136224,0.0,14.020384439446158,6.45270247896318,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,13,0,0,0,5.639100000000006,82.30600000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6
CCCCCCCCCCCCCC(=O)OC(C)C,0.155,11.291588225614095,-0.03618134353770208,11.291588225614095,0.027970600907316623,0.3196422387833502,270.45699999999994,236.18499999999995,270.255880328,114,0.3055337242115604,-0.4629533082631881,0.4629533082631881,0.3055337242115604,0.7894736842105263,1.2105263157894737,1.631578947368421,16.54156100018136,10.053436673907452,2.037689080578062,-2.069516835490735,2.1173023098382115,-2.102448373963958,5.688944932448865,-0.14701297966399937,3.0834103763587524,199.43874567421344,14.347088693804373,13.379128224355926,13.379128224355926,9.163902460147016,8.359311261018451,8.359311261018451,5.824148294039298,5.824148294039298,3.35160234728316,3.35160234728316,2.2553684063009842,2.2553684063009842,-0.53,11923.923750430362,18.470000000000002,13.891409452809675,15.412970033646573,119.85339218772594,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,71.13195342895074,20.268296022307258,6.4208216229260096,6.103966387748303,9.53140013787187,5.969305287951849,0.0,103.9250374619323,0.0,0.0,0.0,0.0,0.0,12.073271675700152,9.53140013787187,0.0,97.821071074184,0.0,0.0,26.3,0.0,4.794537184071822,12.073271675700152,6.4208216229260096,6.4208216229260096,64.20821622926012,0.0,13.847474399381248,6.923737199690624,4.736862953800049,5.103102789112197,11.291588225614095,0.0,0.0,-0.03618134353770208,0.0,15.078225382668874,6.063264946142538,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,13,0,0,0,5.639100000000005,82.30600000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9
CCCCCCCCCCCCCCCC(=O)OC,0.138,10.890929194231935,-0.06659907312953894,10.890929194231935,0.06659907312953894,0.30139776583567224,270.45699999999994,236.18499999999995,270.255880328,114,0.3050018388563536,-0.4689954278205915,0.4689954278205915,0.3050018388563536,0.6842105263157895,1.0526315789473684,1.4210526315789473,16.52294968333347,10.044626752856106,1.9856582828819318,-2.025072869205249,2.1241508280019255,-1.9852570839220192,5.684595835274619,-0.14025067374851677,2.969254449003075,189.7010862108803,14.183951986987843,13.215991517539395,13.215991517539395,9.308060412490448,8.377156752707547,8.377156752707547,5.568773300279362,5.568773300279362,3.712125131752582,3.712125131752582,2.38916659287974,2.38916659287974,-0.53,14970.354363785893,18.470000000000002,15.527240984544935,15.412970033646573,119.85339218772596,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,83.97359667480276,6.4208216229260096,6.4208216229260096,7.109797541277533,9.53140013787187,5.969305287951849,0.0,96.81523992065479,7.109797541277533,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,0.0,96.81523992065479,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,6.4208216229260096,6.4208216229260096,84.15965701638967,0.0,0.0,11.660600153490673,0.0,4.618327822753104,10.890929194231935,0.0,0.0,-0.06659907312953894,0.0,17.992092995226106,2.269030875574858,1.4628848520102034,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,14,0,0,0,5.640700000000005,82.32800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,11
CCCCCCCCCCCCCC(=O)OCCC,0.163,11.240060447836317,-0.01594986205622062,11.240060447836317,0.01594986205622062,0.3013977658356722,270.45699999999994,236.18499999999995,270.255880328,114,0.3052773449505184,-0.4656860577146765,0.4656860577146765,0.3052773449505184,0.6842105263157895,1.1578947368421053,1.631578947368421,16.532317722606656,10.053548414613392,2.0072528038615305,-2.0339833831554226,2.1155884215594134,-2.0410245289732067,5.686859473323179,-0.14330304745461772,3.0407782682807327,189.7010862108803,14.183951986987843,13.215991517539395,13.215991517539395,9.308060412490448,8.464690378025045,8.464690378025045,5.50600408639022,5.50600408639022,3.4516280866845843,3.4516280866845843,2.2216174362505394,2.2216174362505394,-0.53,14689.353352949165,18.470000000000002,15.527240984544935,15.412970033646573,119.85339218772596,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,78.05569062864136,12.841643245852019,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,0.0,97.3181554974194,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,97.3181554974194,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,13.027703587438928,12.841643245852019,64.20821622926012,0.0,6.923737199690624,6.923737199690624,4.736862953800049,5.044075011334419,11.240060447836317,0.0,0.0,-0.01594986205622062,0.0,16.032968534371502,4.865512535180649,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,14,0,0,0,5.640700000000006,82.32800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9
C(CC)(=O)OCC(CCCCCCC)CCCCC,0.15,11.239149588286493,-0.04956063894285401,11.239149588286493,0.04956063894285401,0.3262663183213889,270.4569999999999,236.18499999999995,270.255880328,114,0.30500657045451157,-0.46538704520500307,0.46538704520500307,0.30500657045451157,0.8421052631578947,1.368421052631579,1.9473684210526316,16.532921631697693,9.951334220849983,2.1062553629185694,-2.1640509017456795,2.185129539033581,-2.135745076186048,5.683066963576172,-0.144335992771883,3.783474584966328,201.4387456742134,14.347088693804373,13.379128224355926,13.379128224355926,9.239912065068586,8.396542030603182,8.396542030603182,5.601262109019199,5.601262109019199,3.700550018616643,3.700550018616643,2.343442487126376,2.343442487126376,-0.53,13853.14949919112,18.470000000000002,13.891409452809675,12.255745713867787,119.85339218772594,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,72.13778458247995,18.75954929201341,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,5.917906046161393,91.40024945125799,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.917906046161393,91.40024945125799,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,18.94560963360032,0.0,64.20821622926012,0.0,6.923737199690624,13.847474399381248,4.736862953800049,5.323280029604435,11.239149588286493,0.0,0.0,0.537176889401817,0.0,13.416313511107433,6.984079981599823,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,13,0,0,0,5.496600000000006,82.25800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4
C(CCCCCC)C(C(=O)OC)CCCCCCC,0.153,11.729574672461577,0.005539861006131019,11.729574672461577,0.005539861006131019,0.3262663183213889,270.45699999999994,236.18499999999995,270.255880328,114,0.3081490924554041,-0.4687919091297921,0.4687919091297921,0.3081490924554041,0.7894736842105263,1.2105263157894737,1.5789473684210527,16.523970031915173,9.941230995579799,2.173648164907978,-2.13926443502718,2.196135446084176,-2.158770589650613,5.716244827475698,-0.14557318505499872,3.7312624641336125,187.43874567421344,14.347088693804373,13.379128224355924,13.379128224355924,9.256748817474191,8.33588185882336,8.33588185882336,5.6258605579552725,5.6258605579552725,3.846796293573511,3.846796293573511,2.535287689967693,2.535287689967693,-0.53,14159.873453799908,18.470000000000002,13.891409452809675,11.029139487112117,119.85339218772594,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,78.05569062864136,12.841643245852019,0.0,13.027703587438927,9.53140013787187,5.969305287951849,5.917906046161393,90.89733387449338,7.109797541277533,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,5.917906046161393,90.89733387449338,0.0,0.0,26.3,0.0,4.794537184071822,11.887211334113243,0.0,12.841643245852019,71.31801377053765,0.0,0.0,13.847474399381248,4.736862953800049,4.929811665406904,11.729574672461577,0.0,0.0,0.15207047325102874,0.0,14.711748240112586,4.4594346250087735,1.5173603237591333,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,13,0,0,0,5.496600000000006,82.25800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,6
CC(CCCCCCCCCCCCC(=O)OC)C,0.154,10.891947021910392,-0.06815035336385478,10.891947021910392,0.06815035336385478,0.326266318321389,270.45699999999994,236.18499999999995,270.255880328,114,0.3050018388563536,-0.4689954278205915,0.4689954278205915,0.3050018388563536,0.7894736842105263,1.2105263157894737,1.631578947368421,16.522949828064164,10.022471659514041,1.9885845710074117,-2.0430740437254724,2.1326676517337373,-1.985285634642887,5.6845964134843125,-0.14025078509796898,3.0086621485426424,199.43874567421344,14.347088693804373,13.379128224355926,13.379128224355926,9.163902460147016,8.232998800364115,8.232998800364115,6.044188503804979,6.044188503804979,3.6400461555808654,3.6400461555808654,2.3381990600477356,2.3381990600477356,-0.53,12557.281573356448,18.470000000000002,13.891409452809675,15.412970033646573,119.85339218772594,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,78.05569062864136,12.338727669087403,6.4208216229260096,7.109797541277533,9.53140013787187,5.969305287951849,5.917906046161393,90.89733387449338,7.109797541277533,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,5.917906046161393,90.89733387449338,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,6.4208216229260096,12.338727669087403,71.31801377053765,0.0,0.0,18.584337353181297,0.0,4.61778450207516,10.891947021910392,0.0,0.0,0.7975810185185187,0.0,15.11937078232845,4.6115108852968385,1.4618057898706418,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,13,0,0,0,5.496600000000005,82.25800000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,9
CC(CC(=O)OC(CC(C)(C)C)CCCCC)(C)C,0.112,11.965408242000503,-0.04328845427059691,11.965408242000503,0.006730520912068716,0.4601544337360837,270.45699999999994,236.18499999999995,270.255880328,114,0.30608798356187644,-0.4623271004167597,0.4623271004167597,0.30608798356187644,1.0,1.5789473684210527,2.0,16.54300276296054,9.870270710375936,2.2386013546156573,-2.270384939578883,2.267075930304703,-2.258359493396925,5.698394893525234,-0.15251879379840577,4.356703418165589,255.4160800807443,15.104448006685086,14.136487537236638,14.136487537236638,8.532805283882038,7.728214084753473,7.728214084753473,8.109871165923622,8.109871165923622,2.9424763232012148,2.9424763232012148,2.168247354702498,2.168247354702498,-0.53,5074.975710107895,18.470000000000002,7.914293730812054,12.255745713867787,119.85339218772592,4.736862953800049,6.103966387748303,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,61.307803643686384,30.09244580757159,0.0,6.4208216229260096,9.53140013787187,5.969305287951849,10.82998093879356,93.09505652313872,0.0,0.0,0.0,0.0,0.0,12.073271675700152,9.53140013787187,10.82998093879356,86.99109013539042,0.0,0.0,26.3,0.0,4.794537184071822,22.903252614493713,6.4208216229260096,19.26246486877803,12.841643245852019,0.0,0.0,48.46616039783436,4.736862953800049,5.710195578231293,11.965408242000503,0.0,0.21396644305870516,-0.04328845427059691,0.0,6.117064869929452,15.036653321050643,0.0,0.9411764705882353,19,0,2,0,0,0,0,2,0,2,7,0,0,0,5.3509000000000055,82.16600000000007,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
