mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2029814720153809,0.023706385862726952,0.008498001098632812,0.0002602048161748137,1.0,1000,6,10,0.01,1.0,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.006147248299098281,-0.0071895698759531544,-0.003062187843804233,-0.0028522082962169214,-0.0044318909940682235,-0.004736621061828162,0.0017002603079683467,2824
1.0467671394348144,0.18032583328147597,0.005813694000244141,0.0007783763578813294,0.7,5000,3,20,0.1,0.9,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-0.0058234690360049616,-0.007434173541901338,-0.003208652218358516,-0.0027397538896683496,-0.0052410604017316615,-0.004889421817532965,0.0017273050619104392,5494
0.10113296508789063,0.006787876434923581,0.0025821685791015624,0.00021219347835717007,0.7,200,6,50,0.5,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 6, 'max_depth': 50, 'learning_rate': 0.5, 'colsample_bytree': 0.8}",-0.006275859612470821,-0.007740312262453366,-0.003768617011497035,-0.0044229850723190465,-0.006891284901856003,-0.005819811772119255,0.0014968554512102725,8736
0.4302987098693848,0.06366771568983874,0.0036375999450683595,0.0002042503121289122,0.7,2000,4,50,0.2,0.8,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 4, 'max_depth': 50, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.006069026402920788,-0.007379434947097312,-0.003058451897646114,-0.002852261713818058,-0.005037669575654375,-0.00487936890742733,0.0017387108207950548,5348
0.14686379432678223,0.003472274852810377,0.0023151397705078124,6.87080153017681e-05,1.0,1000,5,4,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.005779511809869531,-0.007447115483800118,-0.002993466703073335,-0.0024972790461704718,-0.004676545606692431,-0.004678783729921178,0.0018151872730341816,1522
1.3505253314971923,0.05896873971037875,0.008831262588500977,0.0005508810557051569,1.0,2000,3,20,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 2000, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.005799616619607277,-0.0075115366820850725,-0.003023610851963357,-0.002662858411832594,-0.004484499452634304,-0.004696424403624521,0.00179557780183374,1848
0.27090935707092284,0.003836206578653339,0.0033570289611816405,0.00018030880732606078,0.7,1000,6,3,0.05,1.0,"{'subsample': 0.7, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.0057739106950304665,-0.006880786524590393,-0.002732056075644089,-0.003541713106763741,-0.005130940106586703,-0.0048118813017230784,0.001499777857569368,4396
1.7303021430969239,0.029196925574406663,0.014632368087768554,0.0007398760387815142,0.7,2000,5,10,0.01,1.0,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.005801563377920377,-0.007157323228681996,-0.0028616235918131625,-0.002694678575994029,-0.0044809740928747925,-0.004599232573456872,0.0017117256283810283,394
0.8672826766967774,0.03243076807356718,0.0051136016845703125,0.00029888360759790114,1.0,500,2,10,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.0064805972320034246,-0.007227537629166203,-0.00294558022900469,-0.002743239576623239,-0.00436162787615421,-0.0047517165085903534,0.0018202744718703403,3149
0.17556123733520507,0.004461455151936484,0.0023520946502685546,0.00012265514187180312,1.0,1000,2,20,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.0060280626723916335,-0.007443398519322487,-0.003400560710841624,-0.002957064594708033,-0.00441970581644617,-0.00484975846274199,0.0016722905868520228,4965
