mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.386247730255127,0.04874308127204785,0.010837507247924805,0.0006256773922925239,1.0,1000,6,10,0.01,1.0,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.050035057244121786,-0.04032516645005001,-0.04755600562322879,-0.04905708262525921,-0.04980497199936057,-0.047355656788404074,0.003620528020506038,6931
3.588918161392212,0.6779964504160285,0.016471481323242186,0.004095924836244631,0.7,5000,3,20,0.1,0.9,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-0.04668212460427232,-0.03972872989564426,-0.04103811478300163,-0.049253132033868566,-0.04876266075589985,-0.04509295241453733,0.003962724150750574,2796
0.3235293388366699,0.013691644382846736,0.0038797855377197266,0.0002363402379174028,0.7,200,6,50,0.5,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 6, 'max_depth': 50, 'learning_rate': 0.5, 'colsample_bytree': 0.8}",-0.0476234988027574,-0.04631953529915279,-0.04679514390660055,-0.050701161092973096,-0.055857163747906724,-0.049459300569878115,0.003544034300440636,8312
1.5940750598907472,0.2819605389132958,0.008833646774291992,0.002016392800452186,0.7,2000,4,50,0.2,0.8,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 4, 'max_depth': 50, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.04595343791503777,-0.039566904157529205,-0.043529927352586775,-0.051172434706322475,-0.04551888647184603,-0.04514831812066446,0.003764223424024387,2946
0.4880062580108643,0.015889934127131716,0.0041024208068847655,0.00034799811021883316,1.0,1000,5,4,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.04653384694973948,-0.039466298780032924,-0.040805217668398966,-0.04999668764104318,-0.04964454213251327,-0.045289318634345564,0.0043975190075438925,3316
6.035437202453613,0.14785129897439955,0.02167234420776367,0.0016657130066253687,1.0,2000,3,20,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 2000, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.047583997397690043,-0.039314525273110815,-0.043591264893722434,-0.04942499831234997,-0.04955137854094149,-0.04589323288356295,0.003931730707636913,4552
0.4508686542510986,0.014652582981774945,0.0036844730377197264,0.0003875719808666851,0.7,1000,6,3,0.05,1.0,"{'subsample': 0.7, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.045184041546735665,-0.040558548342539635,-0.041000978905109904,-0.04841414626303806,-0.04864078711510315,-0.04475970043450528,0.0034749256093013375,1981
4.7501767635345455,0.2041386759707651,0.019149398803710936,0.0006822163998306662,0.7,2000,5,10,0.01,1.0,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.04601545814624647,-0.03883287812414404,-0.040226856442727076,-0.04927768439690637,-0.04840290442978431,-0.04455115630796165,0.0042595418991986525,1518
2.623388147354126,0.21712215346025868,0.007323360443115235,0.00042226870707442516,1.0,500,2,10,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.04924730947944741,-0.03866786240741946,-0.04349326849414254,-0.049856067086978866,-0.050232428225711244,-0.046299387138739906,0.004537036524983346,5330
0.4998528003692627,0.016634612700330547,0.0029834747314453126,0.0001726941722978056,1.0,1000,2,20,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.04959422192913372,-0.04072187483078804,-0.04730034139757313,-0.05131439209061893,-0.05294295907807974,-0.04837475786523871,0.004259530344724268,7666
5.180400228500366,0.43879442794599877,0.020522165298461913,0.0013207484672224427,0.7,2000,2,10,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-0.044941272707094346,-0.03802191612295896,-0.04008272288003048,-0.04819832348872557,-0.04880421845703722,-0.04400969073116932,0.004305217920901667,673
0.8372556209564209,0.017822499186158303,0.0038774967193603515,0.00010696113275497534,1.0,5000,2,100,0.5,0.9,"{'subsample': 1.0, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 100, 'learning_rate': 0.5, 'colsample_bytree': 0.9}",-0.04889195739447175,-0.041845929988466125,-0.04676406638531407,-0.051334969386898306,-0.04809248601454385,-0.04738588183393882,0.0031445370554448017,6964
7.266106224060058,0.14882225151900155,0.018598461151123048,0.001040229966719235,1.0,5000,2,50,0.01,0.9,"{'subsample': 1.0, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-0.048301978257313284,-0.039207886125918884,-0.04446064530064286,-0.049619217321364865,-0.05103266462035843,-0.04652447832511967,0.004262688994020898,5794
0.24206328392028809,0.014683591341806999,0.0026576042175292967,5.9232964374652886e-05,0.7,200,6,6,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 6, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.04769531088092225,-0.03894829280614965,-0.04208971097908109,-0.04764556447588612,-0.047905684079373505,-0.04485691264428252,0.0036796000950799867,2176
1.2606594562530518,0.04871377479046096,0.007081031799316406,0.0003383538834475839,1.0,2000,4,4,0.01,0.9,"{'subsample': 1.0, 'n_estimators': 2000, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-0.04284302740927058,-0.03818747053889665,-0.040201402099783706,-0.04827012202822847,-0.049754300453120646,-0.04385126450586001,0.004489737963936923,486
0.7912896633148193,0.03743340989420967,0.0040190696716308595,0.00014093772239457542,0.7,300,1,10,0.1,0.8,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.046678633344386544,-0.03865813313043912,-0.043198439230905626,-0.04977109329568719,-0.04893570786376727,-0.04544840137303715,0.004087309999724096,3689
0.1941450595855713,0.00500822434910546,0.002630138397216797,7.574098592300183e-05,1.0,200,6,6,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 6, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.0457616704264549,-0.039168380592494646,-0.04407992486000466,-0.0505337914095011,-0.04976310490409137,-0.04586137443850933,0.004123945952372014,4505
0.25070858001708984,0.009353108896980964,0.002586984634399414,0.0001961755589719541,1.0,200,3,6,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.047741084342364196,-0.04069827949568186,-0.04215207711783365,-0.05137420004603786,-0.05142148519982836,-0.046677425240349193,0.004515000080303723,6125
2.0893913745880126,0.03896441999218966,0.010442781448364257,0.00042650839222529145,1.0,5000,5,50,0.05,0.8,"{'subsample': 1.0, 'n_estimators': 5000, 'min_child_weight': 5, 'max_depth': 50, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.04629592068380405,-0.03834939092971176,-0.043216349273813695,-0.050134684419243736,-0.04971659013346625,-0.0455425870880079,0.004387040555306216,3900
0.5875077247619629,0.045987473585331715,0.00462956428527832,0.00019647487076804947,0.7,300,5,100,0.2,0.9,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 100, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-0.04661042722670546,-0.041255260385954014,-0.04405931693132235,-0.05005168987469409,-0.04596901570318635,-0.045589142024372455,0.002906012927153509,4023
3.2455286502838137,0.34142007697765836,0.014771318435668946,0.0021291403777302246,0.7,5000,6,5,0.05,1.0,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 6, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.046784279662331306,-0.039407551845471,-0.04115356620270572,-0.050066873437391204,-0.0492122415138034,-0.04532490253234052,0.00429284427751612,3402
4.5524803638458256,1.1656196413222255,0.022503662109375,0.007000122553271734,0.7,5000,2,10,0.5,0.9,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.5, 'colsample_bytree': 0.9}",-0.05030214070807449,-0.04887704607344672,-0.0495299465064027,-0.061021067463415554,-0.0684056171955318,-0.05562716358937425,0.007790752041866003,9677
0.34412503242492676,0.006797036525236272,0.002634096145629883,3.905159501879942e-05,0.7,100,2,10,0.05,0.7,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.049241602543813066,-0.03725960585430403,-0.03992415996887742,-0.048516242265026696,-0.05064235094404733,-0.04511679231521372,0.0054369279434187704,2855
1.2117034912109375,0.04183001394243116,0.006529092788696289,0.00038592602637949904,1.0,1000,3,50,0.05,0.7,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 50, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.04732385838066352,-0.03912657597277337,-0.04361591452439394,-0.05013851578978712,-0.0492835991438006,-0.045897692762283705,0.004062940433974999,4563
2.7552539348602294,0.05945001810832906,0.009091329574584962,0.0007315534668803021,0.7,500,2,100,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 100, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-0.04771012192565678,-0.03779913710682535,-0.03977369663141183,-0.047697865036915324,-0.049278895640449495,-0.044451943268251755,0.004703127191814745,1362
9.54242639541626,0.5831546457818989,0.03120250701904297,0.001935573469052005,0.7,5000,2,50,0.01,0.9,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 50, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-0.04568016321569611,-0.03907124219423074,-0.04149796308530625,-0.04931870036778212,-0.049357962547380306,-0.04498520628207911,0.004135673338936115,2507
1.5448286533355713,0.25629546922794993,0.010515403747558594,0.0020684698381591444,0.7,2000,4,100,0.2,0.7,"{'subsample': 0.7, 'n_estimators': 2000, 'min_child_weight': 4, 'max_depth': 100, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",-0.046251031402695195,-0.039757681052201344,-0.04116458458378689,-0.049996657132407404,-0.05088153355503873,-0.04561029754522591,0.004504533337100391,4062
0.11946725845336914,0.0024429911259955905,0.002563810348510742,0.00015311564136473603,0.7,300,5,3,0.5,0.8,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.5, 'colsample_bytree': 0.8}",-0.050462954450705436,-0.0470147170687472,-0.048274424706883604,-0.04838378913637459,-0.05584193365692832,-0.04999556380392783,0.0031255104896239197,8675
0.9662330150604248,0.05516879052489638,0.005858135223388672,0.00045646710856450705,1.0,500,5,50,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 50, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.048380560065763245,-0.04003032239988233,-0.04533803272796539,-0.05155906350184255,-0.05135780983525869,-0.047333157706142444,0.004300350763516301,6912
0.12252964973449706,0.004840136103063733,0.0019781112670898436,0.0002611672157594378,0.7,200,3,4,0.5,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.5, 'colsample_bytree': 0.8}",-0.049409449214700404,-0.0469918503622207,-0.04572796309401193,-0.05048814730421217,-0.06147423849335895,-0.050818329693700835,0.005589206261260024,9062
0.711307144165039,0.016723001161693923,0.0037784576416015625,7.596406549442527e-05,0.7,300,1,10,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.04632778063454127,-0.03947210871920936,-0.03947391693002858,-0.05033790643595371,-0.05069123830675383,-0.045260590205297345,0.004967938804568801,3254
0.19919023513793946,0.0047122729482219974,0.0028816699981689454,0.00012796825786286965,1.0,500,1,3,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.04327878471729909,-0.039138367277514255,-0.03959779592564769,-0.04899739197197033,-0.04747094950295105,-0.043696657879076485,0.004002408267193824,339
3.03569655418396,0.5798003592503881,0.01719350814819336,0.005080995035125927,0.7,5000,3,6,0.2,0.7,"{'subsample': 0.7, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",-0.045780448148028126,-0.039570197666129764,-0.04369924804263835,-0.05038379202429378,-0.05124191231172546,-0.04613511963856309,0.0043194446691699724,4971
0.45632071495056153,0.013265985767401997,0.003003549575805664,8.223435254124029e-05,1.0,2000,1,6,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 2000, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.04697658606941696,-0.039846183695358736,-0.04331977320890119,-0.0506132770583122,-0.05224534858460368,-0.04660023372331855,0.004571478812395139,5958
