n_features,auc
213,0.9248022738507168
211,0.9248022738507168
209,0.9248022738507168
207,0.9248022738507168
205,0.9248022738507168
203,0.9248022738507168
201,0.9248022738507168
199,0.9248022738507168
197,0.9248022738507168
195,0.9248022738507168
193,0.9248022738507168
191,0.9248022738507168
189,0.9248022738507168
187,0.9248022738507168
185,0.9248022738507168
183,0.9248022738507168
181,0.9248022738507168
179,0.9248022738507168
177,0.9248022738507168
175,0.9248022738507168
173,0.9248022738507168
171,0.9248022738507168
169,0.9248022738507168
167,0.9248022738507168
165,0.9248022738507168
163,0.9248022738507168
161,0.9248022738507168
159,0.9248022738507168
157,0.9248022738507168
155,0.9248022738507168
153,0.9248022738507168
151,0.9268918797465511
149,0.930610479485912
147,0.9281445198400218
145,0.9281445198400218
143,0.9262683683098909
141,0.9299083269671504
139,0.9295544420976947
137,0.9295544420976947
135,0.9295544420976947
133,0.925116838179122
131,0.9283130364445243
129,0.9305318384038107
127,0.9270716307913539
125,0.926700894261448
123,0.9306160967060622
121,0.9272064440749562
119,0.9339246393744665
117,0.9321439805868871
115,0.9250831348582214
113,0.9301330157731542
111,0.9322787938704893
109,0.9341380937401698
107,0.9259088662202849
105,0.9278692760526671
103,0.928290567563924
101,0.9260661483844874
99,0.9245494989439627
97,0.9248415943917674
95,0.9319249090010336
93,0.928110816519121
91,0.9296387003999461
89,0.928902844560284
87,0.9324529276951422
85,0.9302790634970567
83,0.9277176111086145
81,0.9276951422280142
79,0.9277625488698154
77,0.9273693434593089
75,0.9326270615197951
73,0.9381207028265852
71,0.9327057026018962
69,0.9346661124342787
67,0.9286781557542804
65,0.9338572327326653
63,0.9318013301577315
61,0.926948051948052
59,0.9261672583471892
57,0.9267739181233992
55,0.9318799712398329
53,0.9301611018739045
51,0.9246786950074148
49,0.9297959825641486
47,0.9256448568732306
45,0.9225722374511302
43,0.9260268278434368
41,0.9280040893362693
39,0.9296892553812969
37,0.927919831034018
35,0.9295375904372444
33,0.9204208421336451
31,0.9159326832337213
29,0.9235552509773963
27,0.9183705567788614
25,0.9199714645216376
23,0.9192187570215252
21,0.9199209095402867
19,0.9169943378420885
17,0.9079225272996899
15,0.910969869231115
13,0.9053695007414733
11,0.8941294432211387
9,0.8819428841055139
7,0.8605159978429874
5,0.8579545454545454
3,0.8480541949400082
1,0.7278793870489372
